time,open,high,low,close,Volume
2010-09-15,95.82,95.82,95.82,95.82,1.0
2010-09-23,95.82,96.910004,95.82,96.910004,0.0
2010-09-24,97.839996,97.839996,97.839996,97.839996,0.0
2010-09-27,97.720001,97.720001,97.720001,97.720001,0.0
2010-09-28,97.669998,97.669998,97.669998,97.669998,0.0
2010-09-29,97.690002,97.690002,97.690002,97.690002,0.0
2010-09-30,97.169998,97.169998,97.169998,97.169998,0.0
2010-10-01,97.419998,97.419998,97.419998,97.419998,0.0
2010-10-04,97.010002,97.010002,97.010002,97.010002,0.0
2010-10-05,98.849998,98.849998,98.550003,98.550003,1.0
2010-10-20,100.7,100.7,100.7,100.7,0.0
2010-10-21,101.18,101.18,101.18,101.18,0.0
2010-10-22,100.9,100.9,100.9,100.9,0.0
2010-10-25,101.67,101.67,101.67,101.67,0.0
2010-10-26,101.37,101.37,101.21,101.21,258.0
2010-11-01,101.54,101.54,101.48,101.48,50000.0
2010-11-02,101.49,101.92,101.49,101.73,117500.0
2010-11-03,102.2,102.2,101.45,101.61,87500.0
2010-11-04,103.05,103.81,103.02,103.81,20009.0
2010-11-08,104.44,104.44,104.19,104.22,57000.0
2010-11-09,104.54,104.56,104.54,104.56,75000.0
2010-11-19,102.05,102.14,102.05,102.13,31110.0
2010-11-22,103.03,103.03,101.82,101.82,40000.0
2010-11-23,101.74,101.96,100.55,100.55,75802.0
2010-11-25,102.71,102.71,102.71,102.71,10009.0
2010-11-29,101.12,101.12,101.12,101.12,10000.0
2010-12-14,106.58,106.58,106.51,106.51,894.0
2010-12-22,107.43,107.51,107.43,107.51,15091.0
2011-01-04,108.62,108.62,108.46,108.46,18164.0
2011-01-05,108.01,108.01,108.01,108.01,50.0
2011-01-06,109.15,109.52,108.86,108.94,1283.0
2011-01-07,109.05,109.11,108.41,108.41,1039.0
2011-01-10,108.43,108.43,108.14,108.29,527.0
2011-01-11,108.13,109.09,108.13,109.03,1178.0
2011-01-12,109.1,110.05,109.1,110.05,5679.0
2011-01-13,109.85,109.85,109.85,109.85,200.0
2011-01-14,109.82,110.16,109.82,110.16,309.0
2011-01-19,111.12,111.12,110.33,110.33,234.0
2011-01-20,109.15,109.15,108.9,108.9,50.0
2011-01-25,110.07,110.07,110.07,110.07,195.0
2011-01-27,110.8,110.8,110.8,110.8,0.0
2011-01-28,110.07,110.07,109.93,109.93,0.0
2011-01-31,109.78,109.78,109.78,109.78,0.0
2011-02-01,111.46,111.46,111.46,111.46,0.0
2011-02-02,111.76,111.77,111.76,111.77,50.0
2011-02-03,111.14,111.38,111.14,111.38,50.0
2011-02-04,112.04,112.04,111.84,111.84,430.0
2011-02-07,113.19,113.21,113.19,113.21,100.0
2011-02-08,113.19,113.19,113.19,113.19,0.0
2011-02-09,113.21,113.23,112.99,112.99,6000.0
2011-02-10,113.18,113.18,113.18,113.18,0.0
2011-02-11,113.64,113.64,113.64,113.64,0.0
2011-02-14,113.93,114.0,113.93,113.945,200.0
2011-02-15,113.89,113.89,113.89,113.89,0.0
2011-02-16,115.1,115.1,114.425,114.425,175.0
2011-02-17,114.74,114.74,114.74,114.74,0.0
2011-02-18,114.88,115.085,114.88,115.085,175.0
2011-02-21,114.165,114.165,114.165,114.165,0.0
2011-02-22,114.24,114.24,113.93,113.93,5009.0
2011-02-23,112.49,112.49,112.49,112.49,0.0
2011-02-24,112.105,112.105,112.105,112.105,0.0
2011-02-25,112.765,112.765,112.765,112.765,0.0
2011-02-28,113.27,113.69,113.27,113.69,5009.0
2011-03-01,113.275,113.275,113.275,113.275,0.0
2011-03-02,112.305,112.305,112.305,112.305,0.0
2011-03-03,113.41,113.755,113.41,113.755,5009.0
