time,open,high,low,close,Volume
2003-04-11,7.13629033,7.13629033,7.10635366,7.10635366,108901.0
2003-04-14,7.14912051,7.19901453,7.14912051,7.19901453,93600.0
2003-04-15,7.24320617,7.30593037,7.24320617,7.28454695,421207.0
2003-04-16,7.3629522,7.39859124,7.3629522,7.36865457,9000.0
2003-04-17,7.40928263,7.42353761,7.39645245,7.4214001,17100.0
2003-04-21,7.42995398,7.43066605,7.41284621,7.41854859,72900.0
2003-04-22,7.41783651,7.44349496,7.39502701,7.44349496,19800.0
2003-04-23,7.44848525,7.47842192,7.42353761,7.47842192,31500.0
2003-04-24,7.41997466,7.41997466,7.31305882,7.33087802,90000.0
2003-04-25,7.22823784,7.22823784,7.19901453,7.20970528,102601.0
2003-04-28,7.22823784,7.32873987,7.22752448,7.32873987,91800.0
2003-04-29,7.44207016,7.54114548,7.44207016,7.5375819,76500.0
2003-04-30,7.5197627,7.52617779,7.4969532,7.51619847,228602.0
2003-05-01,7.49481505,7.524753,7.48412365,7.48697452,234902.0
2003-05-02,7.51120945,7.60173089,7.51120945,7.60173089,67500.0
2003-05-05,7.63024276,7.68512708,7.63024276,7.68370036,47700.0
2003-05-06,7.68370036,7.73216895,7.67657255,7.72290363,109801.0
2003-05-07,7.69082753,7.71007345,7.68441308,7.70864673,313206.0
2003-05-08,7.66231758,7.66659388,7.63380699,7.64093415,417607.0
2003-05-09,7.65162619,7.73644525,7.65162619,7.73074415,63000.0
2003-05-12,7.7656692,7.83837271,7.76210497,7.83837271,752413.0
2003-05-13,7.8105742,7.8105742,7.772797,7.79418107,276302.0
2003-05-14,7.79418107,7.79418107,7.74000947,7.7549778,206102.0
2003-05-15,7.77065885,7.77065885,7.75141422,7.77065885,337506.0
2003-05-16,7.77636187,7.80487182,7.7549778,7.77636187,256502.0
2003-05-19,7.72646593,7.72646593,7.56252955,7.59104014,128701.0
2003-05-20,7.60885934,7.63808329,7.58747591,7.62881669,53100.0
2003-05-21,7.61527443,7.63736929,7.57535909,7.63523178,45900.0
2003-05-22,7.63736929,7.70437107,7.63736929,7.70437107,84600.0
2003-05-23,7.75854267,7.8020216,7.75854267,7.78348904,74700.0
2003-05-27,7.8020216,8.06717209,7.8020216,8.06218307,864014.0
2003-05-28,8.06218307,8.10851286,8.06218307,8.09711004,396006.0
2003-05-29,8.08998159,8.12419455,8.07572597,8.10780079,306906.0
