time,open,high,low,close,Volume
2008-11-05,3.70473403,3.77210362,3.2158167,3.27227987,228756.0
2008-11-06,3.19528506,3.23185719,2.73524031,2.77181321,4331956.0
2008-11-07,2.85458346,2.99317243,2.78079629,2.96750826,6978452.0
2008-11-10,3.19528506,3.20426737,2.75962173,2.85201643,5785136.0
2008-11-11,2.72689938,2.83918358,2.53441274,2.6631224,11479048.0
2008-11-12,2.56200179,2.56200179,2.32331934,2.36694889,13312404.0
2008-11-13,2.34962488,2.72048257,1.97427527,2.708934,32068244.0
2008-11-14,2.51837225,2.75898113,2.34192532,2.36181559,34303060.0
2008-11-17,2.27647985,2.44137744,2.18151966,2.19499466,44527416.0
2008-11-18,2.18408515,2.30599457,1.99865669,2.21488415,61130863.99999999
2008-11-19,2.21360064,2.28738704,1.82220977,1.85814207,75194200.0
2008-11-20,1.78948742,1.9229454,1.42183736,1.53733074,137046144.0
2008-11-21,1.74521573,1.74778276,1.39039776,1.71120986,124578164.0
2008-11-24,1.82606109,2.1539306,1.78371352,1.99994021,98186576.0
2008-11-25,2.18216026,2.19113795,1.94411918,2.11158303,80055524.0
2008-11-26,1.99224065,2.34449159,1.98325835,2.3316595,61238160.0
2008-11-28,2.30342753,2.40608805,2.29380385,2.40095476,21645264.0
2008-12-01,2.21167575,2.21873393,1.75676506,1.77729671,101855240.0
2008-12-02,1.86584085,1.98133346,1.77858022,1.9652922,109263204.0
2008-12-03,1.8388924,2.1455889,1.82220977,2.11286501,136167376.0
2008-12-04,2.03715448,2.1755525,1.85044174,1.94411918,109459800.0
2008-12-05,1.85942481,2.16868757,1.75804781,2.14173912,167188908.0
2008-12-08,2.33550851,2.46896726,2.28995408,2.38042388,142794440.0
2008-12-09,2.31946802,2.46704237,2.21680904,2.24632299,126280452.0
2008-12-10,2.32395994,2.40159613,2.22964113,2.31690253,125737627.99999999
2008-12-11,2.27455496,2.38491427,2.09554177,2.1455889,113850944.0
2008-12-12,1.95823478,2.2213002,1.93770314,2.20256486,142076596.0
2008-12-15,2.2354158,2.24568239,2.02560592,2.10837463,91218168.0
2008-12-16,2.17061169,2.43111085,2.16419565,2.4298281,122079044.0
2008-12-17,2.35305521,2.49060021,2.30163636,2.37169345,119923435.99999999
2008-12-18,2.40575903,2.42247058,2.15702712,2.24057638,94500668.0
2008-12-19,2.26949977,2.37233747,2.20458334,2.23607667,97215456.0
2008-12-22,2.24443284,2.24957503,2.00790659,2.13388223,76354468.0
2008-12-23,2.15830592,2.18722314,2.04261389,2.06639432,68977816.0
2008-12-24,2.092747,2.11074352,2.04904105,2.09081877,17955512.0
2008-12-26,2.13838117,2.14288088,2.08632061,2.13452549,19193852.0
2008-12-29,2.14995053,2.14995053,2.02076092,2.12102791,46645340.0
2008-12-30,2.15637769,2.26435758,2.1242411,2.26178687,57150148.00000001
2008-12-31,2.27078474,2.41282868,2.25728716,2.33891514,65382279.99999999
2009-01-02,2.38326357,2.61079194,2.33313047,2.56772848,87174964.0
2009-01-05,2.53880586,2.64421427,2.4864229,2.56772848,111760068.0
2009-01-06,2.63714385,2.70591751,2.56258706,2.6300742,119625584.0
2009-01-07,2.49188595,2.53045047,2.34919876,2.408973,116434584.0
2009-01-08,2.3536977,2.43339668,2.32091862,2.43339668,104341976.0
2009-01-09,2.44946575,2.45717788,2.25600296,2.27335623,114430984.0
2009-01-12,2.25150248,2.2585729,2.06639432,2.10817281,85794388.0
2009-01-13,2.08503409,2.16601882,2.05289751,2.11652743,123647460.0
2009-01-14,2.01111902,2.02268915,1.87421728,1.90956783,158163872.0
2009-01-15,1.89735522,1.98733859,1.74052796,1.93463477,200343968.0
2009-01-16,2.02975879,2.0374717,1.83950921,1.97319852,209710640.0
2009-01-20,1.915995,1.93206329,1.65375856,1.66789323,207614556.0
2009-01-21,1.74567015,1.87807373,1.65183033,1.86971757,180904484.0
2009-01-22,1.76238093,1.86778934,1.67818301,1.77587852,200989816.0
2009-01-23,1.65440181,1.86264792,1.638976,1.80865836,213453140.0
2009-01-26,1.84143666,1.95648697,1.78616136,1.82858311,203561008.0
2009-01-27,1.8665036,1.93399152,1.8317963,1.89799848,165792156.0
2009-01-28,2.02525909,2.12295536,2.00083617,2.06703757,189202100.0
2009-01-29,1.98926682,2.00854908,1.87743124,1.88707854,157605736.0
2009-01-30,1.91149606,1.93591974,1.73101641,1.7688081,200636196.0
2009-02-02,1.68718089,1.78809113,1.67111259,1.75531128,156571840.0
2009-02-03,1.79001935,1.86136295,1.72863775,1.8208702,160343860.0
2009-02-04,1.85750496,1.92820684,1.78359142,1.79516001,184543376.0
2009-02-05,1.75788277,1.92884855,1.72445967,1.89092806,242675256.0
2009-02-06,1.91342428,2.07282225,1.90249818,2.04518537,174417436.0
2009-02-09,2.04325561,2.10560133,2.00662085,2.05868219,123070936.00000001
2009-02-10,2.00212114,2.05739567,1.73345831,1.77215164,261924408.00000003
2009-02-11,1.79965971,1.8317963,1.72831612,1.80253894,170143796.0
2009-02-12,1.71674753,1.81894198,1.64733139,1.81367098,226644056.0
2009-02-13,1.80030143,1.84657963,1.75145483,1.75852448,137587516.0
2009-02-17,1.59912651,1.61483461,1.51042888,1.51814179,262577216.0
2009-02-18,1.56313347,1.56570418,1.47057939,1.51364208,197616716.0
2009-02-19,1.56056199,1.57920177,1.45451032,1.46435739,187369404.0
2009-02-20,1.38123927,1.49436059,1.33046291,1.41594657,292914480.0
2009-02-23,1.46993613,1.48343372,1.26169003,1.27711584,267400495.99999997
2009-02-24,1.29961129,1.43265735,1.2784008,1.41466006,277953112.0
2009-02-25,1.39023715,1.46093826,1.31053816,1.37031317,343836268.0
2009-02-26,1.42365871,1.45451032,1.302182,1.30796745,297255836.0
2009-02-27,1.22633947,1.31117988,1.21412763,1.22376799,333976200.0
2009-03-02,1.15113942,1.17235068,1.04765924,1.05794363,332223992.0
2009-03-03,1.10293454,1.10293454,1.00716649,1.03351917,329437084.0
2009-03-04,1.08558051,1.15563836,1.05087321,1.09907886,362263076.0
2009-03-05,1.03351917,1.07015393,0.94417829,0.97053097,382207468.0
2009-03-06,0.99688288,1.03994557,0.89982986,0.97123747,396619900.0
2009-03-09,0.9326097,1.0225923,0.92746751,0.93839438,351151348.0
2009-03-10,1.00266756,1.11128916,0.99495465,1.10486277,385704208.0
2009-03-11,1.15113942,1.18263276,1.09522087,1.12478751,447996732.0
2009-03-12,1.12478751,1.27197287,1.09715063,1.26169003,341704664.0
2009-03-13,1.29061342,1.3073242,1.22248302,1.29061342,373286484.0
2009-03-16,1.33560433,1.38188176,1.26876045,1.27454435,317373796.0
2009-03-17,1.28032903,1.39476848,1.25140641,1.39036595,275566528.0
2009-03-18,1.37095489,1.5393515,1.33431859,1.48793265,387890532.0
2009-03-19,1.5444937,1.54577944,1.42365871,1.43779955,294113916.0
2009-03-20,1.45772352,1.46415145,1.33367611,1.34010404,223127924.00000003
2009-03-23,1.45193961,1.63576204,1.43522883,1.63319133,296740692.0
2009-03-24,1.56699149,1.6424392,1.52958994,1.53087991,272196320.0
2009-03-25,1.57666437,1.65985039,1.44317937,1.57343905,373023056.0
2009-03-26,1.63276709,1.69080284,1.58569188,1.68151687,333359300.0
2009-03-27,1.61406515,1.64372918,1.57021604,1.58182273,249685632.0
2009-03-30,1.476711,1.47735714,1.37863029,1.42576895,216827000.0
2009-03-31,1.47219802,1.54828955,1.44124556,1.45865598,222666928.0
2009-04-01,1.40900314,1.57021604,1.39610493,1.54648421,260872815.99999997
2009-04-02,1.67984075,1.75528846,1.65211208,1.68435451,334140748.0
2009-04-03,1.68564448,1.74110183,1.6450176,1.73916725,205640392.0
2009-04-06,1.68435451,1.71143781,1.62502801,1.7017657,206779344.0
2009-04-07,1.61406515,1.6424392,1.57086064,1.57343905,216050928.0
2009-04-08,1.60245847,1.65082288,1.576019,1.62760796,220069144.0
2009-04-09,1.75980144,1.82299787,1.73916725,1.81848411,244692812.0
2009-04-13,1.76625055,1.87071613,1.74755093,1.83112309,182191724.0
2009-04-14,1.77334425,1.82800146,1.71917611,1.7352981,226105492.0
2009-04-15,1.69918652,1.79397999,1.68435451,1.78946547,229151408.0
2009-04-16,1.82751162,1.91134224,1.76302677,1.86878233,259437600.0
2009-04-17,1.88812809,1.94283095,1.84621201,1.91134224,211138748.00000003
2009-04-20,1.8036521,1.81268038,1.66049499,1.66552489,214110555.99999997
2009-04-21,1.62696259,1.76689515,1.62180346,1.76302677,271881436.0
2009-04-22,1.70950323,1.84879196,1.7017657,1.73142894,284317016.0
2009-04-23,1.75206391,1.78624091,1.67919461,1.78108256,259103323.99999997
2009-04-24,1.82170789,1.90553851,1.80107215,1.86620315,262841604.0
2009-04-27,1.80236213,1.89135187,1.79075544,1.81848411,235792756.0
2009-04-28,1.76044682,1.862334,1.74755093,1.80623051,191421736.0
2009-04-29,1.85395032,1.97582786,1.84427821,1.91069764,213799128.0
2009-04-30,1.9900145,2.02806066,1.8894173,1.91392142,235925619.99999997
2009-05-01,1.92423967,1.97260331,1.87587526,1.95196834,139582116.0
2009-05-04,1.9906591,2.14787439,1.98421077,2.14671287,203781812.0
2009-05-05,2.12478871,2.15832111,2.07900502,2.12349796,181343376.0
2009-05-06,2.20926392,2.2369926,2.12349796,2.22422516,247214952.0
2009-05-07,2.29631909,2.3059912,2.08996633,2.13317161,247927276.00000003
2009-05-08,2.22022601,2.30083285,2.17250774,2.28471163,249050296.0
2009-05-11,2.18669438,2.21958218,2.13575079,2.15638653,160190488.0
2009-05-12,2.182826,2.19894721,2.05192095,2.13833074,210038388.0
2009-05-13,2.03837814,2.05965848,1.9539153,1.97389329,234922411.99999997
2009-05-14,1.96937876,2.06030308,1.95261295,2.01193944,199944964.0
2009-05-15,2.01193944,2.05514473,1.92810805,1.96293043,178285924.0
2009-05-18,2.0235469,2.14219989,2.01129484,2.13510619,193039508.0
2009-05-19,2.12865709,2.19185428,2.10608754,2.13317161,162805388.0
2009-05-20,2.18733898,2.25504916,2.083518,2.09641466,232455380.0
2009-05-21,2.0177424,2.04418187,1.93585332,1.99904278,203567343.99999997
2009-05-22,2.01903315,2.05321015,1.96615575,1.9835654,161170284.0
2009-05-26,1.94680922,2.15806265,1.94358544,2.148649,206825812.0
2009-05-27,2.148649,2.17508692,2.01967852,2.0248361,203509360.0
2009-05-28,2.08416337,2.13510619,1.98807992,2.10608754,230182268.0
2009-05-29,2.14413447,2.22474054,2.09577006,2.21377845,156877892.0
2009-06-01,2.3059912,2.41819664,2.28793619,2.38272966,167724416.0
2009-06-02,2.36338312,2.438187,2.34532811,2.40401,155811380.0
2009-06-03,2.33565522,2.34468351,2.23570339,2.30534737,157965496.0
2009-06-04,2.32727232,2.37370138,2.27710256,2.35951474,175704580.0
