time,open,high,low,close,Volume
2008-03-31,50.28999,50.28999,50.28999,50.28999,300.0
2008-04-01,50.91,51.36,50.91,51.36,1100.0
2008-04-02,51.85001,52.03,51.85001,51.86,1994.0
2008-04-03,52.11,52.36,52.11,52.32001,1750.0
2008-04-04,57.55,57.55,52.25999,52.45,1680.0
2008-04-07,52.21001,52.71001,50.82001,52.71001,776.0
2008-04-08,66.17,68.17,52.0901,52.46001,4480.0
2008-04-09,52.27,52.28,52.27,52.28,559.0
2008-04-10,55.99001,55.99001,51.67999,51.98,15181.0
2008-04-11,51.8,52.88,51.48,51.48,8221.0
2008-04-14,50.03999,51.46001,47.74001,51.14,8806.0
2008-04-15,52.38,52.38,51.59,51.64999,1550.0
2008-04-16,52.96001,54.3999,52.96001,53.11,13119.0
2008-04-17,52.82001,53.05,52.82001,53.05,3520.0
2008-04-18,53.19,53.6299,53.19,53.50999,3130.0
2008-04-21,54.05,54.05,53.58,53.95,3940.0
2008-04-22,53.92,53.92,53.37,53.37,905.0
2008-04-23,53.59,53.82001,53.59,53.66,2268.0
2008-04-24,53.11,53.67,53.0,53.67,2665.0
2008-04-25,53.64999,53.64999,53.55,53.55,2800.0
2008-04-28,54.03999,55.2,54.03999,54.56,4862.0
2008-04-29,53.91,53.91,53.53999,53.61,11443.0
2008-04-30,53.89,55.39,53.89,54.44,5803.0
2008-05-01,53.73,53.97,53.53,53.84,6608.0
2008-05-02,54.53,55.89999,54.13,54.16,74145.0
2008-05-05,54.53999,54.62,54.47,54.604,10235.0
2008-05-06,54.53,55.03,54.53,55.02,20358.0
2008-05-07,54.84,54.84,54.14999,54.14999,7003.0
2008-05-08,54.39,54.52,54.282,54.282,8173.0
2008-05-09,54.11,54.31,54.11,54.24001,10703.0
2008-05-12,54.49001,54.83,54.37,54.814,1996.0
2008-05-13,54.66,54.75999,54.55,54.7,3334.0
2008-05-14,54.99001,55.07001,54.72,54.72,6589.0
2008-05-15,55.21001,55.48,55.16,55.46201,6840.0
2008-05-16,56.03,56.22,55.84,56.213,8081.0
2008-05-19,56.47,56.63,56.35001,56.39999,4972.0
2008-05-20,55.7301,55.89999,55.63,55.7,41850.0
2008-05-21,55.78,55.86,55.09,55.09,34513.0
2008-05-22,55.58,55.74001,55.08,55.52,39438.0
2008-05-23,55.49001,55.49001,54.808,54.957,9699.0
