time,open,high,low,close,Volume
2007-04-10,75.07001,75.25999,75.0,75.24001,35000.0
2007-04-11,75.16,75.28999,75.03,75.03999,88200.0
2007-04-12,75.06,75.08,74.96001,75.03,78100.0
2007-04-13,75.03999,75.07001,74.85001,74.91,18000.0
2007-04-16,74.99001,74.99001,74.94,74.98,52700.0
2007-04-17,75.16,75.17,75.10001,75.17,25600.0
2007-04-18,75.25,75.33,75.25,75.31,30400.0
2007-04-19,75.36,75.36,75.25,75.28,59700.0
2007-04-20,75.3,75.32001,75.21001,75.25999,32200.0
2007-04-23,75.28,75.42999,75.22,75.36,43200.0
2007-04-24,75.39,75.5,75.14,75.48,77500.0
2007-04-25,75.42999,75.55,75.39,75.42,264200.0
2007-04-26,75.38,75.38,75.25,75.25999,68400.0
2007-04-27,75.28,75.28999,75.21001,75.2448,44800.0
2007-04-30,75.42,75.49001,75.39,75.49001,35900.0
2007-05-01,75.37,75.39,75.2099,75.32001,54800.0
2007-05-02,75.37,75.41,75.28999,75.33,28900.0
2007-05-03,75.33,75.33,75.06,75.28,33800.0
2007-05-04,75.38,75.42,75.3,75.34,19200.0
2007-05-07,75.36,75.52,75.34,75.39,135500.0
2007-05-08,75.48,75.49001,75.33,75.39999,34000.0
2007-05-09,75.47,75.47,75.28999,75.31,50200.0
2007-05-10,75.31,75.38,75.31,75.38,42000.0
2007-05-11,75.47,75.47,75.2601,75.28,38200.0
2007-05-14,75.3,75.3,75.17999,75.23,71200.0
2007-05-15,75.28999,75.3,75.17999,75.2,31600.0
2007-05-16,75.2,75.27,75.17,75.23,56600.0
2007-05-17,75.16,75.17999,75.09,75.12,42700.0
2007-05-18,75.08,75.08,74.92999,74.94,62200.0
2007-05-21,74.95,75.05,74.88,75.03999,49400.0
2007-05-22,75.03999,75.05,74.89,74.92,49800.0
2007-05-23,74.94,74.96001,74.78,74.86,47200.0
2007-05-24,74.83,74.87,74.69,74.85001,38600.0
2007-05-25,74.81,74.87,74.8,74.86,21100.0
2007-05-29,74.77,74.8,74.69,74.75999,27900.0
2007-05-30,74.88,74.89999,74.78999,74.83,35200.0
2007-05-31,74.83,74.83,74.67,74.77,52200.0
2007-06-01,74.42999,74.42999,74.32001,74.34,84900.0
2007-06-04,74.39,74.42999,74.33,74.42,28500.0
2007-06-05,74.37,74.41,74.25,74.3,37400.0
2007-06-06,74.27,74.39,74.25999,74.37,185900.0
2007-06-07,74.10001,74.10001,73.74001,73.85001,75500.0
2007-06-08,73.75,73.86,73.64,73.84,62700.0
2007-06-11,73.75999,73.85001,73.71001,73.75999,77100.0
2007-06-12,73.61,73.61,73.36,73.39999,405400.0
2007-06-13,73.42,73.60001,73.34,73.57001,93800.0
2007-06-14,73.55,73.64,73.47,73.47,109800.0
2007-06-15,73.67999,73.84,73.6499,73.84,108600.0
2007-06-18,73.83,73.94,73.73,73.75999,60300.0
2007-06-19,74.02,74.2,73.94,74.11,73400.0
2007-06-20,74.03,74.03999,73.75,73.75,70300.0
2007-06-21,73.92999,73.94,73.73,73.78999,38500.0
2007-06-22,73.73,74.0,73.69,73.89999,55800.0
2007-06-25,74.10001,74.17999,73.97,74.10001,85500.0
2007-06-26,74.14,74.17999,74.03,74.07001,163100.0
2007-06-27,74.27,74.27,74.09731,74.13,212000.0
2007-06-28,74.16,74.16,73.94,74.03,74300.0
2007-06-29,74.16,74.28,74.13,74.28,389200.0
2007-07-02,74.10001,74.25,73.98,74.2299,74900.0
2007-07-03,74.27,74.33,74.06,74.08,21900.0
2007-07-05,73.92999,73.92999,73.75,73.78,43100.0
2007-07-06,73.67999,73.69,73.59399,73.63,55400.0
2007-07-09,73.72,73.74001,73.64999,73.71001,34900.0
2007-07-10,73.96001,74.09,73.89,74.09,110400.0
2007-07-11,74.05,74.09,73.82001,73.91,37300.0
2007-07-12,74.03,74.03,73.71001,73.81,28100.0
2007-07-13,73.89999,73.9799,73.73,73.92999,86400.0
2007-07-16,73.91,74.14,73.91,74.13,66700.0
2007-07-17,74.06,74.09,73.89,74.03999,37500.0
2007-07-18,74.09,74.25,74.02,74.16,51500.0
2007-07-19,74.02,74.13,73.98,74.13,23500.0
