time,open,high,low,close,Volume
2011-09-13,25.5,25.5,24.19,24.75,10500.0
2011-09-14,24.00999,24.7,24.00999,24.64999,3199.0
2011-09-15,25.0,25.0,24.35001,24.35001,8300.0
2011-09-16,24.64999,24.64999,24.36,24.36,9800.0
2011-09-19,24.0,24.7,24.0,24.7,16101.0
2011-09-20,24.75,24.75,24.75,24.75,500.0
2011-09-21,24.95,25.17999,24.89999,25.17999,37000.0
2011-09-22,25.60001,25.60001,25.60001,25.60001,100.0
2011-09-23,27.0,27.0,25.7,25.7,700.0
2011-09-26,25.89,25.89999,25.78,25.8,3350.0
2011-09-27,25.5,25.5,25.0,25.25,4400.0
2011-09-28,26.0,26.0,25.3,25.48,9100.0
2011-09-29,26.0,26.0,25.75,25.88,2600.0
2011-09-30,25.45,26.0,25.45,26.0,1300.0
2011-10-03,26.5,26.5,26.37,26.5,10908.0
2011-10-04,27.25,27.25,26.36,26.36,26876.0
2011-10-05,26.3,26.5,25.412,25.72,12884.0
2011-10-06,25.0,25.5,25.0,25.3,6004.0
2011-10-07,24.0,25.3,24.0,25.3,5100.0
2011-10-10,17.3,25.10001,16.84,25.03,1600.0
2011-10-11,24.89999,25.14999,24.88,24.88,2300.0
2011-10-12,24.25,24.41,24.25,24.41,1800.0
2011-10-13,24.00999,24.60001,24.00999,24.41,2916.0
2011-10-14,24.05,24.10001,24.0,24.0,400.0
2011-10-17,24.2,24.35001,24.2,24.35001,3700.0
2011-10-18,24.5,24.7,24.0,24.0,1200.0
2011-10-19,23.95,24.27,23.95,24.27,5000.0
2011-10-20,24.14999,24.5,24.14999,24.35001,5464.0
2011-10-21,24.14999,24.25,23.89999,24.0,2200.0
2011-10-24,23.75,23.75,23.1826,23.18269,4466.0
2011-10-25,23.5,23.7,23.0,23.5,14506.0
2011-10-26,23.5,23.5,23.2,23.2,7060.0
2011-10-27,22.39999,22.39999,22.0,22.0,1020.0
2011-10-28,21.85001,21.89999,21.61349,21.61349,3500.0
2011-10-31,22.3,22.39999,22.14999,22.39999,13100.0
2011-11-01,22.92,23.14999,22.75,23.0,37729.0
2011-11-03,21.53,22.8,21.53,22.52,19400.0
2011-11-04,22.64999,22.64999,22.42999,22.42999,5300.0
2011-11-07,22.39999,22.55,22.39999,22.55,800.0
2011-11-08,22.61,22.61,22.61,22.61,2500.0
2011-11-10,22.95,22.95,22.95,22.95,200.0
2011-11-11,22.8,22.8,22.8,22.8,100.0
2011-11-14,22.69,22.8,22.69,22.8,1714.0
2011-11-15,22.56,23.0,22.45,23.0,400.0
2011-11-16,22.89999,22.89999,22.75,22.75,4700.0
2011-11-17,22.98,23.5,22.81,23.5,110769.0
2011-11-18,23.39999,23.78,23.28999,23.3,1000.0
2011-11-21,23.25011,23.42,23.25011,23.42,1335.0
2011-11-22,23.5,23.5,23.5,23.5,100.0
2011-11-23,23.5,23.85001,23.24001,23.85001,3990.0
2011-11-25,24.28999,24.28999,24.28999,24.28999,500.0
2011-11-28,24.5,25.0,24.0,24.28999,14636.0
2011-11-30,23.52,23.60001,23.3576,23.3576,3200.0
2011-12-01,23.00999,23.35001,23.00999,23.2632,1900.0
2011-12-02,22.88,23.03999,22.85001,23.03999,6520.0
2011-12-05,22.85001,22.85001,22.85001,22.85001,300.0
2011-12-06,23.006,23.006,23.006,23.006,150.0
2011-12-08,21.92599,23.39999,21.92599,23.39999,700.0
2011-12-09,23.41,23.7,23.41,23.48,700.0
2011-12-13,23.78,23.95,23.78,23.95,2800.0
2011-12-14,24.38,24.40781,24.28999,24.40781,3103.0
2011-12-15,24.35001,24.35001,24.35001,24.35001,1500.0
2011-12-16,24.85001,24.85001,24.85001,24.85001,100.0
2011-12-19,24.52,24.55,24.52,24.55,1100.0
2011-12-20,24.23,24.23,24.0,24.0,1000.0
2011-12-21,23.97,24.2,23.97,24.0,1300.0
2011-12-22,23.86,23.86,23.69,23.69,603.0
2011-12-27,22.646,22.646,22.646,22.646,400.0
2011-12-30,23.71001,23.71001,23.71001,23.71001,100.0
2012-01-06,22.88,22.92999,22.88,22.92999,200.0
2012-01-09,22.75,22.88,22.75,22.88,200.0
2012-01-10,22.45,22.45,22.45,22.45,100.0
2012-01-11,22.61,22.61,22.42999,22.42999,200.0
2012-01-12,25.49001,25.49001,22.35001,22.35001,300.0
2012-01-13,23.5,23.5,22.64999,22.64999,200.0
2012-01-17,22.34,22.5,22.34,22.5,1200.0
2012-01-18,22.55,22.55,22.55,22.55,1100.0
2012-01-19,22.00999,22.00999,22.0,22.0,200.0
2012-01-20,22.00999,22.96001,22.0,22.10001,13100.0
2012-01-23,21.89999,21.89999,21.89999,21.89999,3000.0
2012-01-24,22.10001,22.10001,22.07001,22.07001,3300.0
2012-01-25,21.89,21.89,21.60001,21.60001,300.0
2012-01-26,21.55,21.75999,21.55,21.75999,5100.0
2012-01-27,21.88,21.88,21.88,21.88,2500.0
2012-01-30,22.50999,22.50999,21.60001,21.60001,200.0
2012-01-31,21.7,21.84,21.7,21.84,2600.0
2012-02-01,21.7,21.7,21.39999,21.39999,200.0
2012-02-02,21.7,21.7,21.48,21.48,200.0
2012-02-03,21.14,21.14,21.10001,21.10001,4100.0
2012-02-06,21.0,21.09,21.0,21.09,400.0
2012-02-07,21.14,21.14,21.10001,21.10001,200.0
2012-02-08,20.92999,20.98,20.92999,20.98,200.0
2012-02-09,20.95,20.95,20.92999,20.94,1400.0
2012-02-10,21.14999,21.14999,21.05,21.05,200.0
2012-02-13,21.12,21.12,21.07001,21.07001,300.0
2012-02-14,21.05,21.05,21.05,21.05,200.0
2012-02-15,20.89999,20.91,20.89999,20.91,300.0
2012-02-16,20.75,20.95,20.75,20.95,200.0
2012-02-17,21.5,21.5,20.73,20.73,700.0
2012-02-21,20.75999,20.78,20.75999,20.78,200.0
2012-02-22,20.62,20.87,20.62,20.87,200.0
2012-02-23,20.75999,20.89999,20.75999,20.89999,200.0
2012-02-24,20.85001,20.85001,20.85001,20.85001,200.0
2012-02-27,20.66,20.75,20.66,20.75,350.0
2012-02-28,20.53,20.58,20.53,20.58,200.0
2012-02-29,20.73,21.5,20.73,21.5,200.0
2012-03-01,20.88,20.88,20.88,20.88,200.0
2012-03-02,20.60001,20.81,20.60001,20.81,200.0
2012-03-05,21.08,21.10001,21.08,21.10001,300.0
2012-03-06,21.55,21.55,21.55,21.55,300.0
2012-03-07,21.46001,21.46001,21.45,21.45,200.0
2012-03-08,21.39,21.39,21.38,21.38,300.0
2012-03-09,21.2,21.2,21.2,21.2,200.0
2012-03-12,21.25999,21.25999,21.25999,21.25999,200.0
2012-03-13,21.28999,21.28999,21.27,21.27,2900.0
2012-03-14,21.00999,21.0443,21.00999,21.0443,1316.0
2012-03-15,21.03999,21.89,20.97,21.0,6000.0
2012-03-16,20.8,20.8,20.78,20.78,400.0
2012-03-19,20.81,21.17,20.7999,21.17,4464.0
2012-03-20,20.89999,20.99001,20.89999,20.92999,500.0
2012-03-21,20.86,20.92999,20.86,20.92999,5900.0
2012-03-22,21.06,21.06,21.06,21.06,200.0
2012-03-23,21.21001,21.21001,21.17999,21.17999,2700.0
2012-03-26,21.10001,21.10001,21.03,21.03,300.0
2012-03-27,20.97,21.05,20.97,21.05,10000.0
2012-03-28,21.06,21.3,21.06,21.3,10400.0
2012-03-29,21.27,21.36,21.2,21.2,96050.0
2012-03-30,21.27,21.38,21.27,21.38,2000.0
2012-04-02,21.17,21.17,21.17,21.17,100.0
2012-04-03,21.19,21.19,21.19,21.19,200.0
2012-04-04,22.94,22.94,21.30099,21.50999,4300.0
2012-04-05,21.39999,21.39999,21.39999,21.39999,100.0
2012-04-09,21.72,21.7299,21.72,21.7299,900.0
2012-04-10,21.74001,21.74001,21.74001,21.74001,200.0
2012-04-11,21.87,21.87,21.87,21.87,200.0
2012-04-13,21.74001,21.75,21.74001,21.75,700.0
2012-04-16,21.7,21.88,21.7,21.88,3100.0
2012-04-17,21.7,21.7,21.69,21.69,900.0
2012-04-18,21.78,21.86,21.78,21.86,300.0
2012-04-19,21.75999,21.77,21.75999,21.77,700.0
2012-04-20,21.81,21.81,21.81,21.81,500.0
2012-04-23,22.2,22.2,22.17,22.17999,2973.0
2012-04-24,22.13,22.17,22.05,22.14,31199.0
2012-04-25,21.91,21.91,21.89,21.89,3000.0
2012-04-26,21.89,21.89,21.89,21.89,500.0
2012-04-27,21.89,21.91,21.8,21.8,53897.0
2012-04-30,22.41,22.41,21.89999,21.98,34900.0
2012-05-01,21.95,21.95,21.7,21.8,17997.0
2012-05-02,21.99001,22.00999,21.81,21.81,46887.0
2012-05-03,22.0,22.37,22.0,22.37,73887.0
2012-05-04,22.85001,23.10001,22.39,22.55,16199.0
2012-05-07,22.86,22.86,22.46001,22.56,40426.0
2012-05-08,22.77,22.95799,22.72,22.95,17700.0
2012-05-09,22.95,22.97,22.78,22.8,37310.0
2012-05-10,22.71201,22.91,22.7,22.85001,24389.0
2012-05-11,22.95,22.95,22.75999,22.83,109800.0
2012-05-14,22.92,23.03999,22.91,23.0,45400.0
2012-05-15,23.11,23.27,23.03999,23.27,48000.0
2012-05-16,23.27,23.5,23.10001,23.5,9300.0
2012-05-17,23.55,23.72,23.55,23.72,15000.0
2012-05-18,23.69,23.82001,23.67999,23.77,3470.0
2012-05-21,23.75,23.75,23.48199,23.48199,7604.0
2012-05-22,23.39999,23.47,23.3127,23.47,4500.0
2012-05-23,23.66,23.71001,23.45,23.49001,50400.0
2012-05-24,23.37,23.61,23.37,23.57001,6927.0
2012-05-25,23.48,23.5,23.44,23.5,5200.0
2012-05-29,23.25,23.37,23.2,23.21001,22500.0
2012-05-30,23.4455,23.92,23.4455,23.60001,58647.0
2012-05-31,23.60001,23.74001,23.60001,23.63,45406.0
2012-06-01,23.94,24.13,23.94,24.10831,15074.0
2012-06-04,24.16,24.53,24.16,24.34,71760.0
2012-06-05,24.35001,24.35001,24.0845,24.0845,17299.0
2012-06-06,24.02499,24.02499,23.73,23.96001,10250.0
2012-06-07,23.58,23.97,23.58,23.88,8191.0
2012-06-08,24.03999,24.07001,23.83,23.87151,96360.0
2012-06-11,23.82001,24.34,23.82001,24.34,12212.0
2012-06-12,24.57001,24.57001,24.14,24.16,52825.0
2012-06-13,24.35001,24.4299,24.08,24.4299,26500.0
2012-06-14,24.39999,24.45,24.28,24.399,36762.0
2012-06-15,24.48,24.48,24.03999,24.03999,45750.0
2012-06-18,24.291,24.364,24.12,24.229,36331.0
2012-06-19,24.0,24.16,23.75101,23.8801,30000.0
2012-06-20,24.2,24.2,23.57001,23.84,39896.0
2012-06-21,23.83501,24.25,23.75999,23.99001,100000.0
2012-06-22,24.07001,24.25999,23.98,24.09,77472.0
2012-06-25,24.39439,24.59,24.28999,24.52,38209.0
