time,open,high,low,close,Volume
2006-02-03,24.10001,24.8,23.85001,24.5,1080700.0
2006-02-06,24.55,24.66,24.10001,24.2,771500.0
2006-02-07,24.05,24.2,23.45,23.5,674400.0
2006-02-08,23.49001,23.67,23.33,23.39999,335400.0
2006-02-09,23.56,23.82001,23.50999,23.62,705900.0
2006-02-10,23.64999,23.69,23.10001,23.1899,276700.0
2006-02-13,23.19,23.2,22.77,22.83,237600.0
2006-02-14,22.8,22.83,22.61,22.64,256400.0
2006-02-15,22.7,22.73,22.24001,22.31,404800.0
2006-02-16,22.33,22.62,22.25,22.58,463600.0
2006-02-17,22.72,22.92,22.67999,22.89999,467700.0
2006-02-21,23.35001,23.39999,23.10001,23.28,714100.0
2006-02-22,23.14999,23.3,22.85001,22.89999,543900.0
2006-02-23,22.85001,23.10001,22.644,22.82001,380400.0
2006-02-24,23.2,23.45,23.0,23.44,535300.0
2006-02-27,23.2,23.25,22.92,22.98,664500.0
2006-02-28,23.05,23.3,22.86,23.28999,579700.0
2006-03-01,23.28,23.28,23.05,23.24001,270500.0
2006-03-02,23.36,23.72,23.27,23.66,885900.0
2006-03-03,23.77,23.89,23.56,23.88,362900.0
2006-03-06,23.75,23.75,23.25,23.5,588300.0
2006-03-07,23.28999,23.34,22.97,23.09,341300.0
2006-03-08,22.78,22.89999,22.53,22.72,243700.0
2006-03-09,22.85001,22.99001,22.7301,22.95,413100.0
2006-03-10,22.73,22.94,22.53,22.85001,398800.0
2006-03-13,22.85001,23.16,22.69,23.14999,328800.0
2006-03-14,23.14,23.53,23.08,23.49001,331700.0
2006-03-15,23.47,23.53999,23.16,23.23,566900.0
2006-03-16,23.23,23.48,23.09,23.42999,642100.0
2006-03-17,23.47,23.52,23.25,23.32001,324200.0
2006-03-20,23.22,23.35001,22.75999,22.84,495500.0
2006-03-21,22.8,23.03999,22.64999,22.92,412200.0
2006-03-22,23.0,23.05,22.75999,22.88,283800.0
2006-03-23,22.95,23.27,22.8,23.27,224500.0
2006-03-24,23.22,23.39,23.13,23.22,310800.0
2006-03-27,23.28,23.42999,23.2,23.36,147300.0
2006-03-28,23.39,23.67999,23.39,23.66,355200.0
2006-03-29,23.62,23.82001,23.55,23.82001,319600.0
2006-03-30,23.82001,24.17999,23.82001,24.11,603700.0
2006-03-31,23.94,24.07001,23.7,23.94,402600.0
2006-04-03,24.17999,24.34,24.0,24.05,406400.0
2006-04-04,23.94,23.99001,23.75,23.92,201400.0
2006-04-05,24.0,24.2,23.95,24.07001,297300.0
2006-04-06,24.33,24.56,24.33,24.5,619900.0
2006-04-07,24.35001,24.42999,24.14999,24.39,415600.0
2006-04-10,24.69,24.85001,24.50999,24.84,497100.0
2006-04-11,24.85001,24.95,24.60001,24.94,537900.0
2006-04-12,24.92,25.08,24.75,24.89,517700.0
2006-04-13,24.75,25.05,24.64999,25.05,233200.0
2006-04-17,25.2,25.35001,25.08,25.32001,526600.0
2006-04-18,25.38,25.71001,25.31,25.64999,886800.0
2006-04-19,25.69,26.0,25.55,25.89999,558500.0
2006-04-20,25.88,25.88,25.3,25.60001,640100.0
2006-04-21,25.67,26.21001,25.50999,26.14,559000.0
2006-04-24,25.99001,26.09,25.56,25.62,481900.0
