time,open,high,low,close,Volume
2007-12-13,95.55,95.55,95.0,95.0,200.0
2007-12-14,94.07001,94.07001,94.0,94.0,1100.0
2007-12-19,96.33,98.69,96.0,97.83,4900.0
2007-12-20,98.36,99.08,98.36,98.52,2800.0
2007-12-21,96.22,96.22,96.05,96.05,3300.0
2007-12-26,94.44,94.81,93.17,93.17,4200.0
2007-12-27,94.09,94.09,94.09,94.09,100.0
2007-12-28,95.46001,96.62,95.46001,96.62,1400.0
2007-12-31,97.17,97.71001,97.17,97.71001,800.0
2008-01-02,100.27,100.27,100.27,100.27,200.0
2008-01-03,99.39999,99.84,98.82001,99.84,2600.0
2008-01-04,100.3,100.32001,100.3,100.32001,300.0
2008-01-07,99.8,100.69,99.77,100.69,400.0
2008-01-08,100.02,100.02,99.42,99.81,3100.0
2008-01-09,102.7,102.7,100.64999,100.75,3200.0
2008-01-10,100.47,100.47,97.59,97.59,1800.0
2008-01-11,97.59,97.59,97.59,97.59,900.0
2008-01-14,98.0,98.22,97.842,98.22,1800.0
2008-01-15,99.75,100.67999,99.75,100.67999,2600.0
2008-01-16,100.37,100.72,98.97,100.53,2400.0
2008-01-17,99.45,101.3,99.45,101.16,3500.0
2008-01-18,100.09,100.38,99.59,100.38,2700.0
2008-01-22,100.55,101.19,98.10001,101.19,7400.0
2008-01-23,102.17999,102.74001,102.17999,102.505,3300.0
2008-01-24,99.74001,99.74001,97.75,97.75,4800.0
2008-01-25,98.02,99.24001,97.98,99.24001,800.0
2008-01-28,100.03999,100.24001,99.506,99.506,2000.0
2008-01-29,98.24001,98.24001,96.28011,97.89999,2100.0
2008-01-30,97.24001,97.24001,95.78999,95.78999,3600.0
2008-01-31,98.09,98.09,97.57001,97.99001,500.0
2008-02-01,98.02,98.5,98.02,98.39999,2600.0
2008-02-04,97.10989,97.52,97.10989,97.52,200.0
2008-02-05,98.78999,98.83,97.83,98.27,7800.0
2008-02-06,97.11,97.11,97.11,97.11,100.0
2008-02-07,99.39,99.39,93.57001,93.57001,7700.0
2008-02-08,94.58,95.57001,94.58,95.57001,1500.0
2008-02-11,96.53,96.53,95.88,95.96001,1400.0
2008-02-12,95.0,95.0,94.0,94.67,9900.0
2008-02-13,93.75,94.11,93.2001,94.11,3200.0
2008-02-14,92.48,92.48,90.8,90.86,9200.0
2008-02-15,90.83,91.89999,90.83,91.48,1300.0
2008-02-19,90.7,91.14999,90.02,90.49001,9500.0
2008-02-20,89.46001,90.96001,89.46001,90.96001,9400.0
2008-02-21,93.60001,93.73,93.14999,93.14999,2000.0
2008-02-22,93.99001,94.60001,92.99001,92.99001,2800.0
2008-02-25,93.60001,93.60001,89.28,89.28,11400.0
2008-02-26,91.2,91.55,89.5,90.73,3100.0
2008-02-27,92.0,92.0,88.86,90.33,6100.0
2008-02-28,93.66,93.66,93.66,93.66,100.0
2008-02-29,95.39999,95.39999,94.41,94.57001,2100.0
2008-03-03,96.39999,96.39999,94.25,96.37,700.0
2008-03-04,96.3,96.3,94.53999,94.56,700.0
2008-03-07,95.2,95.22,93.71001,93.89999,5700.0
2008-03-10,93.73,94.64999,92.5,94.64999,6900.0
2008-03-11,94.45,94.45,93.81,93.81,1300.0
2008-03-12,92.62,94.7,92.62,94.25999,3200.0
2008-03-13,96.25999,96.25999,95.91,95.91,2100.0
2008-03-14,96.32001,96.53,95.75,95.75,3800.0
2008-03-17,98.62,99.75999,98.33,99.49001,2700.0
2008-03-18,101.61,101.61,96.66,99.12,1200.0
2008-03-19,99.17999,101.52,96.78999,101.52,2500.0
2008-03-20,101.34,102.67,101.1472,102.67,1400.0
2008-03-24,102.7128,102.7128,99.5,99.5,4500.0
2008-03-25,99.83,99.87,98.53999,98.96001,2500.0
2008-03-26,100.64999,100.64999,99.60989,99.60989,800.0
2008-03-27,98.88,98.88,97.92999,97.92999,600.0
2008-03-31,100.13,100.71001,99.92999,99.92999,1000.0
2008-04-01,98.56,98.56,97.35001,97.35001,500.0
2008-04-02,97.48,98.45,97.38,98.17999,2100.0
2008-04-03,98.41,98.88,98.19,98.19,1300.0
2008-04-04,99.77,99.77,99.74001,99.76601,300.0
2008-04-08,98.98,98.98,98.98,98.98,100.0
2008-04-09,99.74001,99.74001,99.64,99.64,300.0
2008-04-10,99.42,99.84,99.09,99.09,700.0
2008-04-11,100.25,100.32001,100.25,100.32001,1500.0
2008-04-14,102.83,102.83,97.05,99.67999,2600.0
2008-04-15,98.10001,98.10001,97.39999,97.39999,300.0
2008-04-16,96.53,96.62,96.00999,96.00999,1000.0
2008-04-17,95.42,95.42,94.17,94.3,2100.0
2008-04-18,94.03999,94.11,94.03999,94.11,300.0
2008-04-21,94.86,96.16,94.86,95.88,700.0
2008-04-22,96.0,96.11,95.89,96.06,1100.0
2008-04-23,95.99001,95.99001,94.575,95.95,500.0
2008-04-28,94.07001,94.07001,92.97,93.87,1800.0
2008-04-29,91.85001,95.17999,91.85001,94.32001,2005.0
2008-04-30,95.17999,95.17999,94.72,95.0,900.0
2008-05-01,96.77,96.77,91.17999,95.8,1200.0
2008-05-02,94.53,94.53,94.53,94.53,100.0
2008-05-06,92.63,92.63,92.63,92.63,100.0
