time,open,high,low,close,Volume
1996-03-18,60.0,60.252,60.0,60.252,16300.0
1996-03-19,60.0,60.0,60.0,60.0,2500.0
1996-03-20,60.0,60.0,60.0,60.0,4350.0
1996-03-21,60.5,61.5,60.5,61.5,18300.0
1996-03-22,61.0,61.5,61.0,61.25,19825.0
1996-03-25,62.0,62.0,61.25,61.75,65275.0
1996-03-26,61.75,62.0,61.5,61.75,94075.0
1996-03-27,62.25,62.5,62.0,62.25,24000.0
1996-03-28,62.0,62.5,62.0,62.25,102575.0
1996-03-29,62.5,63.0,62.5,62.75,254525.0
1996-04-01,63.0,63.0,62.75,62.75,80875.0
1996-04-02,63.0,63.25,63.0,63.25,6100.0
1996-04-03,63.0,63.0,62.5,62.75,25775.0
1996-04-04,62.75,63.0,62.75,63.0,25450.0
1996-04-08,62.5,62.5,62.0,62.0,15525.0
1996-04-09,62.75,63.0,62.5,63.0,276600.0
1996-04-10,62.75,63.0,62.5,62.5,71350.0
1996-04-11,62.5,62.75,62.5,62.5,1300.0
1996-04-12,62.5,62.75,62.5,62.75,450.0
1996-04-15,62.75,63.0,62.75,63.0,131250.0
1996-04-16,62.75,63.25,62.75,63.0,60900.0
1996-04-17,62.75,62.75,62.5,62.75,18300.0
1996-04-18,63.0,63.25,62.75,63.0,21350.0
1996-04-19,63.5,64.0,63.5,63.75,9750.0
1996-04-22,64.5,65.75,64.5,65.75,35500.0
1996-04-23,65.0,65.25,65.0,65.25,11975.0
1996-04-24,65.25,66.0,65.25,66.0,260600.0
1996-04-25,65.5,66.0,65.5,65.75,6550.0
1996-04-26,66.25,66.25,65.5,66.0,7600.0
1996-04-29,66.0,66.25,65.5,65.5,10700.0
1996-04-30,65.75,65.75,65.5,65.75,10425.0
1996-05-01,65.0,65.75,65.0,65.75,7175.0
1996-05-02,64.5,65.25,64.5,65.0,15300.0
1996-05-03,65.0,65.0,64.75,65.0,13475.0
1996-05-06,65.0,65.25,64.5,64.75,44525.0
1996-05-07,64.5,64.75,64.25,64.75,51075.0
1996-05-08,65.0,65.0,64.0,65.0,5100.0
1996-05-09,64.5,64.75,64.5,64.75,19275.0
1996-05-10,64.5,64.5,64.0,64.25,4000.0
1996-05-13,63.5,63.5,63.0,63.25,5100.0
1996-05-14,63.75,63.75,63.5,63.75,13400.0
1996-05-15,64.5,64.5,64.0,64.25,134775.0
1996-05-16,64.5,64.5,64.0,64.5,2350.0
1996-05-17,64.0,64.25,63.75,64.0,5625.0
1996-05-20,64.0,64.0,63.75,63.75,1825.0
1996-05-21,63.5,63.5,63.5,63.5,9950.0
1996-05-22,63.5,63.5,63.25,63.25,650.0
1996-05-23,63.0,63.0,62.5,62.75,7325.0
1996-05-24,62.5,62.5,62.5,62.5,4050.0
1996-05-28,62.0,62.5,62.0,62.5,11975.0
1996-05-29,62.25,62.5,62.25,62.5,27875.0
1996-05-30,63.0,63.0,62.25,62.75,4850.0
1996-05-31,62.25,62.75,62.25,62.75,1875.0
1996-06-03,62.25,62.25,61.75,61.75,2600.0
1996-06-04,61.75,62.25,61.75,62.25,1025.0
1996-06-05,62.25,62.25,61.75,62.0,8800.0
1996-06-06,62.0,62.0,62.0,62.0,2150.0
1996-06-07,61.0,61.5,61.0,61.5,9875.0
1996-06-10,61.5,61.5,61.0,61.5,14700.0
1996-06-11,61.75,61.75,61.75,61.75,225.0
1996-06-12,62.0,62.5,62.0,62.5,20525.0
1996-06-13,62.5,62.75,62.0,62.75,26700.0
1996-06-14,62.75,63.25,62.75,63.0,79225.0
1996-06-17,63.0,63.0,62.5,62.75,14525.0
1996-06-18,63.25,63.5,63.25,63.5,29625.0
1996-06-19,63.5,63.75,63.25,63.75,8500.0
1996-06-20,63.75,64.0,63.5,64.0,2500.0
1996-06-21,63.5,64.5,63.5,64.5,36225.0
1996-06-24,64.75,64.75,63.5,63.5,131350.0
1996-06-25,63.75,64.0,63.25,63.25,20200.0
1996-06-26,63.75,63.75,63.5,63.5,5050.0
1996-06-27,63.5,63.5,63.5,63.5,2350.0
1996-06-28,63.5,63.5,63.5,63.5,725.0
1996-07-01,63.0,63.25,63.0,63.25,2250.0
