time,open,high,low,close,Volume
2020-12-18,25.5406,25.5406,25.5406,25.5406,1.0
2020-12-24,25.705,25.705,25.705,25.705,9.0
2020-12-31,26.45,26.45,26.4462,26.4462,226.0
2021-01-08,26.405,26.405,26.405,26.405,61.0
2021-01-11,25.965,25.965,25.965,25.965,1.0
2021-01-14,26.97,26.975,26.9478,26.9478,347.0
2021-01-15,26.44,26.44,26.44,26.44,41.0
2021-01-19,26.6911,26.6911,26.6911,26.6911,3.0
2021-01-29,26.62,26.62,26.5991,26.5991,300.0
2021-02-05,26.6,26.69,26.6,26.69,436.0
2021-02-11,27.04,27.04,27.035,27.035,375.0
2021-02-12,27.14,27.1447,27.14,27.1447,151.0
2021-02-16,27.4748,27.4748,27.4748,27.4748,132.0
2021-02-17,27.3,27.3,27.285,27.285,433.0
2021-02-18,27.56,27.56,27.545,27.545,121.0
2021-02-19,27.875,27.875,27.7564,27.7564,1196.0
2021-02-23,28.38,28.38,28.38,28.38,9.0
2021-02-24,28.57,28.7644,28.55,28.7644,900.0
2021-02-25,28.7,28.7337,28.68,28.7337,1056.0
2021-02-26,28.285,28.3,28.13,28.145,2512.0
2021-03-01,28.0,28.0,27.766,27.766,4232.0
2021-03-02,27.88,27.89,27.8147,27.8147,1308.0
2021-03-03,27.87,27.9202,27.87,27.9202,300.0
2021-03-04,28.02,28.025,28.02,28.025,1000.0
2021-03-08,28.095,28.095,28.095,28.095,59.0
2021-03-09,27.96,27.96,27.87,27.87,3801.0
2021-03-10,27.895,27.895,27.895,27.895,7.0
2021-03-12,28.21,28.41,28.21,28.41,901.0
2021-03-15,28.3498,28.3498,28.3498,28.3498,36.0
2021-03-17,28.21,28.21,28.21,28.21,20.0
2021-03-18,27.7657,27.7657,27.7657,27.7657,700.0
2021-03-19,27.79,27.8515,27.79,27.8515,415.0
2021-03-22,28.13,28.13,27.78,27.79,7412.0
2021-03-23,27.55,27.55,27.3,27.3,323.0
2021-03-25,27.53,27.53,27.06,27.06,901.0
2021-03-26,27.38,27.38,27.3705,27.3705,208.0
2021-03-29,27.6,27.7,27.57,27.7,1950.0
2021-03-31,27.78,27.78,27.43,27.6007,5918.0
2021-04-01,27.68,27.68,27.49,27.49,601.0
2021-04-05,27.5,27.55,27.5,27.55,200.0
2021-04-06,27.66,27.69,27.57,27.57,3400.0
2021-04-07,27.46,27.5414,27.46,27.5414,208.0
2021-04-08,27.39,27.43,27.39,27.43,681.0
2021-04-09,28.76,28.76,27.625,27.625,1900.0
2021-04-12,27.46,27.46,27.46,27.46,20.0
2021-04-13,27.42,27.42,27.42,27.42,1620.0
2021-04-19,27.9433,28.01,27.9433,27.96,551.0
2021-04-20,28.12,28.12,28.12,28.12,94.0
2021-04-22,28.38,28.38,28.38,28.38,2.0
2021-04-23,28.5199,28.52,28.44,28.44,594.0
2021-04-26,28.795,28.795,28.795,28.795,4.0
2021-04-28,28.8676,28.8676,28.8676,28.8676,87.0
2021-04-29,29.27,29.27,29.185,29.185,120.0
2021-04-30,29.275,29.275,29.275,29.275,28.0
2021-05-03,29.1,29.1,29.1,29.1,55.0
2021-05-04,29.2901,29.2901,29.2901,29.2901,3.0
2021-05-05,29.4319,29.4319,29.4319,29.4319,102.0
2021-05-06,29.45,29.48,29.45,29.47,298.0
2021-05-10,29.47,29.47,29.47,29.47,20.0
2021-05-11,29.7373,29.8162,29.7373,29.8162,435.0
2021-05-12,29.86,30.44,29.86,30.4186,2236.0
2021-05-13,29.5076,29.5076,29.38,29.38,181.0
2021-05-14,29.4003,29.4003,29.4003,29.4003,742.0
2021-05-17,29.64,29.64,29.64,29.64,20.0
2021-05-19,29.26,29.3525,29.26,29.3525,238.0
2021-05-20,29.55,29.56,28.9196,28.9196,2832.0
2021-05-21,29.1373,29.1373,29.1373,29.1373,20.0
