time,open,high,low,close,Volume
2020-04-23,4.5115,4.5115,4.504,4.504,0.0
2020-04-24,4.5,4.5,4.5,4.5,250.0
2020-04-27,4.529,4.5575,4.529,4.5575,240.0
2020-04-28,4.581,4.6,4.581,4.6,0.0
2020-04-29,4.6055,4.607,4.6055,4.607,0.0
2020-04-30,4.6005,4.6005,4.6005,4.6005,0.0
2020-05-04,4.6005,4.6005,4.6005,4.6005,0.0
2020-05-05,4.5555,4.5555,4.5555,4.5555,0.0
2020-05-06,4.563,4.574,4.5295,4.5295,100.0
2020-05-07,4.5085,4.5605,4.5085,4.5605,0.0
2020-05-08,4.5625,4.564,4.5585,4.5585,0.0
2020-05-11,4.5995,4.5995,4.571,4.5785,0.0
2020-05-12,4.556,4.5905,4.5495,4.5495,1017.0
2020-05-13,4.4835,4.4835,4.4545,4.4545,0.0
2020-05-14,4.4215,4.4295,4.4215,4.422,0.0
2020-05-15,4.4935,4.4935,4.45,4.4595,0.0
2020-05-18,4.537,4.602,4.537,4.602,1099.0
2020-05-19,4.5975,4.5975,4.5525,4.569,200.0
2020-05-20,4.537,4.5575,4.537,4.5575,150.0
2020-05-21,4.511,4.5135,4.511,4.5135,0.0
2020-05-22,4.4935,4.531,4.4935,4.531,0.0
2020-05-25,4.583,4.62,4.583,4.612,20.0
2020-05-26,4.628,4.628,4.6,4.6,0.0
2020-05-27,4.6125,4.619,4.5815,4.5855,1000.0
2020-05-28,4.636,4.647,4.636,4.647,0.0
2020-05-29,4.612,4.612,4.591,4.591,0.0
2020-06-02,4.63,4.6445,4.6235,4.6235,2150.0
2020-06-03,4.644,4.6575,4.644,4.6575,0.0
2020-06-04,4.6555,4.6555,4.6055,4.6055,0.0
2020-06-05,4.6095,4.7205,4.6095,4.7205,0.0
2020-06-08,4.699,4.728,4.699,4.728,1000.0
2020-06-09,4.7435,4.7435,4.6845,4.6845,1056.0
2020-06-10,4.699,4.699,4.65,4.65,1076.0
2020-06-11,4.609,4.609,4.502,4.502,3224.0
2020-06-12,4.4785,4.529,4.4785,4.5005,3550.0
2020-06-15,4.38,4.46,4.38,4.46,0.0
2020-06-16,4.5315,4.615,4.5315,4.615,0.0
2020-06-17,4.6115,4.6525,4.6115,4.627,30.0
2020-06-18,4.6015,4.6295,4.5955,4.6135,2164.0
2020-06-19,4.6275,4.649,4.6275,4.648,0.0
2020-06-22,4.5745,4.575,4.5715,4.575,0.0
2020-06-23,4.5915,4.607,4.591,4.591,0.0
2020-06-24,4.561,4.561,4.486,4.486,0.0
2020-06-25,4.476,4.5155,4.476,4.492,0.0
2020-06-26,4.545,4.5535,4.5015,4.5015,0.0
2020-06-29,4.4885,4.51,4.487,4.51,0.0
2020-06-30,4.54,4.5585,4.535,4.5585,0.0
2020-07-01,4.6025,4.6025,4.576,4.5865,30.0
2020-07-02,4.6135,4.648,4.6135,4.645,50.0
2020-07-03,4.657,4.657,4.617,4.617,1000.0
2020-07-06,4.671,4.679,4.643,4.643,2100.0
2020-07-07,4.625,4.6385,4.611,4.6385,0.0
2020-07-08,4.609,4.609,4.5705,4.5765,900.0
2020-07-09,4.582,4.589,4.543,4.543,80.0
2020-07-10,4.5505,4.584,4.5505,4.584,1000.0
2020-07-13,4.624,4.634,4.624,4.634,0.0
2020-07-14,4.5825,4.5825,4.5675,4.576,0.0
2020-07-15,4.623,4.6545,4.623,4.65,100.0
2020-07-16,4.6335,4.6365,4.627,4.627,0.0
2020-07-17,4.6575,4.6625,4.64,4.6625,0.0
2020-07-20,4.642,4.667,4.642,4.667,0.0
2020-07-21,4.6885,4.71,4.6885,4.6945,0.0
2020-07-22,4.656,4.656,4.6295,4.6485,0.0
2020-07-23,4.683,4.684,4.6785,4.6785,0.0
2020-07-24,4.608,4.6435,4.5985,4.5985,0.0
2020-07-27,4.573,4.573,4.551,4.551,0.0
2020-07-28,4.5765,4.583,4.563,4.583,0.0
2020-07-29,4.5565,4.5785,4.5565,4.5785,0.0
2020-07-30,4.572,4.572,4.547,4.5495,0.0
2020-07-31,4.494,4.531,4.494,4.519,0.0
2020-08-03,4.571,4.6005,4.571,4.6005,0.0
2020-08-04,4.5925,4.602,4.581,4.602,0.0
2020-08-05,4.6065,4.6065,4.568,4.568,0.0
2020-08-06,4.5685,4.5715,4.5685,4.5715,0.0
2020-08-07,4.586,4.6245,4.586,4.6245,1089.0
2020-08-10,4.6545,4.662,4.6495,4.6495,0.0
2020-08-11,4.6705,4.6705,4.649,4.649,20.0
2020-08-12,4.651,4.6565,4.6435,4.6565,0.0
2020-08-13,4.636,4.641,4.623,4.641,0.0
2020-08-14,4.644,4.644,4.6315,4.6355,0.0
2020-08-17,4.6215,4.6385,4.6215,4.6385,0.0
2020-08-18,4.6175,4.628,4.6135,4.6135,0.0
2020-08-19,4.6115,4.6235,4.6115,4.6235,1000.0
2020-08-20,4.6005,4.623,4.6005,4.623,0.0
2020-08-21,4.618,4.6325,4.618,4.6255,0.0
2020-08-24,4.649,4.651,4.648,4.651,0.0
2020-08-25,4.686,4.686,4.6595,4.6595,469.0
