time,open,high,low,close,Volume
2021-05-20,40.2199,40.279,40.179,40.2158,2313.0
2021-05-21,40.24,40.24,39.9391,39.9391,6237.0
2021-05-24,40.37,40.37,40.2981,40.2981,887.0
2021-05-25,41.2,41.2,40.6741,40.6741,332.0
2021-05-26,40.95,40.98,40.9354,40.9354,2870.0
2021-05-27,40.92,40.9502,40.87,40.9502,701.0
2021-05-28,41.26,41.26,41.2051,41.2051,796.0
2021-06-01,42.0147,42.0147,42.0147,42.0147,204.0
2021-06-02,42.079,42.0833,42.075,42.0833,1330.0
2021-06-03,41.619,41.619,41.6009,41.6009,401.0
2021-06-04,42.12,42.12,42.1025,42.1025,279.0
2021-06-07,41.79,41.89,41.79,41.8403,263.0
2021-06-08,41.679,41.73,41.679,41.6921,275.0
2021-06-09,41.749,41.749,41.6389,41.6389,589.0
2021-06-10,41.99,42.04,41.979,42.0218,3783.0
2021-06-11,41.9199,41.9199,41.845,41.845,403.0
2021-06-14,41.8891,41.8891,41.8891,41.8891,75.0
2021-06-15,41.602,41.602,41.602,41.602,103.0
2021-06-16,41.55,41.55,41.1172,41.1172,817.0
2021-06-17,41.42,41.42,41.343,41.343,141.0
2021-06-18,41.094,41.094,41.094,41.094,111.0
2021-06-21,41.148,41.2047,41.148,41.2047,1036.0
2021-06-22,41.0821,41.0821,41.0821,41.0821,249.0
2021-06-23,41.47,41.47,41.2497,41.2497,444.0
2021-06-24,41.55,41.6699,41.55,41.583,443.0
2021-06-25,41.801,41.801,41.801,41.801,66.0
2021-06-28,41.885,41.905,41.85,41.9001,2684.0
2021-06-29,41.8634,41.8634,41.8634,41.8634,136.0
2021-06-30,41.67,41.6889,41.66,41.6889,415.0
2021-07-01,41.369,41.3883,41.33,41.3883,1222.0
2021-07-02,41.299,41.3991,41.279,41.3991,353.0
2021-07-06,41.0,41.0,40.849,40.8862,897.0
2021-07-07,41.109,41.109,40.8758,40.8758,384.0
2021-07-08,40.115,40.2103,40.115,40.2103,265.0
2021-07-09,40.753,40.76,40.6889,40.6889,2722.0
2021-07-12,40.629,40.6753,40.625,40.6753,588.0
2021-07-13,41.02,41.02,40.6979,40.6979,352.0
2021-07-14,41.02,41.04,40.9445,40.9789,717.0
2021-07-15,41.095,41.146,41.07,41.146,276.0
2021-07-16,40.949,40.949,40.7972,40.7972,4125.0
2021-07-19,40.215,40.3045,40.215,40.3045,302.0
2021-07-20,40.459,40.57,40.459,40.4829,296.0
2021-07-21,40.27,40.62,40.27,40.5662,2209.0
2021-07-22,40.6495,40.7374,40.6495,40.7374,293.0
2021-07-23,40.05,40.18,40.05,40.18,941.0
2021-07-26,39.36,39.4116,39.3417,39.3417,2616.0
2021-07-27,38.8002,38.8002,38.8002,38.8002,183.0
2021-07-28,39.45,39.7589,39.45,39.7589,405.0
2021-07-29,39.86,39.909,39.79,39.8469,2187.0
2021-07-30,39.59,39.63,39.5416,39.5416,489.0
2021-08-02,39.98,39.98,39.857,39.857,259.0
2021-08-03,39.935,40.021,39.935,40.021,559.0
2021-08-04,40.2799,40.329,40.2776,40.2776,663.0
2021-08-05,40.15,40.15,40.1138,40.1138,750.0
2021-08-06,39.85,39.85,39.6468,39.6468,1023.0
2021-08-09,39.909,39.909,39.8306,39.8306,670.0
2021-08-10,39.785,39.819,39.776,39.776,380.0
2021-08-11,39.9147,39.9147,39.9147,39.9147,292.0
2021-08-12,39.54,39.54,39.5356,39.5356,178.0
2021-08-13,39.529,39.53,39.48,39.5233,2718.0
2021-08-16,39.265,39.265,39.2,39.2501,3529.0
2021-08-17,38.65,38.72,38.6,38.6075,2707.0
2021-08-18,38.6541,38.6541,38.6541,38.6541,44.0
2021-08-19,38.0,38.0095,38.0,38.0095,229.0
2021-08-20,37.9969,37.9969,37.9969,37.9969,32.0
2021-08-23,38.2501,38.519,38.2501,38.4986,627.0
2021-08-24,39.33,39.33,39.2982,39.2982,841.0
2021-08-25,39.27,39.3179,39.27,39.3179,856.0
2021-08-26,39.09,39.09,38.9365,38.9365,281.0
2021-08-27,39.3973,39.3973,39.3973,39.3973,218.0
2021-08-30,39.5687,39.5687,39.5687,39.5687,54.0
2021-08-31,40.08,40.16,40.08,40.1479,2310.0
2021-09-01,40.519,40.6518,40.519,40.6518,622.0
2021-09-02,40.65,40.65,40.3858,40.3858,324.0
2021-09-03,40.6005,40.6005,40.6005,40.6005,193.0
2021-09-07,40.77,40.8364,40.77,40.8364,233.0
