time,open,high,low,close,Volume
2018-08-02,24.87,25.1,24.87,25.0991,12132.0
2018-08-03,25.2,25.22,25.131,25.22,2994.0
2018-08-06,25.31,25.31,25.2665,25.281,2123.0
2018-08-07,25.44,25.44,25.419,25.419,639.0
2018-08-08,25.37,25.41,25.37,25.41,4000.0
2018-08-09,25.46,25.46,25.4,25.44,2201.0
2018-08-10,25.29,25.32,25.28,25.28,3108.0
2018-08-13,25.4,25.4,25.22,25.22,397.0
2018-08-14,25.34,25.34,25.3209,25.3209,1246.0
2018-08-15,25.25,25.25,25.1,25.16,5511.0
2018-08-16,25.3937,25.3937,25.38,25.38,841.0
2018-08-17,25.345,25.48,25.34,25.46,1082.0
2018-08-20,25.5099,25.559,25.5099,25.55,5530.0
2018-08-21,25.59,25.639,25.59,25.6,1805.0
2018-08-22,25.55,25.6,25.55,25.58,9061.0
2018-08-23,25.5883,25.619,25.53,25.5394,4919.0
2018-08-24,25.66,25.7,25.66,25.7,514.0
2018-08-27,25.85,25.85,25.7942,25.85,1852.0
2018-08-28,25.97,25.97,25.8056,25.82,1108.0
2018-08-29,25.9,25.96,25.8625,25.95,6786.0
2018-08-30,25.97,25.97,25.89,25.89,3456.0
2018-08-31,25.87,25.87,25.8196,25.8196,595.0
2018-09-04,25.7818,25.79,25.78,25.79,1566.0
2018-09-06,25.81,25.81,25.6,25.6,6222.0
2018-09-07,25.6104,25.6104,25.6104,25.6104,582.0
2018-09-10,25.62,25.62,25.5928,25.6,1815.0
2018-09-11,25.5835,25.6961,25.5835,25.68,16211.0
2018-09-12,25.62,25.62,25.62,25.62,700.0
2018-09-14,25.79,25.8,25.7682,25.8,1533.0
2018-09-17,25.7104,25.7104,25.7,25.7057,909.0
2018-09-18,25.75,25.777,25.713,25.777,2231.0
2018-09-19,25.7363,25.76,25.7363,25.76,2966.0
2018-09-20,25.9191,25.96,25.9191,25.96,1101.0
2018-09-21,25.97,25.9796,25.9297,25.9297,12865.0
2018-09-24,25.9,25.9,25.8,25.84,1308.0
2018-09-26,25.66,25.85,25.66,25.78,3820.0
2018-09-27,25.78,25.84,25.75,25.75,1914.0
2018-09-28,25.76,25.78,25.72,25.73,6677.0
2018-10-01,25.85,25.85,25.85,25.85,122.0
2018-10-02,25.84,25.84,25.84,25.84,164.0
2018-10-03,25.82,25.82,25.82,25.82,710.0
2018-10-04,25.5499,25.55,25.39,25.52,3582.0
2018-10-05,25.36,25.36,25.36,25.36,103.0
2018-10-08,25.28,25.362,25.19,25.362,884.0
2018-10-09,25.3,25.4232,25.3,25.338,1701.0
2018-10-10,25.125,25.125,24.6013,24.6013,3005.0
2018-10-11,24.56,24.653,24.41,24.41,6155.0
2018-10-12,24.565,24.565,24.27,24.284,1825.0
2018-10-15,24.42,24.51,24.41,24.42,5349.0
2018-10-16,24.77,24.77,24.77,24.77,505.0
2018-10-17,24.82,24.82,24.79,24.79,680.0
2018-10-18,24.7599,24.76,24.7599,24.76,966.0
2018-10-19,24.6699,24.6699,24.6699,24.6699,340.0
2018-10-22,24.449,24.449,24.38,24.38,2048.0
2018-10-23,23.994,24.359,23.9836,24.359,1207.0
2018-10-24,24.03,24.03,23.8963,23.8963,2069.0
2018-10-25,23.99,24.13,23.9514,24.13,2786.0
2018-10-26,23.73,23.74,23.73,23.74,201.0
2018-10-29,23.5699,23.5699,23.5699,23.5699,432.0
