time,open,high,low,close,Volume
2014-11-07,25.16,25.25,25.16,25.25,501.0
2014-11-10,25.25,25.25,25.12,25.12,5660.0
2014-11-11,24.91,25.18,24.91,25.12,8000.0
2014-11-12,25.199,25.2,25.1,25.1,806.0
2014-11-13,24.95,24.95,24.53,24.56,2900.0
2014-11-17,24.72,24.72,24.72,24.72,210.0
2014-11-18,24.72,24.72,24.59,24.63,11967.0
2014-11-19,24.71,24.71,24.55,24.55,2608.0
2014-11-21,24.99,25.0,24.79,24.95,8315.0
2014-11-24,24.88,24.9,24.742,24.77,900.0
2014-11-25,24.9,24.9399,24.65,24.66,6563.0
2014-11-26,24.73,24.73,24.73,24.73,133.0
2014-11-28,23.92,23.92,23.51,23.51,3090.0
2014-12-01,23.46,23.58,23.45,23.58,5996.0
2014-12-02,23.78,23.78,23.46,23.46,1238.0
2014-12-03,23.46,23.5099,23.36,23.36,1202.0
2014-12-04,23.33,23.39,23.29,23.31,22015.0
2014-12-08,22.869,22.912,22.85,22.85,1300.0
2014-12-09,22.89,23.08,22.85,23.03,28004.0
2014-12-10,23.3,23.3,22.77,22.77,200.0
2014-12-11,22.599,22.64,22.52,22.5299,31390.0
2014-12-12,22.48,22.48,22.32,22.33,51685.0
2014-12-15,22.33,22.33,21.94,21.94,1695.0
2014-12-16,21.8,22.04,21.7601,21.848,14084.0
2014-12-17,25.0,25.0,21.76,22.01,6149.0
2014-12-18,22.25,22.25,21.93,22.035,13261.0
2014-12-19,22.06,22.27,21.94,22.27,3460.0
2014-12-22,22.27,22.27,21.8,21.8,3663.0
2014-12-23,21.86,22.119,21.86,22.07,54279.0
2014-12-24,21.81,21.82,21.73,21.745,15700.0
2014-12-26,21.86,21.86,21.68,21.73,12381.0
2014-12-29,21.87,21.87,21.54,21.54,15167.0
2014-12-30,21.58,21.58,21.52,21.54,10295.0
2014-12-31,21.22,21.34,21.2,21.34,9079.0
2015-01-02,22.38,22.38,21.12,21.16,6650.0
2015-01-05,21.05,21.05,20.86,20.9,2546.0
2015-01-06,20.8,20.91,20.6471,20.6471,5492.0
2015-01-07,20.69,20.69,20.52,20.5257,1176.0
2015-01-08,20.53,20.58,20.48,20.54,2808.0
2015-01-09,20.96,20.96,20.44,20.44,1900.0
2015-01-12,20.36,20.36,20.17,20.1956,835.0
2015-01-13,20.12,20.12,20.0792,20.0792,662.0
2015-01-14,19.96,20.279,19.885,20.277,5136.0
2015-01-15,20.054,20.08,20.01,20.02,7334.0
2015-01-16,20.19,20.344,20.13,20.344,1702.0
2015-01-20,20.12,20.1401,20.0,20.09,5955.0
2015-01-21,20.59,20.59,20.17,20.1799,1749.0
2015-01-22,20.33,20.33,20.16,20.2336,1603.0
2015-01-23,20.1,20.22,20.08,20.08,4761.0
2015-01-26,20.07,20.07,20.01,20.0397,1196.0
2015-01-27,20.05,20.1599,20.0,20.1599,2056.0
2015-01-28,20.07,20.07,19.88,19.88,662.0
2015-01-30,19.71,20.24,19.7,20.24,1917.0
2015-02-02,20.3,20.4884,20.259,20.4884,5181.0
2015-02-03,20.8444,21.15,20.8444,21.15,4263.0
2015-02-05,20.67,20.83,20.67,20.83,17728.0
2015-02-06,20.88,20.88,20.86,20.86,6411.0
2015-02-09,21.0099,21.086,21.0099,21.05,1209.0
2015-02-11,21.32,21.32,20.621,20.621,12906.0
2015-02-12,20.92,20.92,20.92,20.92,150.0
2015-02-18,21.152,21.152,20.9652,20.9652,1154.0
2015-02-19,20.71,20.71,20.71,20.71,431.0
2015-02-20,20.86,20.86,20.831,20.85,449.0
2015-02-23,20.74,20.74,20.66,20.6699,887.0
2015-02-24,20.69,20.69,20.69,20.69,284.0
2015-02-25,20.8,20.8,20.72,20.72,2556.0
2015-02-26,21.39,21.39,20.76,20.76,679.0
2015-02-27,21.01,21.07,21.01,21.04,800.0
2015-03-02,20.96,20.96,20.76,20.76,2491.0
2015-03-04,20.8,20.8,20.6899,20.6899,1436.0
2015-03-05,21.14,21.14,20.6299,20.6299,1994.0
2015-03-06,20.55,20.55,20.37,20.37,947.0
2015-03-09,20.41,20.41,20.28,20.28,1010.0
2015-03-10,20.82,20.82,20.01,20.01,2857.0
2015-03-11,20.0,20.09,19.9901,20.09,997.0
2015-03-12,20.25,20.2599,20.25,20.2599,650.0
2015-03-13,19.96,19.96,19.65,19.65,8615.0
2015-03-16,19.61,19.6301,19.55,19.602,2665.0
2015-03-17,19.5,19.5,19.45,19.45,509.0
2015-03-18,19.425,19.48,19.425,19.48,412.0
2015-03-19,19.71,19.71,19.64,19.67,1962.0
2015-03-20,19.99,19.99,19.93,19.93,357.0
2015-03-23,20.21,20.21,20.21,20.21,517.0
2015-03-24,20.24,20.24,20.029,20.03,499.0
2015-03-26,20.36,20.36,20.3557,20.3557,4200.0
2015-03-27,20.76,20.76,20.1258,20.1258,422.0
2015-03-31,19.93,19.99,19.75,19.75,2192.0
2015-04-01,19.82,20.1,19.82,20.1,563.0
2015-04-02,20.0,20.03,20.0,20.03,440.0
2015-04-06,20.26,20.3499,20.26,20.3499,2161.0
2015-04-07,20.28,20.43,20.28,20.38,1135.0
2015-04-08,20.33,20.33,20.2953,20.2953,375.0
2015-04-09,19.971,19.971,19.971,19.971,186.0
2015-04-10,20.18,20.18,20.15,20.153,2105.0
2015-04-13,20.12,20.12,20.11,20.11,373.0
2015-04-14,20.17,20.19,20.16,20.16,799.0
2015-04-15,20.3,20.3,20.3,20.3,382.0
2015-04-16,20.67,20.75,20.6625,20.75,1950.0
2015-04-17,20.78,20.78,20.78,20.78,355.0
2015-04-20,20.63,20.74,20.6,20.6,1134.0
2015-04-21,21.45,21.45,20.576,20.61,1962.0
2015-04-22,20.59,20.6,20.57,20.58,1451.0
2015-04-23,21.12,21.12,20.81,20.8101,1293.0
2015-04-24,20.83,20.83,20.83,20.83,313.0
2015-04-28,20.84,20.84,20.84,20.84,140.0
2015-04-29,20.88,20.88,20.88,20.88,575.0
2015-04-30,21.01,21.12,20.9572,21.12,1640.0
2015-05-01,21.67,21.67,21.03,21.16,57459.0
2015-05-04,21.1,21.1,21.1,21.1,311.0
2015-05-06,21.5413,21.5413,21.3062,21.3062,1398.0
2015-05-07,21.53,21.53,21.53,21.53,172.0
2015-05-08,21.13,21.13,20.945,21.1041,2195.0
2015-05-11,21.13,21.13,21.13,21.13,444.0
2015-05-12,21.2535,21.27,21.2535,21.27,513.0
2015-05-13,21.42,21.42,21.28,21.29,15822.0
2015-05-14,21.57,21.57,21.38,21.38,274.0
2015-05-15,21.24,21.33,21.24,21.32,3170.0
2015-05-18,21.34,21.34,21.18,21.22,52742.0
2015-05-19,21.08,21.08,20.844,20.844,1059.0
2015-05-21,20.99,21.07,20.96,20.9952,11150.0
2015-05-22,20.88,20.88,20.88,20.88,199.0
2015-05-26,20.5,20.55,20.344,20.344,1314.0
2015-05-27,20.25,20.25,20.06,20.06,892.0
2015-05-28,19.98,20.15,19.98,20.11,2743.0
2015-05-29,20.25,20.38,20.25,20.38,1586.0
2015-06-02,20.62,20.62,20.58,20.58,523.0
2015-06-03,20.65,20.65,20.2,20.2,5709.0
2015-06-04,20.34,20.34,19.99,19.99,719.0
2015-06-05,20.074,20.08,20.05,20.08,5874.0
2015-06-08,20.28,20.28,20.28,20.28,327.0
2015-06-09,20.4,20.4,20.4,20.4,312.0
2015-06-10,20.99,20.99,20.47,20.87,2918.0
2015-06-15,20.307,20.3399,20.307,20.3399,476.0
2015-06-16,20.32,20.32,20.32,20.32,136.0
2015-06-17,20.32,20.32,20.32,20.32,169.0
2015-06-18,20.48,20.48,20.48,20.48,275.0
2015-06-22,20.33,20.33,20.33,20.33,467.0
2015-06-24,20.35,20.54,20.35,20.47,1087.0
2015-06-25,20.4,20.4,20.37,20.37,287.0
2015-06-26,20.48,20.48,20.388,20.388,615.0
2015-06-29,20.49,20.49,20.2157,20.2157,549.0
2015-06-30,20.51,20.51,20.446,20.446,420.0
2015-07-06,20.09,20.09,19.5801,19.5801,3970.0
2015-07-07,19.55,19.63,19.55,19.63,1360.0
2015-07-08,19.78,19.78,19.3701,19.7,790.0
2015-07-09,19.95,20.03,19.91,19.91,2985.0
2015-07-13,20.0,25.51,19.929,20.0,1516.0
2015-07-14,22.0,22.0,19.05,19.2,2779.0
2015-07-15,19.5675,19.85,19.48,19.664,7956.0
2015-07-17,19.62,19.62,19.2001,19.2001,1999.0
2015-07-20,19.32,19.32,19.32,19.32,136.0
2015-07-21,19.35,19.35,19.04,19.0408,948.0
2015-07-22,19.04,19.04,18.86,19.04,1013.0
2015-07-23,18.99,18.99,18.99,18.99,178.0
2015-07-27,18.2501,18.3,18.23,18.3,5779.0
2015-07-30,18.56,18.56,18.26,18.26,367.0
2015-07-31,18.45,18.4599,18.44,18.4599,3982.0
2015-08-03,17.912,17.912,17.825,17.825,1139.0
2015-08-04,18.04,18.04,18.04,18.04,384.0
2015-08-05,18.1,18.1,17.8946,17.8946,1453.0
2015-08-07,17.91,17.94,17.87,17.87,1316.0
2015-08-10,17.9699,17.9699,17.9699,17.9699,154.0
2015-08-11,18.0,18.0,17.94,18.0,815.0
2015-08-12,18.11,18.11,18.11,18.11,261.0
2015-08-14,17.81,17.82,17.81,17.82,1054.0
2015-08-17,17.82,17.82,17.74,17.74,758.0
2015-08-18,17.68,17.68,17.63,17.64,865.0
2015-08-19,17.51,17.51,17.36,17.39,1427.0
2015-08-20,17.437,17.437,17.437,17.437,356.0
2015-08-21,17.32,17.32,17.1671,17.1671,4458.0
2015-08-24,16.72,16.912,16.67,16.75,2819.0
2015-08-25,16.858,16.858,16.858,16.858,227.0
2015-08-26,16.77,16.77,16.77,16.77,305.0
2015-08-27,16.99,16.99,16.99,16.99,580.0
2015-08-28,17.65,17.8,17.65,17.8,1870.0
2015-08-31,17.48,18.1,17.48,18.08,12320.0
2015-09-01,17.99,17.99,17.55,17.569,7493.0
2015-09-02,17.77,17.77,17.77,17.77,165.0
2015-09-03,17.82,17.885,17.7699,17.82,682.0
2015-09-04,17.76,17.76,17.62,17.62,1551.0
2015-09-08,17.69,17.69,17.31,17.31,534.0
2015-09-09,17.8,17.8,17.6399,17.64,627.0
2015-09-10,19.47,19.47,17.52,17.73,3572.0
2015-09-11,17.358,17.36,17.358,17.36,282.0
2015-09-14,17.54,17.54,17.49,17.49,468.0
2015-09-15,17.47,17.47,17.44,17.45,653.0
2015-09-16,17.86,17.8605,17.75,17.78,824.0
2015-09-17,17.73,17.73,17.73,17.73,100.0
2015-09-18,17.55,17.55,17.55,17.55,340.0
2015-09-21,17.5,17.61,17.5,17.61,1408.0
