time,open,high,low,close,Volume
2007-12-12,51.17999,51.17999,51.17999,51.17999,100.0
2007-12-13,50.64,51.25,50.64,51.25,11600.0
2007-12-14,51.02,51.17,50.89999,50.89999,5200.0
2007-12-17,48.7,48.84,48.55,48.67999,7400.0
2007-12-18,49.16,49.16,48.5,48.5,4000.0
2007-12-19,53.0,53.0,48.25,48.75,17700.0
2007-12-20,49.66,49.66,47.96001,48.45,19500.0
2007-12-21,49.42999,49.59,48.64,49.3,46800.0
2007-12-24,50.35001,50.35001,49.22,49.56,34300.0
2007-12-26,50.24001,50.24001,49.0,49.16,22600.0
2007-12-27,49.89999,49.94,49.28,49.61,36700.0
2007-12-28,50.02,50.10001,49.5,50.05,36000.0
2007-12-31,50.10001,50.98,49.7,50.98,63700.0
2008-01-02,50.11,50.3,49.03999,50.27,24800.0
2008-01-03,50.0,50.23,49.8,50.23,8200.0
2008-01-04,51.64999,51.64999,48.5,48.5,10600.0
2008-01-07,47.73,47.74001,47.28,47.67999,16900.0
2008-01-08,48.63,48.63,47.58,47.63,3500.0
2008-01-09,48.06,48.06,46.47,47.25,10300.0
2008-01-10,46.66,46.66,46.39999,46.58,7400.0
2008-01-11,46.25,46.25,45.72,46.24001,2400.0
2008-01-14,48.53,48.53,46.4801,46.72,10000.0
2008-01-15,45.89,45.99001,45.5,45.55,13300.0
2008-01-16,44.75,44.75,43.92999,43.97,4500.0
2008-01-17,45.37,45.37,43.77,44.10001,16000.0
2008-01-18,44.3199,44.3199,44.03,44.03,3700.0
2008-01-22,46.0,88.06,41.13,45.38,14200.0
2008-01-23,42.19,46.91,42.10001,46.91,58900.0
2008-01-24,45.64,45.64,44.42999,44.48,29000.0
2008-01-25,45.35001,45.35001,44.5401,44.56,13700.0
2008-01-28,44.99001,44.99001,43.97009,44.36,9500.0
2008-01-29,44.89999,45.16,44.57001,44.97,11700.0
2008-01-30,47.35001,47.35001,43.0,45.27,6200.0
2008-01-31,42.37,45.66,42.37,45.66,15200.0
2008-02-01,46.47,46.47,45.59,45.64999,13400.0
2008-02-04,46.05,46.78,46.05,46.59,2900.0
2008-02-05,45.5,45.5,44.31,44.31,7300.0
2008-02-06,45.0,45.0,44.33,44.47,4600.0
2008-02-07,43.88,43.88,42.59,42.59,15800.0
2008-02-08,42.25,45.5,42.25,43.13,25700.0
2008-02-11,44.64999,44.64999,43.16,43.72,12400.0
2008-02-12,43.28,44.06,43.28,44.02,5800.0
2008-02-13,44.22,44.24001,43.92999,43.92999,26000.0
2008-02-14,44.75999,44.77,44.59,44.59,4900.0
