time,open,high,low,close,Volume
2022-01-04,20.18,20.18,19.965,19.98,224775.0
2022-01-05,20.009,20.01,19.67,19.67,12287.0
2022-01-06,19.42,19.64,19.42,19.64,27970.0
2022-01-07,19.47,19.66,19.4,19.59,58344.0
2022-01-10,19.53,19.54,19.44,19.5369,20404.0
2022-01-11,19.5,19.79,19.5,19.7598,20841.0
2022-01-12,20.049,20.06,20.0,20.0,10417.0
2022-01-13,19.9908,20.01,19.8393,19.8393,34660.0
2022-01-14,19.8,19.87,19.04,19.76,22219.0
2022-01-18,19.54,19.57,19.5,19.5,4796.0
2022-01-19,19.54,19.54,19.3526,19.41,462325.0
2022-01-20,19.42,19.51,19.39,19.43,54079.0
2022-01-21,19.32,19.43,19.25,19.36,48819.0
2022-01-24,19.22,19.36,19.115,19.28,13630.0
2022-01-25,19.1,19.3,19.1,19.2601,6239.0
2022-01-26,19.2,19.42,19.05,19.05,95216.0
2022-01-27,19.05,19.6536,18.9449,18.9449,3538.0
2022-01-28,18.97,19.24,18.97,19.23,9321.0
2022-01-31,19.25,19.45,19.2041,19.37,8436.0
2022-02-01,19.35,19.5,19.35,19.39,2270.0
2022-02-02,19.43,19.61,19.4,19.46,5057.0
2022-02-03,19.5,19.5,19.19,19.19,3441.0
2022-02-04,19.2,19.27,19.0,19.01,117512.0
2022-02-07,19.0,19.17,19.0,19.06,2874.0
2022-02-08,18.99,19.2899,18.99,19.09,23626.0
2022-02-09,19.13,19.33,19.13,19.26,43387.0
2022-02-10,19.25,19.32,19.0,19.0,19614.0
2022-02-11,19.02,19.037,19.0,19.037,7700.0
2022-02-14,18.9,18.93,18.9,18.93,2463.0
2022-02-15,18.8,18.9399,18.74,18.89,34899.0
2022-02-16,18.8,18.93,18.785,18.92,7869.0
2022-02-17,18.87,19.26,18.8699,18.91,14053.0
2022-02-18,18.805,18.89,18.805,18.87,2434.0
2022-02-22,18.8,18.92,18.74,18.83,64294.0
2022-02-23,18.84,18.84,18.5836,18.5836,11984.0
2022-02-24,18.515,18.56,18.5,18.5279,3282.0
2022-02-25,18.62,18.84,18.62,18.8,13929.0
2022-02-28,18.7,19.0096,18.7,19.0096,8981.0
2022-03-01,19.2,19.27,18.87,19.27,25978.0
2022-03-02,19.3,19.6299,19.3,19.5052,24169.0
2022-03-03,19.29,19.42,19.2,19.2,5002.0
2022-03-04,19.08,19.252,19.08,19.252,2589.0
2022-03-07,19.44,19.48,19.25,19.3293,5055.0
2022-03-08,19.25,19.4,19.25,19.2901,2838.0
2022-03-09,19.32,19.32,19.17,19.17,13947.0
2022-03-10,18.92,18.95,18.85,18.88,14451.0
2022-03-11,18.89,18.89,18.81,18.83,14348.0
2022-03-14,18.95,18.95,18.46,18.48,28483.0
2022-03-15,18.41,18.41,18.12,18.12,90614.0
2022-03-16,18.19,18.61,18.165,18.49,24877.0
2022-03-17,18.68,18.69,18.6365,18.6365,13807.0
2022-03-18,18.93,19.06,18.92,18.92,12487.0
2022-03-21,18.78,18.98,18.64,18.879,37799.0
2022-03-22,18.64,18.83,18.5,18.6,14395.0
2022-03-23,18.8,18.89,18.8,18.8208,39359.0
2022-03-24,18.79,18.96,18.72,18.74,17455.0
2022-03-25,18.7,18.8371,18.61,18.8371,1430.0
2022-03-28,18.74,18.74,18.6,18.61,3643.0
2022-03-29,18.76,18.76,18.61,18.61,1427.0
2022-03-30,18.62,18.96,18.62,18.7356,1942.0
2022-03-31,18.815,18.88,18.7,18.73,4563.0
2022-04-01,18.75,18.76,18.62,18.725,15089.0
2022-04-04,18.78,18.89,18.78,18.85,2837.0
2022-04-05,18.61,18.61,18.43,18.45,11644.0
2022-04-06,18.24,18.24,18.12,18.17,4003.0
2022-04-07,18.07,18.07,17.95,18.06,4292.0
2022-04-08,17.96,18.0,17.9148,17.9148,3379.0
