time,open,high,low,close,Volume
2007-07-26,48.48,48.67,47.5,47.89999,101000.0
2007-07-27,47.78,48.03999,47.14999,47.17,579000.0
2007-07-30,47.87,48.14,47.66,47.96001,298400.0
2007-07-31,48.50999,48.67,47.89999,47.89999,210400.0
2007-08-01,47.67999,48.10001,47.24001,48.10001,353821.0
2007-08-02,47.92,48.14,47.66,47.96001,251800.0
2007-08-03,47.82001,47.82001,47.14,47.17,309600.0
2007-08-06,47.28999,47.89999,47.25,47.89,232100.0
2007-08-07,47.39999,48.24001,47.39999,47.96001,193900.0
2007-08-08,48.39999,48.89999,48.38,48.67999,137700.0
2007-08-09,47.46001,47.85001,47.2,47.22,195800.0
2007-08-10,47.25,47.25,46.19,46.59,291300.0
2007-08-13,47.03,47.11,46.67,46.67,133700.0
2007-08-14,46.91,46.91,46.05,46.07001,64200.0
2007-08-15,45.49001,45.9888,44.97,44.98,345800.0
2007-08-16,44.73,44.78999,43.69,44.77,552000.0
2007-08-17,45.7,45.7,44.88,45.39999,403200.0
2007-08-20,45.63,45.63,45.0,45.46001,672200.0
2007-08-21,45.33,45.6346,45.33,45.45,41200.0
2007-08-22,46.17999,46.59,46.17999,46.59,96800.0
2007-08-23,46.95,47.00999,46.5,46.78999,329600.0
2007-08-24,46.81,47.53999,46.78999,47.53999,112700.0
2007-08-27,47.3,47.3,47.07001,47.07001,111200.0
2007-08-28,46.75999,46.75999,45.89999,45.92,256100.0
2007-08-29,46.55,47.14999,46.37,47.14,177400.0
2007-08-30,46.42999,47.13,46.42999,46.8,173300.0
2007-08-31,47.75999,47.98,47.53281,47.86,684900.0
2007-09-04,47.62,48.17999,47.47,48.09,136700.0
2007-09-05,47.35001,47.41,47.13,47.25999,90600.0
2007-09-06,47.39,47.66,47.19,47.53999,278000.0
2007-09-07,47.00999,47.07001,46.74001,46.88,197200.0
2007-09-10,47.0,47.0434,46.36,46.69,176800.0
2007-09-11,47.16,47.53999,47.16,47.53,685900.0
2007-09-12,47.3,47.67,47.25,47.49001,56200.0
2007-09-13,47.73,47.914,47.64999,47.75,137700.0
2007-09-14,47.28,47.63,47.23,47.53,164700.0
2007-09-17,47.13,47.19,46.7,46.86,99400.0
2007-09-18,47.12,48.48,47.06,48.35001,147200.0
2007-09-19,48.83,49.13,48.77,48.86,115050.0
2007-09-20,48.89,49.10001,48.74001,48.75999,378600.0
2007-09-21,49.13,49.2646,48.99001,49.11,212800.0
2007-09-24,49.34,49.34,49.00999,49.06,165400.0
2007-09-25,48.94,49.3,48.89,49.3,56100.0
2007-09-26,49.53999,49.59,49.34,49.48,94000.0
2007-09-27,50.06,50.08,49.83,50.07001,191900.0
2007-09-28,50.14,50.31,49.89,50.14,258000.0
2007-10-01,50.14,50.91,50.14,50.86,640000.0
2007-10-02,50.77,50.78,50.48,50.7,375000.0
2007-10-03,50.62,50.64999,50.39,50.42,581100.0
2007-10-04,50.63,50.7146,50.42,50.64,815600.0
2007-10-05,50.86,51.25,50.85001,51.13,405800.0
2007-10-08,50.78999,50.8,50.55,50.64,245200.0
2007-10-09,50.75999,51.27,50.75999,51.27,183200.0
2007-10-10,51.03999,51.1925,50.92,51.12,202700.0
2007-10-11,51.67999,51.92,51.28,51.37,154000.0
2007-10-12,51.3,51.63,51.22,51.52,180400.0
2007-10-15,51.50999,51.52,50.94,51.08,299500.0
2007-10-16,50.57001,50.61459,50.3078,50.38,476200.0
2007-10-17,51.03999,51.07001,50.57001,50.89999,266400.0
2007-10-18,50.85001,51.12,50.78999,51.02,165100.0
2007-10-19,50.74001,50.75,49.92,49.95,365600.0
2007-10-22,49.55,49.8,49.39,49.78,493200.0
2007-10-23,50.47,50.61,50.17,50.60001,408300.0
2007-10-24,50.38,50.46159,49.73,50.44,197500.0
2007-10-25,50.48,50.66991,50.27,50.62,513000.0
2007-10-26,51.25999,51.62,51.194,51.57001,79500.0
2007-10-29,51.7,52.05,51.7,52.03999,135500.0
2007-10-30,51.67,51.81,51.64011,51.66,126000.0
2007-10-31,51.92999,52.60001,51.8,52.36,247800.0
2007-11-01,51.55,51.55,51.05,51.05,514500.0
2007-11-02,51.11,51.41,50.86,51.35001,390400.0
2007-11-05,50.53,50.86,50.466,50.75999,268000.0
2007-11-06,51.28999,51.48,51.05,51.48,191100.0
2007-11-07,51.17,51.33,50.42999,50.49001,634900.0
2007-11-08,50.75999,50.89999,50.2,50.83,358900.0
2007-11-09,50.64999,50.64999,49.53999,49.64,221900.0
2007-11-12,49.23,49.52,48.7901,48.85001,254500.0
2007-11-13,49.67999,50.31,49.66,50.28999,346200.0
2007-11-14,51.02,51.02,50.0,50.11,118860.0
2007-11-15,49.5,49.67999,48.89,49.2,363100.0
2007-11-16,49.53,49.53,49.0,49.39,518900.0
2007-11-19,49.5,49.5,47.92,48.14999,341900.0
2007-11-20,48.89999,49.3,48.62,49.14,321100.0
2007-11-21,49.12,49.12,47.81,48.14,212800.0
2007-11-23,48.33,50.98,48.28999,49.17999,137500.0
2007-11-26,49.62,49.62,48.42999,48.42999,352050.0
2007-11-27,48.98,49.25999,48.7,49.25,254800.0
2007-11-28,49.39999,50.60001,49.39999,50.53,280400.0
2007-11-29,50.16,50.42,49.94,50.21001,177000.0
2007-11-30,50.42,51.17999,50.22,50.39,346140.0
2007-12-03,50.45,50.45,50.17999,50.2,245800.0
2007-12-04,50.2,50.48,49.82001,49.85001,319319.0
2007-12-05,50.36,50.6958,50.34399,50.55,214700.0
2007-12-06,50.03999,51.02,50.03999,51.02,375407.0
2007-12-07,50.86,50.89999,50.72,50.82001,533498.0
2007-12-10,51.03999,51.35001,51.03,51.31,230445.0
2007-12-11,51.32001,51.39,49.92999,50.06,212500.0
2007-12-12,51.53,51.53,50.5,50.85201,511500.0
2007-12-13,49.98,50.2,49.49001,49.989,512600.0
2007-12-14,49.97,49.97,48.60001,48.64,399865.0
2007-12-17,48.83,48.83,47.57001,47.59,349100.0
2007-12-18,48.33,48.36,47.5,48.11,462076.0
2007-12-19,48.45,48.45,47.5,47.78,387780.0
