time,open,high,low,close,Volume
2005-03-10,50.89999,51.2,50.75,50.89999,67500.0
2005-03-11,51.10001,51.25,50.89999,50.89999,25200.0
2005-03-14,50.75,50.85001,50.64999,50.85001,26600.0
2005-03-15,50.95,50.95,50.7,50.7,34900.0
2005-03-16,50.89999,50.89999,50.5,50.5,9700.0
2005-03-17,50.5,50.60001,50.45,50.5,12500.0
2005-03-18,50.42,50.42,50.2,50.2,9700.0
2005-03-21,50.05,50.05,49.60001,49.85001,20100.0
2005-03-22,49.78,50.0,49.2,49.38,25100.0
2005-03-23,48.8,49.05,48.8,49.05,7300.0
2005-03-24,49.05,49.42999,49.05,49.25,18300.0
2005-03-28,49.0,49.25,49.0,49.14999,121100.0
2005-03-29,49.14999,49.25,49.05,49.1485,3000.0
2005-03-30,48.95,49.48,48.95,49.48,12700.0
2005-03-31,49.55,49.55,49.2,49.25,12600.0
2005-04-01,49.60001,49.64999,48.81,48.89999,54600.0
2005-04-04,48.7,49.05,48.5,49.05,6800.0
2005-04-05,49.1985,49.27,49.07001,49.12,18600.0
2005-04-06,49.36,49.56,49.10001,49.50999,87600.0
2005-04-07,49.67999,49.95,49.60001,49.7,58500.0
2005-04-08,49.64999,49.89999,49.5,49.64999,79800.0
2005-04-11,50.0,50.2,49.75,50.17999,59200.0
2005-04-12,49.64,50.19,49.5,50.19,21400.0
2005-04-13,49.75,49.89999,49.35001,49.35001,123200.0
2005-04-14,49.39,49.39999,49.0,49.0,61600.0
2005-04-15,49.05,49.3,48.5,48.67999,61600.0
2005-04-18,48.45,48.69,48.45,48.69,15300.0
2005-04-19,48.89999,49.14999,48.89999,49.14999,20900.0
2005-04-20,48.74001,48.89999,48.44,48.45,13700.0
2005-04-21,49.99001,49.99001,48.72,49.14999,15100.0
2005-04-22,49.14999,49.2,48.75,48.75,60600.0
2005-04-25,49.03,49.14,48.75,49.14,5800.0
2005-04-26,48.8,48.89999,48.64999,48.64999,22400.0
2005-04-27,48.2,48.44,48.10001,48.39999,6800.0
2005-04-28,48.0,48.0,47.67999,47.67999,8900.0
2005-04-29,48.2,48.2,47.89,48.19,12600.0
2005-05-02,48.19,48.25,48.05,48.2,23700.0
2005-05-03,48.35001,48.60001,48.31,48.5,156700.0
2005-05-04,48.74001,49.28999,48.73,49.28999,63900.0
2005-05-05,49.32001,49.34,49.0,49.09,88900.0
