time,open,high,low,close,Volume
2007-12-05,23.33,23.33,23.33,23.33,0
2007-12-06,22.1,22.1,22.1,22.1,0
2007-12-07,22.18,22.18,22.18,22.18,0
2007-12-10,21.93,21.93,21.93,21.93,0
2007-12-11,24.12,24.12,24.12,24.12,0
2007-12-12,23.29,23.29,23.29,23.29,0
2007-12-13,23.52,23.52,23.52,23.52,0
2007-12-14,24.21,24.21,24.21,24.21,0
2007-12-17,25.53,25.53,25.53,25.53,0
2007-12-18,24.67,24.67,24.67,24.67,0
2007-12-19,23.81,23.81,23.81,23.81,0
2007-12-20,22.87,22.87,22.87,22.87,0
2007-12-21,21.5,21.5,21.5,21.5,0
2007-12-24,21.14,21.14,21.14,21.14,0
2007-12-26,20.93,20.93,20.93,20.93,0
2007-12-27,22.05,22.05,22.05,22.05,0
2007-12-28,22.56,22.56,22.56,22.56,0
2007-12-31,23.31,23.31,23.31,23.31,0
2008-01-02,23.6,23.6,23.6,23.6,0
2008-01-03,22.81,22.81,22.81,22.81,0
2008-01-04,23.69,23.69,23.69,23.69,0
2008-01-07,23.22,23.22,23.22,23.22,0
2008-01-08,25.49,25.49,25.49,25.49,0
2008-01-09,24.5,24.5,24.5,24.5,0
2008-01-10,23.95,23.95,23.95,23.95,0
2008-01-11,24.5,24.5,24.5,24.5,0
2008-01-14,23.67,23.67,23.67,23.67,0
2008-01-15,24.39,24.39,24.39,24.39,0
2008-01-16,24.36,24.36,24.36,24.36,0
2008-01-17,26.44,26.44,26.44,26.44,0
2008-01-18,25.99,25.99,25.99,25.99,0
2008-01-22,27.39,27.39,27.39,27.39,0
2008-01-23,26.25,26.25,26.25,26.25,0
2008-01-24,26.0,26.0,26.0,26.0,0
2008-01-25,26.86,26.86,26.86,26.86,0
2008-01-28,25.97,25.97,25.97,25.97,0
2008-01-29,25.65,25.65,25.65,25.65,0
2008-01-30,26.08,26.08,26.08,26.08,0
2008-01-31,25.21,25.21,25.21,25.21,0
2008-02-01,24.94,25.09,24.1,24.11,0
2008-02-04,24.44,25.38,24.34,25.36,0
2008-02-05,26.05,27.19,26.0,26.99,0
2008-02-06,26.63,27.8,26.24,27.61,0
2008-02-07,27.89,28.07,26.23,26.74,0
2008-02-08,26.97,27.87,26.45,27.06,0
2008-02-11,27.34,27.73,26.47,26.67,0
2008-02-12,25.66,26.45,25.39,26.11,0
2008-02-13,25.64,25.92,25.01,25.29,0
2008-02-14,25.11,25.86,24.99,25.47,0
2008-02-15,25.63,25.91,25.16,25.44,0
2008-02-19,25.13,25.64,22.13,25.47,0
2008-02-20,26.1,26.24,24.59,24.67,0
2008-02-21,24.79,25.31,24.1,25.09,0
2008-02-22,25.04,25.66,24.38,24.4,0
2008-02-25,24.7,24.9,23.66,23.93,0
