ex_dividend_date,cash_amount,pay_date,source
2003-12-24,0.01358,2003-12-31,sec-n30b2
2004-12-17,0.37858,2004-12-31,sec-n30b2
2005-06-17,0.03476,2005-07-29,dividendhistory
2005-12-16,0.10110,2005-12-30,dividendhistory
2006-03-17,0.02910,2006-04-28,dividendhistory
2006-06-16,0.02570,2006-07-31,dividendhistory
2006-09-15,0.02340,2006-10-31,dividendhistory
2006-12-15,0.05449,2006-12-29,dividendhistory
2007-03-16,0.02670,2007-04-30,dividendhistory
2007-06-15,0.03693,2007-07-31,dividendhistory
2007-09-21,0.02600,2007-10-31,dividendhistory
2007-12-21,0.05331,2007-12-31,dividendhistory
2008-03-20,0.03252,2008-04-30,dividendhistory
2008-06-20,0.03441,2008-07-31,dividendhistory
2008-09-19,0.02807,2008-10-31,dividendhistory
2008-12-19,0.04346,2008-12-31,dividendhistory
2009-03-20,0.04888,2009-04-30,dividendhistory
2009-06-19,0.04394,2009-07-31,dividendhistory
2009-09-18,0.04076,2009-10-30,dividendhistory
2009-12-18,0.07760,2009-12-31,dividendhistory
2010-03-19,0.05146,2010-04-30,dividendhistory
2010-06-18,0.08930,2010-07-30,dividendhistory
2010-09-17,0.11155,2010-10-29,dividendhistory
2010-12-17,0.10832,2010-12-31,dividendhistory
