label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-40 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.40000000,,0.00054522,0.00198541,0.00042048,0.00159770,89639.76747128,53500.00000000,36139.76747128,0.67550967,0.12798799,0.11799557,0.78785129,0.17220794,1.09829976,0.49574684,-0.25817208,443,2023,0.34073945,2022,-0.15280963,501728.50484172,191.46121899,0.73002189,0.00357871,0.67128519,0.59851555,,,,,0.32814505,0.09936495
VT TQQQ/BTAL t20 w0-40 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.40000000,QQQ<SMA200,0.01650700,0.22771960,0.01640336,0.22772338,88450.85050417,53500.00000000,34950.85050417,0.65328693,0.12606921,0.11496228,0.77459638,0.17316554,1.07679625,0.48866936,-0.25798469,443,2024,0.27729438,2022,-0.08066001,451463.64989616,174.23696115,0.66062156,0.00325677,0.68738331,0.59851555,,,,,0.31210154,0.04555451
VT TQQQ/BTAL t20 w0-50 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.50000000,,0.00052048,0.00176011,0.00039586,0.00164884,94865.08273453,53500.00000000,41365.08273453,0.77317912,0.14041240,0.13086471,0.79705616,0.18747801,1.10344789,0.54923939,-0.25564882,428,2023,0.35569596,2022,-0.15488311,745058.10073564,281.03759461,1.05499943,0.00525304,0.63932829,0.49927440,,,,,0.36011807,0.09933492
VT TQQQ/BTAL t20 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.50000000,QQQ<SMA200,0.01646874,0.22747048,0.01636967,0.22747418,93621.93430761,53500.00000000,40121.93430761,0.74994270,0.13848227,0.12786864,0.78525155,0.18834070,1.08466375,0.54180029,-0.25559653,428,2024,0.24875204,2022,-0.08337722,691592.42805931,262.53407456,0.98498027,0.00490718,0.65535785,0.49927440,,,,,0.34411184,0.04580371
VT TQQQ/BTAL t20 w0-60 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.60000000,,0.00050112,0.00178975,0.00041765,0.00164884,99737.97082039,53500.00000000,46237.97082039,0.86426114,0.15246383,0.14224208,0.81695154,0.19842557,1.12998749,0.59304467,-0.25708659,366,2023,0.39147475,2022,-0.15465131,989290.47651762,371.76710963,1.35892131,0.00694892,0.61979421,0.39942421,,,,,0.37966302,0.09936220
VT TQQQ/BTAL t20 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.60000000,QQQ<SMA200,0.01647616,0.22747375,0.01638581,0.22747736,98414.33356547,53500.00000000,44914.33356547,0.83952025,0.15050545,0.13920743,0.80581071,0.19925914,1.11235301,0.58516832,-0.25720027,366,2023,0.27351752,2022,-0.08311211,931481.15221324,351.78046742,1.28680934,0.00657534,0.63579349,0.39936860,,,,,0.36368405,0.04580053
VT TQQQ/BTAL t20 w0-70 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.70000000,,0.00048723,0.00187523,0.00039534,0.00164884,102873.89045923,53500.00000000,49373.89045923,0.92287646,0.15958406,0.14927465,0.82534387,0.20568201,1.14261946,0.61694843,-0.25866677,364,2023,0.42718595,2022,-0.15480308,1157788.38971923,434.77982685,1.56250308,0.00812673,0.60976242,0.29970366,,,,,0.38970348,0.09944336
VT TQQQ/BTAL t20 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.70000000,QQQ<SMA200,0.01639940,0.22722050,0.01631703,0.22722407,101540.84136333,53500.00000000,48040.84136333,0.89795965,0.15766421,0.14631158,0.81493664,0.20647000,1.12610830,0.60948322,-0.25868507,364,2023,0.30643553,2022,-0.08345630,1097640.53524000,413.92190087,1.48979219,0.00773686,0.62571790,0.29970366,,,,,0.37376348,0.04605382
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.80000000,,0.00053704,0.00187523,0.00044227,0.00164884,105916.16135814,53500.00000000,52416.16135814,0.97974133,0.16532681,0.15589666,0.83082396,0.21185653,1.15092624,0.63590199,-0.25998788,366,2023,0.45323162,2022,-0.15469441,1290928.61356702,484.55467257,1.72016555,0.00905710,0.60333829,0.19907534,,,,,0.39607374,0.09931822
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.80000000,QQQ<SMA200,0.01637366,0.22713285,0.01631592,0.22713641,104513.34402235,53500.00000000,51013.34402235,0.95352045,0.16332784,0.15286695,0.82049104,0.21262628,1.13459103,0.62778574,-0.26016495,366,2023,0.33029253,2022,-0.08383174,1228806.55159151,462.82437191,1.64744494,0.00865092,0.61930622,0.19907534,,,,,0.38018015,0.04614148
