label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-40 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.40000000,,0.00081364,0.00232429,0.00058423,0.00150114,64578.71737686,44000.00000000,20578.71737686,0.46769812,0.10906058,0.11025301,0.76966493,0.14974732,1.09834962,0.54372371,-0.20058087,505,2023,0.34052816,2022,-0.15246526,304123.12583073,116.68742725,0.73795028,0.00265199,0.66973452,0.59881567,,,,,,,0.32942720,0.13880147
VT TQQQ/BTAL t20 w0-40 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.40000000,QQQ<SMA200,0.02174639,0.23267796,0.02160328,0.23268413,63803.84062572,44000.00000000,19803.84062572,0.45008729,0.10755470,0.10676501,0.75260766,0.15172581,1.06835030,0.61381934,-0.17522207,169,2024,0.27720125,2022,-0.07554082,276412.29650827,107.89866616,0.67462033,0.00245224,0.69095295,0.59881567,,,,,,,0.30837728,0.04059376
VT TQQQ/BTAL t20 w0-50 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.50000000,,0.00072627,0.00257375,0.00053069,0.00196004,67495.32825334,44000.00000000,23495.32825334,0.53398473,0.11985658,0.12303261,0.76330226,0.16745740,1.07396326,0.59100468,-0.20280141,506,2023,0.35571556,2022,-0.15475474,450206.35559355,169.78382257,1.07626292,0.00385872,0.63656219,0.49858973,,,,,,,0.36267775,0.13864418
VT TQQQ/BTAL t20 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.50000000,QQQ<SMA200,0.02180528,0.23260143,0.02165001,0.23260755,66696.44823124,44000.00000000,22696.44823124,0.51582837,0.11838782,0.11958541,0.74954664,0.16915435,1.05066057,0.63413719,-0.18669118,169,2024,0.24870126,2022,-0.07791260,420885.40285869,160.38594467,1.01195179,0.00364514,0.65775167,0.49858973,,,,,,,0.34151143,0.04067034
VT TQQQ/BTAL t20 w0-60 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.60000000,,0.00074682,0.00290558,0.00056153,0.00180302,70000.44775983,44000.00000000,26000.44775983,0.59091927,0.12927360,0.13359588,0.76454411,0.18140167,1.06982034,0.63730253,-0.20284495,506,2023,0.39137032,2022,-0.15475227,590618.96018224,221.48253123,1.38745226,0.00503369,0.61585922,0.39878300,,,,,,,0.38335152,0.13843437
VT TQQQ/BTAL t20 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.60000000,QQQ<SMA200,0.02174598,0.23252226,0.02161349,0.23252834,69168.43805622,44000.00000000,25168.43805622,0.57200996,0.12777640,0.13012800,0.75210907,0.18302370,1.04909439,0.64558915,-0.19792216,178,2023,0.27092817,2022,-0.07812194,559650.22876797,211.44825508,1.32233896,0.00480564,0.63700602,0.39878300,,,,,,,0.36230482,0.04074955
VT TQQQ/BTAL t20 w0-70 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.70000000,,0.00081266,0.00255931,0.00061621,0.00194175,71699.52399993,44000.00000000,27699.52399993,0.62953464,0.13527730,0.14055790,0.76623834,0.19007237,1.07160857,0.64830127,-0.20866425,178,2023,0.42726088,2022,-0.15420495,689792.60195421,258.70817979,1.60275298,0.00587973,0.60596414,0.29948763,,,,,,,0.39317476,0.13871351
VT TQQQ/BTAL t20 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.70000000,QQQ<SMA200,0.02189994,0.23269397,0.02174722,0.23270003,70855.71764852,44000.00000000,26855.71764852,0.61035722,0.13381975,0.13712016,0.75483105,0.19163099,1.05262536,0.64131615,-0.20866425,178,2023,0.30345680,2022,-0.07707101,657910.15478438,248.29937326,1.53756998,0.00564317,0.62719352,0.29948763,,,,,,,0.37199935,0.04057786
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.80000000,,0.00080426,0.00254549,0.00061044,0.00206940,73493.72726967,44000.00000000,29493.72726967,0.67031198,0.14067777,0.14774207,0.76957395,0.19727918,1.07585226,0.64072783,-0.21955932,209,2023,0.45318990,2022,-0.15455268,768955.19057283,288.34565845,1.76917625,0.00655331,0.59997874,0.19859073,,,,,,,0.39916417,0.13807059
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.80000000,QQQ<SMA200,0.02184281,0.23263291,0.02171410,0.23263898,72634.16397363,44000.00000000,28634.16397363,0.65077645,0.13925053,0.14432125,0.75907541,0.19873120,1.05842100,0.63422737,-0.21955932,209,2023,0.32712110,2022,-0.07745348,735766.61113008,277.53332191,1.70258569,0.00630758,0.62119422,0.19859073,,,,,,,0.37803394,0.04063892
