label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-40 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20,BTAL,0.20000000,0.40000000,,0.00077630,0.00222930,0.00059999,0.00188694,65287.14515268,44000.00000000,21287.14515268,0.48379875,0.11174087,0.11340704,0.78617355,0.14967564,1.12239751,0.55612065,-0.20092919,505,2023,0.34853984,2022,-0.15159161,305856.00900647,117.38642617,0.73744321,0.00266787,0.66980943,0.59883081,,,,,,,0.32938965,0.13874504
VT TQQQ/BTAL t20 w0-40 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20,BTAL,0.20000000,0.40000000,QQQ<SMA200,0.02181569,0.23285908,0.02167659,0.23286512,64563.56688533,44000.00000000,20563.56688533,0.46735379,0.11048289,0.11018520,0.77060783,0.15160143,1.09457631,0.63039037,-0.17526107,169,2024,0.28248507,2022,-0.07406329,278205.57100138,108.61069931,0.67439677,0.00246842,0.69098175,0.59883081,,,,,,,0.30827257,0.04061291
VT TQQQ/BTAL t20 w0-50 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20,BTAL,0.20000000,0.50000000,,0.00080008,0.00296672,0.00059801,0.00177040,68212.48328830,44000.00000000,24212.48328830,0.55028371,0.12248794,0.12609422,0.77781916,0.16733998,1.09489539,0.60437817,-0.20266771,505,2023,0.36249158,2022,-0.15336905,452553.34039204,170.72242674,1.07535743,0.00388006,0.63660022,0.49900569,,,,,,,0.36256593,0.13851338
VT TQQQ/BTAL t20 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20,BTAL,0.20000000,0.50000000,QQQ<SMA200,0.02185563,0.23277522,0.02167135,0.23278146,67382.07933086,44000.00000000,23382.07933086,0.53141089,0.12092061,0.12254631,0.76334405,0.16905361,1.07043577,0.64847534,-0.18646909,169,2024,0.25307007,2022,-0.07659421,423335.84582641,161.33036835,1.01198834,0.00366660,0.65771581,0.49900569,,,,,,,0.34144490,0.04069657
VT TQQQ/BTAL t20 w0-60 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20,BTAL,0.20000000,0.60000000,,0.00070113,0.00274528,0.00056848,0.00188412,70680.41481028,44000.00000000,26680.41481028,0.60637306,0.13167442,0.13640110,0.77655320,0.18132861,1.08702047,0.64970174,-0.20266902,505,2023,0.39724413,2022,-0.15344614,593845.85432606,222.64902000,1.38730746,0.00506020,0.61594557,0.39881641,,,,,,,0.38331088,0.13836995
VT TQQQ/BTAL t20 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20,BTAL,0.20000000,0.60000000,QQQ<SMA200,0.02177672,0.23270150,0.02165022,0.23270769,69825.52394326,44000.00000000,25825.52394326,0.58694373,0.13012294,0.13287005,0.76399902,0.18287425,1.06615178,0.65793630,-0.19777437,178,2023,0.27627813,2022,-0.07678283,562436.86399411,212.50888759,1.32180257,0.00482975,0.63703028,0.39881641,,,,,,,0.36220013,0.04077034
VT TQQQ/BTAL t20 w0-70 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20,BTAL,0.20000000,0.70000000,,0.00067552,0.00182471,0.00053153,0.00174666,72382.19295313,44000.00000000,28382.19295313,0.64504984,0.13763950,0.14331121,0.77706943,0.19012542,1.08707990,0.65890228,-0.20889213,178,2023,0.43213890,2022,-0.15284808,693416.78746531,259.98145452,1.60275859,0.00590867,0.60606034,0.29969501,,,,,,,0.39321572,0.13860093
VT TQQQ/BTAL t20 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20,BTAL,0.20000000,0.70000000,QQQ<SMA200,0.02175380,0.23286920,0.02165476,0.23287514,71490.06899855,44000.00000000,27490.06899855,0.62477430,0.13603639,0.13970815,0.76496913,0.19166748,1.06709261,0.65122796,-0.20889213,178,2023,0.30813166,2022,-0.07610323,660997.28467095,249.45975368,1.53701806,0.00566954,0.62726099,0.29971680,,,,,,,0.37206196,0.04060289
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20,BTAL,0.20000000,0.80000000,,0.00069048,0.00230895,0.00054003,0.00174666,74179.24824463,44000.00000000,30179.24824463,0.68589201,0.14307167,0.15044326,0.78030638,0.19726275,1.09127556,0.65164663,-0.21955408,191,2023,0.45753283,2022,-0.15353035,772203.66422073,289.62735658,1.76714105,0.00658244,0.60003278,0.19940821,,,,,,,0.39922396,0.13877126
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20,BTAL,0.20000000,0.80000000,QQQ<SMA200,0.02173081,0.23283194,0.02162186,0.23283789,73303.40862803,44000.00000000,29303.40862803,0.66598656,0.14161443,0.14698793,0.76951423,0.19874772,1.07337617,0.64500934,-0.21955408,191,2023,0.33112225,2022,-0.07632879,739023.83109606,278.77494067,1.70116691,0.00633579,0.62123098,0.19940821,,,,,,,0.37811434,0.04064015
