label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.20000000,0.60000000,0.01126837,0.22111109,0.01128692,0.22111180,398014.25232677,97500.00000000,300514.25232677,3.08219746,0.16949847,0.15917883,0.87783085,0.20227042,1.21833254,0.65899023,-0.25720938,366,2017,0.52688356,2022,-0.08926781,5763273.13528556,2166.55257745,1.29084590,0.02222105,,,0.57874793,0.39838169,,,0.42102430,0.05216610
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.20000000,0.80000000,0.01128758,0.22105705,0.01132630,0.22105772,443213.99451816,97500.00000000,345713.99451816,3.54578456,0.18214392,0.17067117,0.85305189,0.22709081,1.18274561,0.69991357,-0.26023773,366,2017,0.65329828,2015,-0.09897028,8504499.05552884,3193.25672752,1.77507287,0.03275135,,,0.53858995,0.19828130,,,0.46113394,0.05222018
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.25000000,0.60000000,0.01355299,0.27325636,0.01356409,0.27325693,563852.25461313,97500.00000000,466352.25461313,4.78310005,0.20751715,0.19626562,0.95173498,0.22555969,1.32255667,0.82721680,-0.25086187,355,2013,0.58729631,2022,-0.15631374,6175232.80211909,2322.04757412,1.08608971,0.02381587,,,0.52447581,0.39859789,,,0.47532310,0.06834044
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.25000000,0.80000000,0.01368390,0.27314004,0.01371941,0.27314058,636920.44949798,97500.00000000,539420.44949798,5.53251743,0.22127353,0.20917461,0.89232923,0.26394533,1.23506698,0.80158028,-0.27604662,574,2017,0.74656580,2022,-0.15644911,10804341.63305799,4055.99917874,1.77711375,0.04159999,,,0.45981878,0.19928420,,,0.53992263,0.06845678
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.30000000,0.60000000,0.01555451,0.32393290,0.01556178,0.32393340,758660.69314025,97500.00000000,661160.69314025,6.78113531,0.23817105,0.22767523,1.00199718,0.24360198,1.39644203,0.86123626,-0.27654555,533,2013,0.61174426,2022,-0.21789972,6140373.03858943,2309.95298226,0.88349866,0.02369183,,,0.48886288,0.39900717,,,0.51095548,0.08598344
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.30000000,0.80000000,0.01595404,0.32378612,0.01598557,0.32378658,892193.28969007,97500.00000000,794693.28969007,8.15070041,0.25772622,0.24481272,0.92882424,0.29470124,1.28508180,0.80820081,-0.31888884,578,2013,0.82277043,2022,-0.22100248,12540987.27666322,4707.46503907,1.63735728,0.04828169,,,0.39806541,0.19863239,,,0.60172172,0.08613026
VT TQQQ/BIL25+BTAL75 t20 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.20000000,0.60000000,0.01178797,0.21968462,0.01165672,0.21968595,436541.12090911,97500.00000000,339041.12090911,3.47734483,0.17844804,0.16905288,0.91960237,0.20115710,1.27418370,0.85268238,-0.20927844,324,2017,0.53446093,2022,-0.12069478,6054089.16669402,1840.40895403,1.30729044,0.01887599,0.14401541,0.09645568,0.43396995,0.29826958,,,0.42112758,0.05359194
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.20000000,0.80000000,0.01165617,0.21958574,0.01155306,0.21958708,487909.92183177,97500.00000000,390409.92183177,4.00420433,0.19171825,0.18090379,0.89142159,0.22616175,1.23454845,0.80048617,-0.23950226,472,2017,0.66519117,2022,-0.12074742,8958866.46813353,2726.95839151,1.78972154,0.02796880,0.13408488,0.04722348,0.40386937,0.14913479,,,0.46126432,0.05369081
VT TQQQ/BIL25+BTAL75 t25 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.25000000,0.60000000,0.01396010,0.27139120,0.01384737,0.27139257,608794.56103877,97500.00000000,511294.56103877,5.24404678,0.21491891,0.20439256,0.97351218,0.22719948,1.35095555,0.91256960,-0.23550961,573,2013,0.61240136,2022,-0.18412991,6452420.73507014,1967.10372771,1.10042906,0.02017542,0.13054686,0.09514187,0.39326832,0.29852048,,,0.47543597,0.07020479
VT TQQQ/BIL25+BTAL75 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.25000000,0.80000000,0.01398169,0.27127411,0.01389262,0.27127552,691368.67035858,97500.00000000,593868.67035858,6.09096072,0.22945680,0.21785397,0.91423301,0.26537222,1.26444905,0.79383630,-0.28904800,574,2017,0.75453602,2022,-0.18424142,11348153.83777125,3458.76854051,1.79343410,0.03547455,0.11445042,0.04589299,0.34479515,0.14905400,,,0.54006438,0.07032185
