label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.20000000,0.60000000,0.01142218,0.22112307,0.01160013,0.22112549,379776.05770042,97500.00000000,282276.05770042,2.89513905,0.16447716,0.15415327,0.85644366,0.20228663,1.18734498,0.63479864,-0.25910132,428,2017,0.52105450,2022,-0.08970953,5566807.76384202,11133.61552768,1.28898716,0.11419093,,,0.57854617,0.39863625,,,0.42087945,0.05215240
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.20000000,0.80000000,0.01151976,0.22108944,0.01179533,0.22109177,413500.70530527,97500.00000000,316000.70530527,3.24103287,0.17444949,0.16326198,0.82397042,0.22718305,1.14076356,0.66315806,-0.26305869,428,2017,0.64157500,2015,-0.10565994,8075838.78850613,16151.67757701,1.77571031,0.16565823,,,0.53830213,0.19860250,,,0.46090245,0.05218613
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.25000000,0.60000000,0.01365959,0.27321550,0.01379471,0.27321747,542513.09473694,97500.00000000,445013.09473694,4.56423687,0.20359002,0.19217323,0.93732346,0.22553629,1.30148678,0.80579515,-0.25265729,355,2013,0.58548409,2022,-0.15695786,6000905.30231062,12001.81060462,1.08357987,0.12309549,,,0.52431765,0.39905513,,,0.47522677,0.06837990
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.25000000,0.80000000,0.01388275,0.27318904,0.01414225,0.27319094,594457.56243490,97500.00000000,496957.56243490,5.09700064,0.21386436,0.20186807,0.86904306,0.26401669,1.20140386,0.76013288,-0.28135128,575,2017,0.73701269,2022,-0.15691853,10259901.38244899,20519.80276490,1.77551475,0.21045952,,,0.45956755,0.19877165,,,0.53971225,0.06840642
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.30000000,0.60000000,0.01561829,0.32389179,0.01572444,0.32389348,735655.80182261,97500.00000000,638155.80182261,6.54518771,0.23511514,0.22441981,0.99196255,0.24355634,1.38162054,0.84424671,-0.27849103,561,2013,0.61009814,2022,-0.21858145,5997617.71531502,11995.23543063,0.88109938,0.12302806,,,0.48874842,0.39851102,,,0.51088446,0.08602336
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.30000000,0.80000000,0.01613372,0.32374931,0.01636826,0.32375088,839124.81369658,97500.00000000,741624.81369658,7.60640835,0.25135065,0.23833066,0.91149520,0.29471724,1.25992814,0.77723660,-0.32339013,582,2013,0.81843455,2022,-0.22173468,11975837.29001416,23951.67458003,1.63392968,0.24565820,,,0.39782574,0.19862429,,,0.60155193,0.08616596
VT TQQQ/BIL25+BTAL75 t20 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.20000000,0.60000000,0.01171575,0.21966859,0.01172225,0.21967860,415412.17314759,97500.00000000,317912.17314759,3.26063767,0.17312957,0.16375495,0.89681296,0.20122561,1.24115590,0.81607946,-0.21214793,337,2017,0.52841974,2022,-0.12132369,5839522.76349488,11679.04552699,1.30637326,0.11978508,0.14406353,0.09633386,0.43386095,0.29872182,,,0.42106496,0.05359930
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.20000000,0.80000000,0.01167486,0.21959806,0.01179267,0.21960778,453301.21877643,97500.00000000,355801.21877643,3.64924327,0.18355657,0.17307044,0.86049782,0.22632185,1.18989568,0.74826662,-0.24530904,477,2017,0.65310128,2022,-0.12139281,8481972.07044867,16963.94414090,1.79109556,0.17398917,0.13409372,0.04774625,0.40368553,0.14936091,,,0.46112651,0.05367011
VT TQQQ/BIL25+BTAL75 t25 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.25000000,0.60000000,0.01399253,0.27135238,0.01397761,0.27136238,584529.93966038,97500.00000000,487029.93966038,4.99517887,0.21078210,0.20008353,0.95846873,0.22719511,1.32898088,0.88549874,-0.23803772,573,2013,0.61052964,2022,-0.18489508,6262526.87058277,12525.05374117,1.09817295,0.12846209,0.13051572,0.09486019,0.39316758,0.29906702,,,0.47537461,0.07023499
VT TQQQ/BIL25+BTAL75 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.25000000,0.80000000,0.01398056,0.27130822,0.01409081,0.27131834,642872.63340585,97500.00000000,545372.63340585,5.59356547,0.22164815,0.21015919,0.88988336,0.26548661,1.22925613,0.75235473,-0.29460590,575,2017,0.74456108,2022,-0.18491449,10746600.33609721,21493.20067219,1.79218743,0.22044308,0.11450598,0.04600225,0.34461073,0.14866843,,,0.53991446,0.07027903
