label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL,0.20000000,0.60000000,0.01064778,0.22137753,0.01066612,0.22137824,403635.97909009,97500.00000000,306135.97909009,3.13985620,0.17086528,0.16067980,0.88245577,0.20261794,1.22497708,0.66430260,-0.25721001,366,2017,0.52686229,2022,-0.08794007,5797325.88111632,2178.99533277,1.29059209,0.02234867,,,0.57809985,0.39873954,,,0.42166497,0.05209979
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL,0.20000000,0.80000000,0.01064294,0.22126278,0.01068030,0.22126343,449182.95848519,97500.00000000,351682.95848519,3.60700470,0.18348414,0.17209761,0.85731304,0.22735905,1.18885719,0.70516633,-0.26019981,366,2017,0.65359598,2015,-0.09891890,8550314.55980581,3210.23228398,1.77367456,0.03292546,,,0.53799022,0.19914786,,,0.46174976,0.05221460
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL,0.25000000,0.60000000,0.01306491,0.27354291,0.01307758,0.27354349,571723.54696536,97500.00000000,474223.54696536,4.86383125,0.20885274,0.19773549,0.95564387,0.22587133,1.32820092,0.83257130,-0.25085268,355,2013,0.58810936,2022,-0.15521855,6215198.36996881,2336.95728913,1.08645780,0.02396879,,,0.52394970,0.39885224,,,0.47584212,0.06830405
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL,0.25000000,0.80000000,0.01296267,0.27346523,0.01299461,0.27346578,644678.33599250,97500.00000000,547178.33599250,5.61208550,0.22252977,0.21045606,0.89514698,0.26440227,1.23911147,0.80529074,-0.27633469,574,2017,0.74660352,2022,-0.15524479,10866237.90100940,4079.02821568,1.77691857,0.04183619,,,0.45904570,0.19855526,,,0.54069270,0.06838176
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL,0.30000000,0.60000000,0.01524394,0.32430630,0.01525043,0.32430681,769056.50598391,97500.00000000,671556.50598391,6.88775904,0.23944469,0.22911397,1.00563967,0.24379141,1.40168969,0.86908800,-0.27551259,533,2013,0.61224197,2022,-0.21675741,6181746.69163433,2325.41767361,0.88407559,0.02385044,,,0.48852244,0.39897733,,,0.51129159,0.08591024
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL,0.30000000,0.80000000,0.01514718,0.32414012,0.01517562,0.32414058,903157.34301475,97500.00000000,805657.34301475,8.26315224,0.25902442,0.24610387,0.93120280,0.29522720,1.28857829,0.81142211,-0.31922278,578,2013,0.82387814,2022,-0.22000449,12620897.69855507,4737.22497357,1.63737761,0.04858692,,,0.39724353,0.19897829,,,0.60254399,0.08607647
VT TQQQ/BIL25+BTAL75 t20 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL25+BTAL75,0.20000000,0.60000000,0.01104732,0.21992777,0.01090967,0.21992912,443624.89155553,97500.00000000,346124.89155553,3.54999889,0.18000304,0.17077000,0.92488463,0.20151698,1.28177222,0.85986536,-0.20933863,324,2017,0.53467069,2022,-0.11934973,6097427.37214869,1853.35835476,1.30722973,0.01900880,0.14399860,0.09540384,0.43347899,0.29889565,,,0.42177876,0.05354891
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL25+BTAL75,0.20000000,0.80000000,0.01101856,0.21983000,0.01093056,0.21983140,495723.54428502,97500.00000000,398223.54428502,4.08434404,0.19328757,0.18259334,0.89644962,0.22643490,1.24176100,0.80884058,-0.23896869,472,2017,0.66564740,2022,-0.11944303,9019515.29012071,2745.15145804,1.78834087,0.02815540,0.13394692,0.04770192,0.40343679,0.14944783,,,0.46187638,0.05364663
VT TQQQ/BIL25+BTAL75 t25 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL25+BTAL75,0.25000000,0.60000000,0.01348036,0.27168621,0.01337337,0.27168760,618378.79076795,97500.00000000,520878.79076795,5.34234657,0.21641427,0.20604678,0.97791295,0.22751174,1.35732227,0.92356479,-0.23432495,573,2013,0.61321072,2022,-0.18296501,6502293.69576463,1982.08346235,1.10103572,0.02032906,0.13039623,0.09352465,0.39289207,0.29917877,,,0.47595761,0.07015994
VT TQQQ/BIL25+BTAL75 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL25+BTAL75,0.25000000,0.80000000,0.01331270,0.27159887,0.01321482,0.27160030,701436.71191926,97500.00000000,603936.71191926,6.19422269,0.23092772,0.21938306,0.91764532,0.26582414,1.26935050,0.79830670,-0.28927193,574,2017,0.75471208,2022,-0.18300232,11427898.89288884,3482.94424465,1.79319799,0.03572251,0.11421087,0.04676233,0.34421701,0.14908379,,,0.54083568,0.07024724
VT TQQQ/BIL25+BTAL75 t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL25+BTAL75,0.30000000,0.60000000,0.01559021,0.32201812,0.01546392,0.32201954,819932.40117465,97500.00000000,722432.40117465,7.40956309,0.24569267,0.23588505,1.01630173,0.24697482,1.41481793,0.84307298,-0.29142515,601,2013,0.63549977,2022,-0.24125023,6411956.10263228,1964.45101126,0.89418523,0.02014822,0.12162380,0.09595137,0.36626507,0.29893351,,,0.51142697,0.08819751
VT TQQQ/BIL25+BTAL75 t30 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL25+BTAL75,0.30000000,0.80000000,0.01549486,0.32185406,0.01540007,0.32185553,967949.68610866,97500.00000000,870449.68610866,8.92768909,0.26594737,0.25342909,0.94402677,0.29789430,1.30573825,0.81013849,-0.32827396,576,2013,0.84611072,2022,-0.24425243,13214197.24751417,4031.39690038,1.65278527,0.04134766,0.09878025,0.04585244,0.29781769,0.14872363,,,0.60269766,0.08836151
VT TQQQ/BIL50+BTAL50 t20 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL50+BTAL50,0.20000000,0.60000000,0.01093844,0.21836788,0.01081964,0.21837007,483970.68377188,97500.00000000,386470.68377188,3.96380188,0.18845898,0.18004146,0.95113325,0.20403065,1.31556701,0.83832721,-0.22480360,574,2017,0.54234246,2022,-0.15090707,6360574.42259074,1495.18086980,1.31813221,0.01533519,0.28847919,0.19522597,0.28890122,0.19898097,,,0.42188164,0.05510796
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL50+BTAL50,0.20000000,0.80000000,0.01094160,0.21824877,0.01081919,0.21825097,543044.29488430,97500.00000000,445544.29488430,4.56968508,0.20241085,0.19227708,0.92359153,0.22859463,1.27764742,0.82985063,-0.24391240,476,2017,0.67768168,2022,-0.15102695,9449607.59682547,2225.79320864,1.79756489,0.02282865,0.26841869,0.09424702,0.26884358,0.09900276,,,0.46198071,0.05522706
VT TQQQ/BIL50+BTAL50 t25 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL50+BTAL50,0.25000000,0.60000000,0.01329337,0.26972028,0.01318042,0.26972249,664636.78107264,97500.00000000,567136.78107264,5.81678750,0.22339937,0.21368249,0.98886393,0.23181080,1.37037352,0.87062409,-0.25659682,601,2013,0.63841656,2022,-0.21083570,6741512.63888525,1593.32275027,1.10938399,0.01634177,0.26145869,0.19616784,0.26181939,0.19908021,,,0.47607005,0.07212506
