label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.20000000,0.01637366,0.22713285,0.01631592,0.22713641,104715.53166785,53500.00000000,51215.53166785,0.95729966,0.16337184,0.15295170,0.82127370,0.21251742,1.13569322,0.62795483,-0.26016495,366,2023,0.33029253,2022,-0.08383174,1228806.55159151,462.82437191,1.64310652,0.00865092,,,0.61930622,0.19907534,,,,,0.38018015,0.04614148
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.25000000,0.01985007,0.28113230,0.01977932,0.28113572,126364.08342502,53500.00000000,72864.08342502,1.36194548,0.20484169,0.19561580,0.86644412,0.25300076,1.19294433,0.79564901,-0.25745233,324,2023,0.41479482,2022,-0.14961246,1452489.77816780,546.38537612,1.73620809,0.01021281,,,0.53826288,0.19909169,,,,,0.46122637,0.06046164
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.20000000,0.01646218,0.22128142,0.01626840,0.22128171,134339.17378119,53500.00000000,80839.17378119,1.51101259,0.21151163,0.20954671,0.95146045,0.23041969,1.30767221,0.85203582,-0.24824265,605,2023,0.48119010,2022,-0.21099152,1391948.49053636,138.72317729,1.67579847,0.00259296,0.61768057,0.19726076,,,,,,,0.38090841,0.05199619
VT TQQQ/BIL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.25000000,0.01955509,0.27340618,0.01937482,0.27340646,156266.17691441,53500.00000000,102766.17691441,1.92086312,0.24668402,0.24407618,0.93740471,0.27735995,1.28715476,0.80509604,-0.30640322,752,2023,0.57100617,2022,-0.26313716,1630306.93373339,162.65002813,1.76717083,0.00304019,0.53655876,0.19894706,,,,,,,0.46222708,0.06819090
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.20000000,0.01713004,0.22449933,0.01671219,0.22450007,119629.74487118,53500.00000000,66129.74487118,1.23607000,0.18948002,0.18316729,0.92988003,0.21140578,1.28202847,0.97652213,-0.19403556,141,2023,0.40613540,2022,-0.14708557,1321662.27499147,311.05068132,1.66840248,0.00581403,0.30840376,0.09545737,0.30936070,0.09979470,,,,,0.38049647,0.04877782
VT TQQQ/BIL50+BTAL50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.25000000,0.02029900,0.27761124,0.01993535,0.27761209,141580.27967344,53500.00000000,88080.27967344,1.64636037,0.22751665,0.22151649,0.92602518,0.25846202,1.27300928,0.87341567,-0.26049069,602,2023,0.49300256,2022,-0.20607218,1552372.02907990,366.12470166,1.75915303,0.00684345,0.26800731,0.09707141,0.26878489,0.09909613,,,,,0.46172395,0.06398527
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.20000000,0.01681587,0.22732631,0.01653893,0.22732793,117164.75084873,53500.00000000,63664.75084873,1.18999534,0.18830107,0.17843846,0.91313108,0.21504936,1.26111943,0.93621129,-0.20113095,324,2023,0.34348124,2022,-0.07938807,1319068.54569571,436.40760487,1.65529635,0.00815715,,,0.46461710,0.14955055,0.15463084,0.04900583,,,0.37994678,0.04594996
VT TQQQ/BTAL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.25000000,0.02029491,0.28141404,0.02004161,0.28141554,139495.80601092,53500.00000000,85995.80601092,1.60739824,0.22716479,0.21813274,0.92436113,0.25867738,1.27231088,0.94524867,-0.24032278,141,2023,0.43029922,2022,-0.14489402,1553654.59641611,514.05308683,1.74896186,0.00960847,,,0.40383639,0.14894300,0.13441173,0.04921932,,,0.46101582,0.06018182
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+DBMF25,0.20000000,0.01765166,0.22531419,0.01701957,0.22531648,128986.65755553,53500.00000000,75486.65755553,1.41096556,0.20706106,0.20028914,0.96969765,0.21979609,1.33609968,0.98521928,-0.21016749,163,2023,0.39977399,2022,-0.12783343,1388281.51483914,314.96387130,1.67151995,0.00588718,0.23110162,0.07230055,0.23208438,0.07411958,0.15459828,0.04932344,,,0.38019321,0.04796141
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+DBMF25,0.25000000,0.02078280,0.27874363,0.02019067,0.27874584,151386.78182101,53500.00000000,97886.78182101,1.82965947,0.24343410,0.23681604,0.95502692,0.26634442,1.31309872,0.93998032,-0.25897787,166,2023,0.48841192,2022,-0.18833550,1627820.35577761,369.65338098,1.76344473,0.00690941,0.20099937,0.07246619,0.20165312,0.07399820,0.13431191,0.04902034,,,0.46137036,0.06285152
VT TQQQ/BIL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+DBMF25,0.20000000,0.01683805,0.22298554,0.01644469,0.22298626,140595.31529126,53500.00000000,87095.31529126,1.62794982,0.22352006,0.21992364,0.97879127,0.23526710,1.34547216,0.95921497,-0.23302395,169,2023,0.45522171,2022,-0.17691049,1443294.48795153,180.59403720,1.67681904,0.00337559,0.46349840,0.14557979,,,0.15455670,0.04965727,,,0.38051441,0.05029164
VT TQQQ/BIL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+DBMF25,0.25000000,0.02042496,0.27570468,0.02001657,0.27570538,162980.23165005,53500.00000000,109480.23165005,2.04635947,0.25779485,0.25371807,0.96016100,0.28119427,1.31873621,0.89371907,-0.28845178,605,2023,0.54639451,2022,-0.23183369,1689265.57337015,211.33739524,1.76977350,0.00395023,0.40241680,0.14577158,,,0.13423182,0.04928741,,,0.46171079,0.06589199
TQQQ50/BTAL50 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.03981861,0.37517449,0.03971294,0.37517809,127937.31122425,53500.00000000,74437.31122425,1.39135161,0.21034361,0.19843046,0.85135612,0.26722001,1.19206963,0.55771013,-0.37715580,138,2023,0.48047197,2022,-0.27720877,350542.40872622,134.58055126,0.40482767,0.00251552,,,0.53913174,0.49887832,,,,,0.46037519,0.12482191
SPY benchmark,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.00569036,0.02233304,0.00569127,0.02233388,109466.10856795,53500.00000000,55966.10856795,1.04609549,0.15680104,0.16301342,0.84672044,0.19515292,1.19715720,0.46572974,-0.33667817,173,2021,0.28241522,2022,-0.18161772,53254.76437652,3.72783351,0.07535223,0.00006968,,,,,,,0.99430873,0.97766612,,
