label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,0.20000000,0.02225794,0.23271777,0.02193891,0.23272372,78210.87834089,44000.00000000,34210.87834089,0.77751996,0.16259332,0.16537877,0.85557255,0.20071571,1.19289746,0.85294307,-0.19062623,169,2023,0.35127130,2022,-0.06171072,763850.58088798,288.39364768,1.70129275,0.00655440,,,0.46603286,0.14976209,,,0.15499201,0.04972690,,,0.37794007,0.04055417
VT TQQQ/BTAL75+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,0.25000000,0.02712260,0.28897993,0.02677784,0.28898598,89007.09368237,44000.00000000,45007.09368237,1.02288849,0.19680819,0.20317336,0.86686957,0.24251736,1.20768651,0.85252800,-0.23085246,435,2023,0.43556307,2022,-0.12777427,856813.08123472,322.59734740,1.78494152,0.00733176,,,0.40498475,0.14897128,,,0.13466021,0.04882742,,,0.45924559,0.05261139
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.20000000,0.02236651,0.23271690,0.02196205,0.23272072,78961.21449114,44000.00000000,34961.21449114,0.79457306,0.16349089,0.16815881,0.85124373,0.20325706,1.18778473,0.85739876,-0.19068245,167,2023,0.34071490,2022,-0.07342515,766971.71583606,254.24209466,1.70559042,0.00577823,,,0.46595248,0.14872668,0.15499753,0.04898819,,,,,0.37788537,0.04055717
VT TQQQ/BTAL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.25000000,0.02715719,0.28894590,0.02676884,0.28895001,89429.82783536,44000.00000000,45429.82783536,1.03249609,0.19687592,0.20456452,0.86027063,0.24521437,1.20000965,0.83894292,-0.23467142,432,2023,0.42579185,2022,-0.13791244,859101.39734557,284.37021824,1.78778530,0.00646296,,,0.40497754,0.14933277,0.13464666,0.04866455,,,,,0.45923230,0.05264735
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL50+KMLM50,0.20000000,0.02272430,0.23306855,0.02231692,0.23307415,83801.85748202,44000.00000000,39801.85748202,0.90458767,0.18491311,0.18552007,0.91985571,0.20944300,1.28053428,0.88489974,-0.20896504,448,2023,0.37454047,2022,-0.04669946,790340.39060820,298.67865997,1.70301649,0.00678815,,,0.31076659,0.09980015,,,0.31061452,0.09942933,,,0.37748399,0.04020374
VT TQQQ/BTAL50+KMLM50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL50+KMLM50,0.25000000,0.02756115,0.28921128,0.02714250,0.28921699,94675.35094843,44000.00000000,50675.35094843,1.15171252,0.21753773,0.22133719,0.91305707,0.25165823,1.27154826,0.84290409,-0.25808124,435,2023,0.46073132,2022,-0.11498342,886623.78708125,334.01798097,1.78844132,0.00759132,,,0.27002269,0.09904697,,,0.26992514,0.09903835,,,0.45889629,0.05238038
VT TQQQ/BIL37.5+BTAL37.5+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+KMLM25,0.20000000,0.02313454,0.23127420,0.02236404,0.23127730,83975.88363023,44000.00000000,39975.88363023,0.90854281,0.17932430,0.18612660,0.90312216,0.20764015,1.25942293,0.90175084,-0.19886236,398,2023,0.40784013,2022,-0.11117512,783796.53220983,213.57488922,1.71538806,0.00485397,0.23175376,0.07341834,0.23277176,0.07474232,,,0.15492345,0.04962706,,,0.37815006,0.04200059
VT TQQQ/BIL37.5+BTAL37.5+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+KMLM25,0.25000000,0.02821253,0.28720080,0.02731603,0.28720382,94457.93776146,44000.00000000,50457.93776146,1.14677131,0.21124769,0.22065931,0.89080776,0.25226558,1.24308270,0.84410053,-0.25026366,398,2023,0.49405366,2022,-0.17152713,877821.11910063,238.83154696,1.79751413,0.00542799,0.20096484,0.07100603,0.20228156,0.07408057,,,0.13449821,0.04903641,,,0.45948587,0.05439354
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+DBMF25,0.20000000,0.02313023,0.23128988,0.02231732,0.23129139,84710.79183934,44000.00000000,40710.79183934,0.92524527,0.18008934,0.18867505,0.89434952,0.21126061,1.24916499,0.87708009,-0.20532827,398,2023,0.39644830,2022,-0.12249431,787070.14308320,178.73024863,1.71961131,0.00406205,0.23174724,0.07367952,0.23276297,0.07341230,0.15495370,0.04888735,,,,,0.37810311,0.04198650
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+DBMF25,0.25000000,0.02781706,0.28680654,0.02704627,0.28680808,94898.13557544,44000.00000000,50898.13557544,1.15677581,0.21130313,0.22203032,0.88237594,0.25573257,1.23324055,0.83105414,-0.25425916,398,2023,0.48410868,2022,-0.18168927,879540.76633251,199.77707788,1.79889445,0.00454039,0.20107731,0.07086667,0.20219468,0.07456003,0.13457692,0.04859523,,,,,0.45967729,0.05478929
