label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BTAL75+KMLM25,0.20000000,0.02225794,0.23271777,0.02193891,0.23272372,78210.87834089,44000.00000000,34210.87834089,0.77751996,0.16259332,0.16537877,0.85557255,0.20071571,1.19289746,0.85294307,-0.19062623,169,2023,0.35127130,2022,-0.06171072,763850.58088798,288.39364768,1.70129275,0.00655440,,,0.46603286,0.14976209,,,0.15499201,0.04972690,,,0.37794007,0.04055417
VT TQQQ/BTAL75+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BTAL75+KMLM25,0.25000000,0.02712260,0.28897993,0.02677784,0.28898598,89007.09368237,44000.00000000,45007.09368237,1.02288849,0.19680819,0.20317336,0.86686957,0.24251736,1.20768651,0.85252800,-0.23085246,435,2023,0.43556307,2022,-0.12777427,856813.08123472,322.59734740,1.78494152,0.00733176,,,0.40498475,0.14897128,,,0.13466021,0.04882742,,,0.45924559,0.05261139
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BTAL75+DBMF25,0.20000000,0.02236651,0.23271690,0.02196205,0.23272072,78961.21449114,44000.00000000,34961.21449114,0.79457306,0.16349089,0.16815881,0.85124373,0.20325706,1.18778473,0.85739876,-0.19068245,167,2023,0.34071490,2022,-0.07342515,766971.71583606,254.24209466,1.70559042,0.00577823,,,0.46595248,0.14872668,0.15499753,0.04898819,,,,,0.37788537,0.04055717
VT TQQQ/BTAL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BTAL75+DBMF25,0.25000000,0.02715719,0.28894590,0.02676884,0.28895001,89429.82783536,44000.00000000,45429.82783536,1.03249609,0.19687592,0.20456452,0.86027063,0.24521437,1.20000965,0.83894292,-0.23467142,432,2023,0.42579185,2022,-0.13791244,859101.39734557,284.37021824,1.78778530,0.00646296,,,0.40497754,0.14933277,0.13464666,0.04866455,,,,,0.45923230,0.05264735
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BTAL50+KMLM50,0.20000000,0.02272430,0.23306855,0.02231692,0.23307415,83801.85748202,44000.00000000,39801.85748202,0.90458767,0.18491311,0.18552007,0.91985571,0.20944300,1.28053428,0.88489974,-0.20896504,448,2023,0.37454047,2022,-0.04669946,790340.39060820,298.67865997,1.70301649,0.00678815,,,0.31076659,0.09980015,,,0.31061452,0.09942933,,,0.37748399,0.04020374
VT TQQQ/BTAL50+KMLM50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BTAL50+KMLM50,0.25000000,0.02756115,0.28921128,0.02714250,0.28921699,94675.35094843,44000.00000000,50675.35094843,1.15171252,0.21753773,0.22133719,0.91305707,0.25165823,1.27154826,0.84290409,-0.25808124,435,2023,0.46073132,2022,-0.11498342,886623.78708125,334.01798097,1.78844132,0.00759132,,,0.27002269,0.09904697,,,0.26992514,0.09903835,,,0.45889629,0.05238038
VT TQQQ/BIL37.5+BTAL37.5+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BIL37.5+BTAL37.5+KMLM25,0.20000000,0.02318377,0.23129966,0.02235568,0.23130299,84363.40999004,44000.00000000,40363.40999004,0.91735023,0.18049817,0.18747301,0.90798880,0.20762634,1.26641606,0.91242524,-0.19782241,398,2023,0.40977378,2022,-0.11061168,785725.40879453,214.06829593,1.71525116,0.00486519,0.23167504,0.07152294,0.23277634,0.07474258,,,0.15488914,0.04980803,,,0.37812847,0.04197490
VT TQQQ/BIL37.5+BTAL37.5+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BIL37.5+BTAL37.5+KMLM25,0.25000000,0.02811248,0.28724160,0.02719801,0.28724438,94841.91666853,44000.00000000,50841.91666853,1.15549811,0.21232225,0.22185555,0.89442111,0.25223514,1.24829555,0.85098676,-0.24950124,398,2023,0.49598808,2022,-0.17087441,879876.94154643,239.23648577,1.79735123,0.00543719,0.20104232,0.07117613,0.20229614,0.07408075,,,0.13449898,0.04903653,,,0.45946607,0.05435299
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BIL37.5+BTAL37.5+DBMF25,0.20000000,0.02303913,0.23131851,0.02223436,0.23131994,85094.45942511,44000.00000000,41094.45942511,0.93396499,0.18126099,0.18999732,0.89907274,0.21126129,1.25597461,0.88751667,-0.20423390,398,2023,0.39865214,2022,-0.12186381,789206.25808082,179.34580689,1.71970816,0.00407604,0.23173037,0.07177739,0.23276436,0.07341256,0.15493314,0.04888752,,,,,0.37811822,0.04195796
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BIL37.5+BTAL37.5+DBMF25,0.25000000,0.02784834,0.28684523,0.02707024,0.28684668,95265.60030266,44000.00000000,51265.60030266,1.16512728,0.21232472,0.22317031,0.88570068,0.25572939,1.23801447,0.83793019,-0.25339189,398,2023,0.48593910,2022,-0.18108784,881806.27438711,200.31529274,1.79938526,0.00455262,0.20095634,0.07134860,0.20223082,0.07456040,0.13456093,0.04859547,,,,,0.45967430,0.05475069
VT TQQQ/BIL25+BTAL25+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BIL25+BTAL25+KMLM50,0.20000000,0.02358090,0.23212039,0.02280985,0.23212548,87986.81406707,44000.00000000,43986.81406707,0.99970032,0.19654358,0.19979028,0.94184256,0.21661731,1.31195200,0.88274706,-0.22264993,435,2023,0.41352535,2022,-0.08038077,804377.50247817,247.43671128,1.71127312,0.00562356,0.15407584,0.04909725,0.15518867,0.04908382,,,0.31061887,0.09929442,,,0.37766358,0.04115241
VT TQQQ/BIL25+BTAL25+KMLM50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BIL25+BTAL25+KMLM50,0.25000000,0.02838584,0.28803099,0.02751251,0.28803616,98605.01598882,44000.00000000,54605.01598882,1.24102309,0.22753416,0.23334795,0.92434666,0.25972594,1.28908585,0.84121347,-0.27048326,432,2023,0.50086995,2022,-0.14492055,901073.02054796,276.59974462,1.79563302,0.00628636,0.13382445,0.04835969,0.13482522,0.04891152,,,0.26983666,0.09889871,,,0.45905442,0.05356121
VT TQQQ/BIL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BIL75+KMLM25,0.20000000,0.02266716,0.22970495,0.02208051,0.22970713,90421.89649643,44000.00000000,46421.89649643,1.05504310,0.19661544,0.20780545,0.91491437,0.22511952,1.27693795,0.89324955,-0.22011256,235,2023,0.46866337,2022,-0.15975310,803096.80948282,136.44198809,1.72310838,0.00310095,0.46456720,0.14910261,,,,,0.15491106,0.04968512,,,0.37837214,0.04357076
VT TQQQ/BIL75+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BIL75+KMLM25,0.25000000,0.02736347,0.28488943,0.02675373,0.28489173,100426.65036812,44000.00000000,56426.65036812,1.28242387,0.22599587,0.23876650,0.89657517,0.26915268,1.25251574,0.83142243,-0.27181835,600,2023,0.55646799,2022,-0.21528539,897652.30007996,152.20124176,1.80417864,0.00345912,0.40337215,0.14836620,,,,,0.13448051,0.04920534,,,0.45992163,0.05670564
VT TQQQ/BIL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BIL75+DBMF25,0.20000000,0.02246904,0.22935757,0.02189355,0.22935895,91157.44200899,44000.00000000,47157.44200899,1.07176005,0.19723129,0.21018712,0.90352405,0.22968659,1.26220495,0.87538778,-0.22530733,394,2023,0.45665061,2022,-0.17099887,805963.03094675,100.71860479,1.72624361,0.00228906,0.46442832,0.14326363,,,0.15481017,0.04878837,,,,,0.37854820,0.04391895
