label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,0.20000000,0.02234765,0.23281482,0.02215154,0.23283477,76582.73773229,44000.00000000,32582.73773229,0.74051677,0.15671602,0.15925915,0.82984299,0.20082390,1.15491872,0.81608130,-0.19203481,177,2023,0.34535979,2022,-0.06195786,752498.77298908,1504.99754598,1.69814763,0.03420449,,,0.46593240,0.14842591,,,0.15502658,0.04804146,,,0.37771339,0.04044312
VT TQQQ/BTAL75+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,0.25000000,0.02711121,0.28896283,0.02690420,0.28898312,87012.09012941,44000.00000000,43012.09012941,0.97754750,0.19036638,0.19652399,0.84401221,0.24271128,1.17402749,0.80925065,-0.23523784,436,2023,0.42934692,2022,-0.12915377,843965.87471360,1687.93174943,1.78383699,0.03836209,,,0.40490484,0.14920696,,,0.13461574,0.04903308,,,0.45919026,0.05261424
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.20000000,0.02226819,0.23281372,0.02209117,0.23283372,77228.06189129,44000.00000000,33228.06189129,0.75518322,0.15735452,0.16169920,0.82446038,0.20346086,1.14827574,0.81947363,-0.19201902,169,2023,0.33453661,2022,-0.07419256,755885.21978169,1511.77043956,1.70405300,0.03435842,,,0.46589414,0.14897307,0.15502117,0.04906935,,,,,0.37776265,0.04044418
VT TQQQ/BTAL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.25000000,0.02697674,0.28892824,0.02683498,0.28894934,87389.64065941,44000.00000000,43389.64065941,0.98612820,0.19031881,0.19779318,0.83723065,0.24542745,1.16601852,0.79607035,-0.23907285,435,2023,0.41947998,2022,-0.13892290,846146.25371346,1692.29250743,1.78708487,0.03846119,,,0.40487179,0.14955724,0.13465236,0.04867126,,,,,0.45925951,0.05264803
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BTAL50+KMLM50,0.20000000,0.02272439,0.23315733,0.02251567,0.23317613,82011.42779753,44000.00000000,38011.42779753,0.86389609,0.17888353,0.17921071,0.89466443,0.20965616,1.24332606,0.84167839,-0.21253193,449,2023,0.36848599,2022,-0.04754185,779102.66781059,1558.20533562,1.70123653,0.03541376,,,0.31062121,0.09845897,,,0.31065085,0.09958910,,,0.37736154,0.04010177
VT TQQQ/BTAL50+KMLM50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BTAL50+KMLM50,0.25000000,0.02740061,0.28919990,0.02725137,0.28921904,92513.73258245,44000.00000000,48513.73258245,1.10258483,0.21095801,0.21453236,0.89096830,0.25183064,1.23889240,0.80402384,-0.26237780,436,2023,0.45409381,2022,-0.11591494,872574.95545902,1745.14991092,1.78617202,0.03966250,,,0.27001570,0.09946560,,,0.26989534,0.09919436,,,0.45883925,0.05237832
VT TQQQ/BIL37.5+BTAL37.5+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+KMLM25,0.20000000,0.02308484,0.23134914,0.02248135,0.23137146,82118.69911195,44000.00000000,38118.69911195,0.86633407,0.17302526,0.17959234,0.87651719,0.20784802,1.22007415,0.85451651,-0.20248322,432,2023,0.40142761,2022,-0.11225836,773504.22863280,1547.00845727,1.71693665,0.03515928,0.23151884,0.07353670,0.23273302,0.07479781,,,0.15497598,0.04961930,,,0.37804090,0.04190643
VT TQQQ/BIL37.5+BTAL37.5+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+KMLM25,0.25000000,0.02799763,0.28717862,0.02726926,0.28720128,92221.78593486,44000.00000000,48221.78593486,1.09594968,0.20443904,0.21360204,0.86793453,0.25243163,1.20924341,0.80216750,-0.25485829,429,2023,0.48706559,2022,-0.17265120,864552.86472278,1729.10572945,1.79773738,0.03929786,0.20105630,0.07129649,0.20220620,0.07438360,,,0.13453350,0.04923699,,,0.45941730,0.05439609
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+DBMF25,0.20000000,0.02303532,0.23097278,0.02238726,0.23099747,82748.75342417,44000.00000000,38748.75342417,0.88065349,0.17339038,0.18182445,0.86633820,0.21155578,1.20779335,0.82942549,-0.20904877,398,2023,0.38996929,2022,-0.12412707,775237.35662885,1550.47471326,1.71946212,0.03523806,0.23147446,0.07380151,0.23269510,0.07353384,0.15488717,0.04896829,,,,,0.37819221,0.04228042
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+DBMF25,0.25000000,0.02740137,0.28673423,0.02689923,0.28675511,92526.25775573,44000.00000000,48526.25775573,1.10286949,0.20400301,0.21457221,0.85802036,0.25598267,1.19719035,0.78781807,-0.25894685,398,2023,0.47672241,2022,-0.18312647,865296.88365505,1730.59376731,1.79923988,0.03933168,0.20125245,0.07120571,0.20212803,0.07428889,0.13457443,0.04867577,,,,,0.45971419,0.05484225
