label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL75+KMLM25,0.20000000,0.02225649,0.23311952,0.02191968,0.23312522,79186.01541995,44000.00000000,35186.01541995,0.79968217,0.16599890,0.16898689,0.87026782,0.20070529,1.21380745,0.87080552,-0.19062684,169,2023,0.35438283,2022,-0.05647746,769171.13856809,290.37992744,1.69976750,0.00659954,,,0.46603186,0.14994388,,,0.15503466,0.04967141,,,0.37788663,0.04035281
VT TQQQ/BTAL75+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL75+KMLM25,0.25000000,0.02715548,0.28957714,0.02682863,0.28958316,90000.00700630,44000.00000000,46000.00700630,1.04545470,0.19993536,0.20643126,0.87758730,0.24255933,1.22283500,0.87031837,-0.22972669,435,2023,0.43871553,2022,-0.12288662,862926.01213752,324.87090392,1.78439921,0.00738343,,,0.40504876,0.14914544,,,0.13465936,0.04944340,,,0.45921472,0.05226438
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL75+DBMF25,0.20000000,0.02230534,0.23308802,0.02194558,0.23309229,79927.82054915,44000.00000000,35927.82054915,0.81654138,0.16694709,0.17170383,0.86611406,0.20319889,1.20896622,0.87665617,-0.19043623,167,2023,0.34403125,2022,-0.07018805,772631.87894625,256.13402750,1.70433878,0.00582123,,,0.46608347,0.14892907,0.15499977,0.04831064,,,,,0.37784150,0.04038574
VT TQQQ/BTAL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL75+DBMF25,0.25000000,0.02694608,0.28909838,0.02662204,0.28910260,90487.82624864,44000.00000000,46487.82624864,1.05654151,0.20008864,0.20801966,0.87095990,0.24533670,1.21512575,0.85810148,-0.23317596,432,2023,0.43009524,2022,-0.13549089,865511.75759744,286.42728733,1.78816890,0.00650971,,,0.40487388,0.14949941,0.13468385,0.04880425,,,,,0.45947171,0.05274494
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL50+KMLM50,0.20000000,0.02256572,0.23336116,0.02221569,0.23336695,85069.98091367,44000.00000000,41069.98091367,0.93340866,0.18937200,0.18991312,0.93765777,0.20951233,1.30577332,0.91082383,-0.20791288,448,2023,0.37724523,2022,-0.03808408,799221.96470207,302.00065950,1.70342655,0.00686365,,,0.31074019,0.09948609,,,0.31055684,0.09948039,,,0.37762944,0.04011108
VT TQQQ/BTAL50+KMLM50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL50+KMLM50,0.25000000,0.02738105,0.28977358,0.02708207,0.28977914,96095.18541489,44000.00000000,52095.18541489,1.18398149,0.22203096,0.22572906,0.92766625,0.25170326,1.29216825,0.86208830,-0.25755014,435,2023,0.46333725,2022,-0.10648958,896193.06907103,337.65185907,1.78831522,0.00767391,,,0.27006574,0.09908815,,,0.26992899,0.09908246,,,0.45897984,0.05206840
VT TQQQ/BIL37.5+BTAL37.5+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL37.5+BTAL37.5+KMLM25,0.20000000,0.02310928,0.23169431,0.02233587,0.23169685,85191.12241731,44000.00000000,41191.12241731,0.93616187,0.18332866,0.19032958,0.91960348,0.20762340,1.28291154,0.93041202,-0.19704030,398,2023,0.41246825,2022,-0.10606890,791890.01000328,215.62372706,1.71691185,0.00490054,0.23174005,0.07152308,0.23276803,0.07480139,,,0.15498780,0.04978639,,,0.37808897,0.04178118
VT TQQQ/BIL37.5+BTAL37.5+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL37.5+BTAL37.5+KMLM25,0.25000000,0.02794941,0.28747508,0.02719959,0.28747765,95735.33739873,44000.00000000,51735.33739873,1.17580312,0.21508930,0.22462167,0.90322390,0.25234916,1.26070545,0.86356646,-0.24907092,398,2023,0.49894850,2022,-0.16729060,885613.83993062,240.82587825,1.79715329,0.00547332,0.20092946,0.07116962,0.20223840,0.07446772,,,0.13457767,0.04858531,,,0.45965221,0.05436989
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL37.5+BTAL37.5+DBMF25,0.20000000,0.02299924,0.23129173,0.02223404,0.23129307,85979.46478822,44000.00000000,41979.46478822,0.95407875,0.18415165,0.19302630,0.91078102,0.21124059,1.27265607,0.90806644,-0.20279535,398,2023,0.40188728,2022,-0.11964705,793005.93685100,180.22053825,1.71651226,0.00409592,0.23163112,0.07176786,0.23277205,0.07352923,0.15498316,0.04972769,,,,,0.37817461,0.04218496
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL37.5+BTAL37.5+DBMF25,0.25000000,0.02775037,0.28739269,0.02700686,0.28739406,96197.46492486,44000.00000000,52197.46492486,1.18630602,0.21518668,0.22604312,0.89492201,0.25575256,1.25108238,0.85260131,-0.25238840,398,2023,0.48876557,2022,-0.17806889,887634.90137548,201.65144527,1.79922861,0.00458299,0.20116149,0.07133829,0.20221829,0.07438627,0.13462183,0.04881795,,,,,0.45966740,0.05445348
