label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00015139,0.00175383,0.00015837,0.00190927,822425.43717339,97500.00000000,724925.43717339,7.43513269,0.24761377,0.23620595,1.01487729,0.24943636,1.41858365,0.71623794,-0.34571440,533,2023,0.64756697,2022,-0.30489792,7335885.11257415,2755.53460674,0.97886618,0.02826189,0.47346123,0.39889101,,,0.52636056,0.14915511
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.01555451,0.32393290,0.01556178,0.32393340,758660.69314025,97500.00000000,661160.69314025,6.78113531,0.23817105,0.22767523,1.00199718,0.24360198,1.39644203,0.86123626,-0.27654555,533,2013,0.61174426,2022,-0.21789972,6140373.03858943,2309.95298226,0.88349866,0.02369183,0.48886288,0.39900717,,,0.51095548,0.08598344
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200 off0,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200 off0,0.00018548,0.00175383,0.00020404,0.00190927,534633.82971084,97500.00000000,437133.82971084,4.48342389,0.20019885,0.19062054,0.86418847,0.24735108,1.20193993,0.55405333,-0.36133498,681,2017,0.58814497,2016,-0.13941845,7487854.58621270,2815.00235444,1.24093810,0.02887182,0.52774186,0.39900717,,,0.47203222,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA10M,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.01586194,0.32393993,0.01586994,0.32394043,750026.23668089,97500.00000000,652526.23668089,6.69257679,0.23707350,0.22646514,0.99892622,0.24341470,1.39177323,0.85720170,-0.27656676,533,2013,0.61174426,2022,-0.21792026,6060667.11911591,2280.07134884,0.88084702,0.02338535,0.48916920,0.39900717,,,0.51064963,0.08597641
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOMM1-3-6-12U<=0,0.01533977,0.39906271,0.01534311,0.39906328,643805.53181031,97500.00000000,546305.53181031,5.60313366,0.22358705,0.21031267,0.95306926,0.24365267,1.32306880,0.69244487,-0.32289509,750,2013,0.61169807,2022,-0.27988359,5559586.24031814,2091.42483859,0.88519996,0.02145051,0.48865806,0.39889101,,,0.51116587,0.10268203
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off30,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOMM1-3-6-12U<=0 off30,0.00940969,0.19743832,0.00941543,0.19743892,592833.51177809,97500.00000000,495333.51177809,5.08034371,0.21496250,0.20157822,0.92732730,0.24244848,1.28513866,0.66577181,-0.32287714,750,2013,0.61169807,2022,-0.27983673,5393460.26348375,2028.88273933,0.92730964,0.02080905,0.49224015,0.39889101,,,0.50757760,0.10256108
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off0,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOMM1-3-6-12U<=0 off0,0.00019141,0.00175383,0.00020475,0.00190927,427857.77241308,97500.00000000,330357.77241308,3.38828485,0.17896400,0.16690836,0.79006072,0.24814559,1.09485381,0.45865437,-0.39019360,837,2013,0.61169807,2016,-0.21985209,5235583.35181595,1969.65434458,1.22817406,0.02020158,0.51827176,0.39889101,,,0.48149766,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOM12M<=0,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOM12M<=0,0.01573086,0.39892164,0.01573662,0.39892218,682220.89194769,97500.00000000,584720.89194769,5.99713735,0.23010259,0.21644506,0.97110648,0.24493533,1.34922132,0.71984613,-0.31965525,750,2013,0.61169807,2022,-0.27645685,6027752.26024731,2266.80945191,0.90974585,0.02324933,0.48904930,0.39889101,,,0.51077547,0.10277224
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOM12M<=0 off0,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOM12M<=0 off0,0.00016415,0.00175383,0.00017321,0.00190927,589980.90903736,97500.00000000,492480.90903736,5.05108625,0.21351918,0.20106714,0.90581466,0.24854013,1.25809544,0.69879320,-0.30555418,713,2013,0.61169807,2022,-0.18212664,5677647.93398420,2135.26718494,1.00023632,0.02190018,0.50770765,0.39889101,,,0.49209706,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,0.01989579,0.42036226,0.01990309,0.42036278,690569.43829410,97500.00000000,593069.43829410,6.08276347,0.22982749,0.21773163,0.97854869,0.24214870,1.36031683,0.84599236,-0.27166616,140,2013,0.61174426,2022,-0.21792026,5682276.41505672,2138.40156937,0.86454525,0.02193232,0.49320176,0.39900717,,,0.50661707,0.08597641
