label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,,0.00053704,0.00187523,0.00044227,0.00164884,106121.32274156,53500.00000000,52621.32274156,0.98357613,0.16536827,0.15597545,0.83160656,0.21174812,1.15203068,0.63606144,-0.25998788,366,2023,0.45323162,2022,-0.15469441,1290928.61356702,484.55467257,1.71560802,0.00905710,0.60333829,0.19907534,,,,,0.39607374,0.09931822
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,QQQ<SMA200,0.01637366,0.22713285,0.01631592,0.22713641,104715.53166785,53500.00000000,51215.53166785,0.95729966,0.16337184,0.15295170,0.82127370,0.21251742,1.13569322,0.62795483,-0.26016495,366,2023,0.33029253,2022,-0.08383174,1228806.55159151,462.82437191,1.64310652,0.00865092,0.61930622,0.19907534,,,,,0.38018015,0.04614148
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,QQQ:MOMM1-3-6-12U<=0,0.01893928,0.27844258,0.01886200,0.27844646,96885.36297062,53500.00000000,43385.36297062,0.81094136,0.14450709,0.13533501,0.74673433,0.21145608,1.02919700,0.55547508,-0.26015044,366,2023,0.26142540,2022,-0.13634325,1141811.39664819,430.23840984,1.63644573,0.00804184,0.62181548,0.19970055,,,,,0.37761350,0.05943891
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off0,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,QQQ:MOMM1-3-6-12U<=0 off0,0.00053354,0.00239473,0.00045004,0.00199754,94211.51663351,53500.00000000,40711.51663351,0.76096293,0.12720978,0.12899251,0.65227295,0.22222081,0.90230946,0.48922338,-0.26002392,366,2021,0.22019557,2022,-0.07993832,1215982.03408100,458.05463202,1.81781223,0.00856177,0.64256344,0.19980592,,,,,0.35684582,0.00000000
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,0.02267224,0.29575538,0.02260573,0.29575908,99644.98475616,53500.00000000,46144.98475616,0.86252308,0.15177581,0.14170033,0.77459544,0.21227882,1.06897168,0.58341556,-0.26015044,366,2019,0.25979704,2022,-0.08311324,1167933.87303656,440.45086166,1.62665807,0.00823273,0.62562496,0.19970055,,,,,0.37385109,0.04593051
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,0.01747259,0.22713285,0.01741295,0.22713641,103048.83760839,53500.00000000,49548.83760839,0.92614650,0.15998886,0.14931419,0.80874449,0.21208238,1.11702114,0.61495165,-0.26016495,366,2023,0.30254415,2022,-0.08383174,1199614.85954548,451.89340634,1.62413875,0.00844661,0.62038349,0.19907534,,,,,0.37908088,0.04614148
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,0.00600413,0.26745855,0.00592340,0.26746294,95193.09081968,53500.00000000,41693.09081968,0.77931011,0.13465866,0.13134152,0.67947001,0.22346253,0.94091643,0.51787029,-0.26002392,366,2021,0.22019557,2026,0.01201385,1248225.78376783,470.58495622,1.77577160,0.00879598,0.64806064,0.19984194,,,,,0.35138044,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,,0.00077239,0.00314094,0.00043732,0.00184310,118159.92242549,53500.00000000,64659.92242549,1.20859668,0.18920306,0.18035923,0.91233600,0.21638478,1.26313961,0.93984909,-0.20131217,439,2023,0.46446474,2022,-0.15313977,1376206.91172406,454.30188487,1.72347109,0.00849162,0.45246945,0.14955055,0.15061388,0.04900583,,,0.39609923,0.09916690
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ<SMA200,0.01681587,0.22732631,0.01653893,0.22732793,117164.75084873,53500.00000000,63664.75084873,1.18999534,0.18830107,0.17843846,0.91313108,0.21504936,1.26111943,0.93621129,-0.20113095,324,2023,0.34348124,2022,-0.07938807,1319068.54569571,436.40760487,1.65529635,0.00815715,0.46461710,0.14955055,0.15463084,0.04900583,,,0.37994678,0.04594996
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ:MOMM1-3-6-12U<=0,0.01900641,0.27703976,0.01872154,0.27704323,107277.64059499,53500.00000000,53777.64059499,1.00518954,0.16725264,0.15843303,0.83380840,0.21362906,1.14720945,0.83154420,-0.20113499,324,2019,0.26608073,2022,-0.13549260,1214776.92336048,402.25476151,1.64651683,0.00751878,0.46625297,0.14942904,0.15517617,0.04935799,,,0.37775057,0.06110379
