label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,,0.00109109,0.00317724,0.00062496,0.00156580,78857.72213715,44000.00000000,34857.72213715,0.79222096,0.16284172,0.16777684,0.85422330,0.20145277,1.19590434,0.83354496,-0.19536046,448,2023,0.47539089,2022,-0.14196050,794427.99490181,298.00409494,1.76537256,0.00677282,0.44993570,0.14979190,,,0.14961710,0.04969227,,,0.39930299,0.13807806
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,QQQ<SMA200,0.02225794,0.23271777,0.02193891,0.23272372,78210.87834089,44000.00000000,34210.87834089,0.77751996,0.16259332,0.16537877,0.85557255,0.20071571,1.19289746,0.85294307,-0.19062623,169,2023,0.35127130,2022,-0.06171072,763850.58088798,288.39364768,1.70129275,0.00655440,0.46603286,0.14976209,,,0.15499201,0.04972690,,,0.37794007,0.04055417
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,QQQ:MOMM1-3-6-12U<=0,0.02432097,0.28483353,0.02396012,0.28483968,73044.58072234,44000.00000000,29044.58072234,0.66010411,0.13824662,0.14552643,0.75409397,0.19905625,1.04545606,0.72522348,-0.19062623,169,2023,0.27618920,2022,-0.12256303,707994.49983945,267.20963775,1.69353098,0.00607295,0.46753350,0.14971393,,,0.15547865,0.04956838,,,0.37592055,0.05616714
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off0,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,QQQ:MOMM1-3-6-12U<=0 off0,0.00110280,0.00317724,0.00065284,0.00156580,73989.16232977,44000.00000000,29989.16232977,0.68157187,0.14355225,0.14925305,0.75053811,0.20891290,1.04427510,0.75305612,-0.19062623,169,2021,0.25871875,2022,-0.06566112,781373.97802142,294.68785575,1.84136057,0.00669745,0.48218454,0.14979190,,,0.16035994,0.04976555,,,0.35629656,0.00000000
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,0.02982509,0.30429839,0.02949462,0.30430446,74826.55635930,44000.00000000,30826.55635930,0.70060355,0.14877312,0.15251942,0.79831344,0.19982140,1.10839084,0.78044410,-0.19062623,169,2023,0.26288428,2022,-0.06171072,725860.02571664,274.37735567,1.68497763,0.00623585,0.47168697,0.14974557,,,0.15687675,0.04958750,,,0.37037905,0.04055417
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,0.02368398,0.23271777,0.02335492,0.23272372,77014.03047398,44000.00000000,33014.03047398,0.75031887,0.15778897,0.16089206,0.83710945,0.19999572,1.16472926,0.82774007,-0.19062623,169,2023,0.32011766,2022,-0.06171072,744573.41823116,281.24606661,1.68237983,0.00639196,0.46708982,0.14979190,,,0.15533674,0.04975193,,,0.37651465,0.04055417
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,0.00790801,0.26745240,0.00756374,0.26746294,74102.90822503,44000.00000000,30102.90822503,0.68415701,0.15421146,0.14969878,0.79313147,0.20965678,1.10561927,0.76552971,-0.20144412,474,2021,0.25871875,2020,0.02308204,800843.34746688,302.48547567,1.80487103,0.00687467,0.48748092,0.14979190,,,0.16218768,0.04967801,,,0.34937361,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,,0.00115551,0.00359694,0.00066413,0.00173904,79561.96182983,44000.00000000,35561.96182983,0.80822641,0.16360352,0.17036680,0.84683921,0.20479612,1.18565961,0.81272474,-0.20130250,439,2023,0.46407973,2022,-0.15271034,797030.98481898,263.26685826,1.76845965,0.00598334,0.44993110,0.14872668,0.14965469,0.04898819,,,,,0.39921190,0.13842966
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ<SMA200,0.02236651,0.23271690,0.02196205,0.23272072,78961.21449114,44000.00000000,34961.21449114,0.79457306,0.16349089,0.16815881,0.85124373,0.20325706,1.18778473,0.85739876,-0.19068245,167,2023,0.34071490,2022,-0.07342515,766971.71583606,254.24209466,1.70559042,0.00577823,0.46595248,0.14872668,0.15499753,0.04898819,,,,,0.37788537,0.04055717
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ:MOMM1-3-6-12U<=0,0.02449457,0.28496375,0.02403726,0.28496954,73521.59178010,44000.00000000,29521.59178010,0.67094527,0.13815999,0.14741402,0.74693812,0.20153065,1.03691610,0.72455538,-0.19068245,167,2021,0.26458541,2022,-0.13314967,708995.31626536,235.24361506,1.69741809,0.00534645,0.46749456,0.14872668,0.15550244,0.04898819,,,,,0.37578246,0.05590267
