label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.gate.threshold,params.gate.w_off,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=m3,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,-0.03000000,,0.01099952,0.30713875,0.01100417,0.30713926,716012.62210889,97500.00000000,618512.62210889,6.34371920,0.23445317,0.22155808,0.98594383,0.24481146,1.37150883,0.72017663,-0.32554954,714,2013,0.61169807,2022,-0.27991904,6045839.70363424,2273.14253596,0.88634429,0.02331428,0.48430598,0.39889101,,,0.51551259,0.10277757
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=m3 off30,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,-0.03000000,0.30000000,0.00715218,0.19720879,0.00715902,0.19720932,698227.14891461,97500.00000000,600727.14891461,6.16130409,0.23213014,0.21889802,0.97992495,0.24424614,1.36214090,0.71652289,-0.32396752,743,2013,0.61169807,2022,-0.27993087,6128578.75132547,2304.12882269,0.91257480,0.02363209,0.48542778,0.39889101,,,0.51439673,0.10279068
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=m3 off0,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,-0.03000000,0.00000000,0.00016550,0.00175383,0.00017754,0.00190927,624782.92407055,97500.00000000,527282.92407055,5.40802999,0.22079766,0.20713771,0.92875290,0.24897492,1.29282705,0.68324314,-0.32316118,748,2013,0.61169807,2022,-0.20286214,7144636.39277459,2685.15007656,1.17247311,0.02754000,0.50290267,0.39889101,,,0.49689917,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=m2,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,-0.02000000,,0.01111469,0.30714560,0.01112051,0.30714612,714724.90686005,97500.00000000,617224.90686005,6.33051187,0.23424806,0.22136773,0.98540012,0.24476623,1.37062500,0.71953035,-0.32555688,714,2013,0.61169807,2022,-0.27992383,6030539.53046738,2267.57635211,0.88571320,0.02325719,0.48442932,0.39889101,,,0.51539490,0.10277072
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=m2 off30,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,-0.02000000,0.30000000,0.00715581,0.19725243,0.00716227,0.19725296,679696.45203064,97500.00000000,582196.45203064,5.97124566,0.22906809,0.21605290,0.97100192,0.24381084,1.34853594,0.70708249,-0.32396232,743,2013,0.61169807,2022,-0.27991548,6029494.49000825,2266.97373777,0.92234132,0.02325101,0.48713084,0.39889101,,,0.51269047,0.10274704
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=m2 off0,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,-0.02000000,0.00000000,0.00016706,0.00175383,0.00018047,0.00190927,565856.99646843,97500.00000000,468356.99646843,4.80366150,0.21094183,0.19664196,0.89725386,0.24852842,1.24733271,0.65275090,-0.32315823,748,2013,0.61169807,2022,-0.20285938,6858426.62920370,2577.81053717,1.22640908,0.02643908,0.50860988,0.39889101,,,0.49118619,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=m1,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,-0.01000000,,0.01503276,0.39902724,0.01503650,0.39902780,651130.84131792,97500.00000000,553630.84131792,5.67826504,0.22466969,0.21151006,0.95616767,0.24383819,1.32774691,0.69583455,-0.32287804,750,2013,0.61169807,2022,-0.27986987,5632249.63510468,2118.69405198,0.88794509,0.02173020,0.48834727,0.39889101,,,0.51147416,0.10270504
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=m1 off30,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,-0.01000000,0.30000000,0.00940472,0.19736312,0.00941011,0.19736368,627813.87987876,97500.00000000,530313.87987876,5.43911672,0.22046837,0.20765009,0.94405933,0.24313201,1.30961307,0.68280540,-0.32288610,750,2013,0.61169807,2022,-0.27986346,5558530.70237031,2090.77932233,0.90917141,0.02144389,0.49071008,0.39889101,,,0.50910928,0.10263632
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=m1 off0,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,-0.01000000,0.00000000,0.00018188,0.00175383,0.00019461,0.00190927,482204.43257588,97500.00000000,384704.43257588,3.94568649,0.19077175,0.17965247,0.82881508,0.24880104,1.15012968,0.48891563,-0.39019360,837,2013,0.61169807,2016,-0.21985209,5549620.49706864,2087.41473563,1.17512493,0.02140938,0.51504171,0.39889101,,,0.48473945,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,0.00000000,,0.01533977,0.39906271,0.01534311,0.39906328,643805.53181031,97500.00000000,546305.53181031,5.60313366,0.22358705,0.21031267,0.95306926,0.24365267,1.32306880,0.69244487,-0.32289509,750,2013,0.61169807,2022,-0.27988359,5559586.24031814,2091.42483859,0.88519996,0.02145051,0.48865806,0.39889101,,,0.51116587,0.10268203
