label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.01128758,0.22105705,0.01132630,0.22105772,443213.99451816,97500.00000000,345713.99451816,3.54578456,0.18214392,0.17067117,0.85305189,0.22709081,1.18274561,0.69991357,-0.26023773,366,2017,0.65329828,2015,-0.09897028,8504499.05552884,3193.25672752,1.77507287,0.03275135,,,0.53858995,0.19828130,,,0.46113394,0.05222018
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.01165617,0.21958574,0.01155306,0.21958708,487909.92183177,97500.00000000,390409.92183177,4.00420433,0.19171825,0.18090379,0.89142159,0.22616175,1.23454845,0.80048617,-0.23950226,472,2017,0.66519117,2022,-0.12074742,8958866.46813353,2726.95839151,1.78972154,0.02796880,0.13408488,0.04722348,0.40386937,0.14913479,,,0.46126432,0.05369081
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.01156402,0.21800262,0.01147129,0.21800476,533254.89976463,97500.00000000,435754.89976463,4.46928102,0.20062884,0.19034641,0.91792342,0.22831580,1.26952255,0.82081204,-0.24442726,477,2017,0.67706120,2022,-0.15239078,9373398.97769824,2207.92598163,1.79888179,0.02264539,0.26871092,0.09744184,0.26917241,0.09940466,,,0.46136644,0.05527313
VT TQQQ/BIL75+BTAL25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+BTAL25,0.01151458,0.21632331,0.01141050,0.21632504,578951.28602017,97500.00000000,481451.28602017,4.93796191,0.20893126,0.19906718,0.93243713,0.23346430,1.28774401,0.82171723,-0.25426175,708,2017,0.68891555,2022,-0.18401773,9734630.55770234,1633.38503682,1.80056470,0.01675267,0.40323883,0.14441692,0.13449228,0.04910866,,,0.46146920,0.05695285
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.01125506,0.21450569,0.01124435,0.21450574,624274.02982451,97500.00000000,526774.02982451,5.40281056,0.21658975,0.20705144,0.93592651,0.24138966,1.29123558,0.79914190,-0.27102790,708,2017,0.70077067,2022,-0.21563704,10043770.00029945,1003.46807483,1.79680964,0.01029198,0.53776812,0.19707887,,,,,0.46158084,0.05877216
SPY benchmark,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00165763,0.00887397,0.00165813,0.00887535,353051.02493906,97500.00000000,255551.02493906,2.62103615,0.14643292,0.14631590,0.91192795,0.16527492,1.29098146,0.43404677,-0.33736669,173,2013,0.31819168,2022,-0.18365542,97233.05567962,6.80631390,0.02779235,0.00006981,,,,,0.99834187,0.99112465,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.01276234,0.16643154,0.01280423,0.16643223,224837.57956189,75500.00000000,149337.57956189,1.97798119,0.18200195,0.16577242,0.82558557,0.23695999,1.14401821,0.69936805,-0.26023773,366,2017,0.65329828,2015,-0.09897028,3946081.65506827,1483.36044765,1.74752776,0.01964716,,,0.52394773,0.19828130,,,0.47573440,0.06096166
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.01327820,0.16537602,0.01314654,0.16537696,230159.54307843,75500.00000000,154659.54307843,2.04847077,0.18653317,0.16920990,0.84864226,0.23430148,1.17379145,0.77883680,-0.23950226,472,2017,0.66519117,2022,-0.12074506,4095405.31782365,1248.82562004,1.76367486,0.01654074,0.13028049,0.04722348,0.39288814,0.14913479,,,0.47585450,0.06201693
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.01319127,0.16422366,0.01307402,0.16422532,234419.72573117,75500.00000000,158919.72573117,2.10489703,0.19039530,0.17190339,0.86253126,0.23431472,1.18998733,0.77894461,-0.24442726,477,2017,0.67706120,2022,-0.15238713,4225165.79155957,999.22277171,1.77276273,0.01323474,0.26127077,0.09744184,0.26185057,0.09940466,,,0.47594723,0.06316857
VT TQQQ/BIL75+BTAL25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+BTAL25,0.01316943,0.16299505,0.01304140,0.16299641,237741.27654712,75500.00000000,162241.27654712,2.14889108,0.19368911,0.17396891,0.86718693,0.23698937,1.19305973,0.76177054,-0.25426175,708,2017,0.68891555,2022,-0.18401490,4321383.10364963,729.02827180,1.76921001,0.00965600,0.39213997,0.14441692,0.13081331,0.04910866,,,0.47604281,0.06439747
