label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00077239,0.00314094,0.00043732,0.00184310,118159.92242549,53500.00000000,64659.92242549,1.20859668,0.18920306,0.18035923,0.91233600,0.21638478,1.26313961,0.93984909,-0.20131217,439,2023,0.46446474,2022,-0.15313977,1376206.91172406,454.30188487,1.72347109,0.00849162,0.45246945,0.14955055,0.15061388,0.04900583,,,0.39609923,0.09916690
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.01681587,0.22732631,0.01653893,0.22732793,117164.75084873,53500.00000000,63664.75084873,1.18999534,0.18830107,0.17843846,0.91313108,0.21504936,1.26111943,0.93621129,-0.20113095,324,2023,0.34348124,2022,-0.07938807,1319068.54569571,436.40760487,1.65529635,0.00815715,0.46461710,0.14955055,0.15463084,0.04900583,,,0.37994678,0.04594996
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.01727557,0.22730033,0.01700891,0.22730195,116729.17607660,53500.00000000,63229.17607660,1.18185376,0.18649453,0.17759272,0.90666892,0.21485062,1.25174615,0.92721074,-0.20113499,324,2023,0.34355530,2022,-0.07936605,1314652.71106654,435.08012860,1.65711950,0.00813234,0.46497893,0.14942904,0.15476767,0.04935799,,,0.37946014,0.04597594
SPY benchmark,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00569036,0.02233304,0.00569127,0.02233388,109466.10856795,53500.00000000,55966.10856795,1.04609549,0.15680104,0.16301342,0.84672044,0.19515292,1.19715720,0.46572974,-0.33667817,173,2021,0.28241522,2022,-0.18161772,53254.76437652,3.72783351,0.07535223,0.00006968,,,,,0.99430873,0.97766612,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00099376,0.00314094,0.00054623,0.00184310,66780.15143740,37500.00000000,29280.15143740,0.78080404,0.20678494,0.20077874,0.98547385,0.21419707,1.37880690,1.02889260,-0.20097816,324,2023,0.46459967,2022,-0.15313977,409192.96895090,134.50760241,1.31934016,0.00358687,0.47076456,0.14955055,0.15666286,0.04900583,,,0.37153969,0.09916690
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.02487979,0.22732631,0.02451730,0.22732793,66248.64827218,37500.00000000,28748.64827218,0.76663062,0.20584351,0.19791480,0.98345522,0.21374816,1.37183905,1.02343031,-0.20113095,324,2023,0.34360488,2022,-0.07938807,373691.43624708,123.99541088,1.19625317,0.00330654,0.48884935,0.14955055,0.16263318,0.04900583,,,0.34750563,0.04594996
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.02559942,0.22730033,0.02525565,0.22730195,65974.61791286,37500.00000000,28474.61791286,0.75932314,0.20303707,0.19643031,0.97366356,0.21343367,1.35745678,1.00945672,-0.20113499,324,2023,0.34367912,2022,-0.07936605,372997.36747567,123.88229750,1.20051605,0.00330353,0.48942191,0.14942904,0.16284505,0.04935799,,,0.34674324,0.04597594
SPY benchmark,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00676955,0.02233304,0.00677086,0.02233388,54024.61404681,37500.00000000,16524.61404681,0.44065637,0.12947835,0.12568830,0.67683690,0.21391828,0.94253127,0.38457602,-0.33667817,173,2021,0.28241522,2022,-0.18161772,37259.17984794,2.60814259,0.13190475,0.00006955,,,,,0.99322914,0.97766612,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00195247,0.00385032,0.00112779,0.00229853,33759.46443624,25500.00000000,8259.46443624,0.32390057,0.16954585,0.15986180,0.83815262,0.21598671,1.13901455,0.84406819,-0.20086748,439,2024,0.20960873,2026,0.05061102,219613.12340688,72.99820087,1.94586602,0.00286267,0.42556208,0.14947002,0.14128817,0.04898856,,,0.43114037,0.21413769
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.00449807,0.06819676,0.00375507,0.06820190,33609.95874024,25500.00000000,8109.95874024,0.31803760,0.16707570,0.15721691,0.83680148,0.21303946,1.13443546,0.91868785,-0.18186341,447,2024,0.20960873,2026,0.04959936,216484.57615637,72.04682679,1.92268262,0.00282537,0.42765935,0.14948330,0.14208554,0.04919289,,,0.42848494,0.19602462
