label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80,full,full,2000-01-03,2011-12-30,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00132751,0.01035393,0.00123552,0.00734422,125163.46338286,81500.00000000,43663.46338286,0.53574802,0.00627550,0.06174439,0.14119454,0.22662780,0.19510095,0.01033090,-0.60744961,3877,2009,0.43055678,2008,-0.31920831,1745990.93135711,174.50954576,1.47561743,0.00214122,0.65387846,0.19901312,,,0.34478358,0.07854543
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2000-01-03,2011-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA200,0.04700040,0.41196349,0.04690848,0.41196375,127225.21052806,81500.00000000,45725.21052806,0.56104553,0.03750850,0.06403262,0.28679835,0.19510401,0.39414887,0.10460356,-0.35857770,896,2009,0.35719988,2008,-0.29129489,1778999.10843380,176.33958127,1.35540237,0.00216368,0.70021999,0.19959144,,,0.29854830,0.00015691
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,full,full,2000-01-03,2011-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA10M,0.04715926,0.41195809,0.04706727,0.41195835,127415.62702393,81500.00000000,45915.62702393,0.56338193,0.03774067,0.06424189,0.28799324,0.19500545,0.39581826,0.10525207,-0.35857411,896,2009,0.35719527,2008,-0.29129006,1779908.43696776,176.36593458,1.35412288,0.00216400,0.70040812,0.19958159,,,0.29838160,0.00015691
SPY benchmark,full,full,2000-01-03,2011-12-30,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00136770,0.00828507,0.00136848,0.00828626,96152.62479824,81500.00000000,14652.62479824,0.17978681,0.00306235,0.02421908,0.12407263,0.22078484,0.17570451,0.00553231,-0.55353848,,2003,0.27835875,2008,-0.36995912,81465.60761152,5.70259253,0.07067246,0.00006997,,,0.99863152,0.99171374,,
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80,fit,fit,2000-01-03,2007-12-31,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00174224,0.01035393,0.00159936,0.00734422,71319.28341041,57500.00000000,13819.28341041,0.24033536,-0.02247578,0.04545835,0.01119761,0.22485033,0.01556178,-0.03700023,-0.60744961,,2003,0.31423113,2002,-0.23634135,691498.50524254,68.84280542,1.42590685,0.00119727,0.65923667,0.19901312,,,0.33901129,0.07854543
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2000-01-03,2007-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA200,0.05669814,0.41196349,0.05655545,0.41196375,77589.27069311,57500.00000000,20089.27069311,0.34937862,0.02948696,0.06307501,0.24952946,0.18683718,0.34587885,0.10802362,-0.27296775,1382,2003,0.30053845,2000,-0.20785369,740479.94616028,72.71051329,1.28456319,0.00126453,0.71510193,0.19990104,,,0.28329934,0.00015691
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,fit,fit,2000-01-03,2007-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA10M,0.05696305,0.41195809,0.05682044,0.41195835,77743.77957188,57500.00000000,20243.77957188,0.35206573,0.02983252,0.06349002,0.25138335,0.18668269,0.34849355,0.10928953,-0.27296775,1382,2003,0.30053845,2000,-0.20785369,739415.36954323,72.55492779,1.28118161,0.00126182,0.71535474,0.19990104,,,0.28304922,0.00015691
SPY benchmark,fit,fit,2000-01-03,2007-12-31,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00175261,0.00828507,0.00175365,0.00828626,73776.85826832,57500.00000000,16276.85826832,0.28307580,0.01455078,0.05255066,0.17031551,0.17969735,0.24263534,0.03053635,-0.47650690,2434,2003,0.27835875,2002,-0.21727675,57482.73411406,4.02379139,0.10160501,0.00006998,,,0.99824635,0.99171374,,
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80,test,test,2008-01-02,2011-12-30,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00152801,0.00625146,0.00153125,0.00623036,45527.08620012,33500.00000000,12027.08620012,0.35901750,0.07200138,0.12068734,0.41717859,0.22990305,0.57107471,0.19477739,-0.36965985,725,2009,0.43058099,2008,-0.30490471,329115.28645651,32.93173929,1.61299254,0.00098304,0.64264191,0.19826631,,,0.35581769,0.09566016
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2008-01-02,2011-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA200,0.03254380,0.23451541,0.03255054,0.23451632,43322.61647729,33500.00000000,9822.61647729,0.29321243,0.05641784,0.10079778,0.36780736,0.20795280,0.49866349,0.18771366,-0.30055268,805,2009,0.35388155,2008,-0.28057268,315072.42252586,31.06960251,1.58542703,0.00092745,0.67338905,0.19765407,,,0.32445654,0.02262314
