label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,params.rebalance,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 rb 1w,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,,1w,0.00590623,0.25287545,0.00580381,0.25287648,93290.32375400,53500.00000000,39790.32375400,0.74374437,0.14753692,0.12706271,0.80766336,0.19440610,1.11926123,0.58895723,-0.25050532,366,2023,0.41559061,2022,-0.14411645,3057826.70005957,1148.32275644,4.03744224,0.02146398,0.61714907,0.19872148,,,,,0.38225788,0.06555280
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 rb 2w,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,,2w,0.02035908,0.35616179,0.02027386,0.35616290,96254.56390973,53500.00000000,42754.56390973,0.79915073,0.13812901,0.13416731,0.74728222,0.20072310,1.04044727,0.54740002,-0.25233650,362,2023,0.45094118,2022,-0.15225887,1863169.32293839,700.62154330,2.57176245,0.01309573,0.61308283,0.19170617,,,,,0.38621747,0.06536807
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 rb 2w+1,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,,2w+1,0.01853462,0.36906884,0.01845956,0.36907320,92574.49541575,53500.00000000,39074.49541575,0.73036440,0.15060759,0.12531315,0.80549219,0.19951208,1.11835723,0.58192011,-0.25881145,443,2023,0.42319400,2022,-0.17509471,2154080.29815638,809.45615904,2.80368811,0.01513002,0.61507045,0.19530226,,,,,0.38427547,0.06917840
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,,,0.00053704,0.00187523,0.00044227,0.00164884,105916.16135814,53500.00000000,52416.16135814,0.97974133,0.16532681,0.15589666,0.83082396,0.21185653,1.15092624,0.63590199,-0.25998788,366,2023,0.45323162,2022,-0.15469441,1290928.61356702,484.55467257,1.72016555,0.00905710,0.60333829,0.19907534,,,,,0.39607374,0.09931822
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 rb 2m,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,,2m,0.07010784,0.52032121,0.07003745,0.52032641,102528.26128450,53500.00000000,49028.26128450,0.91641610,0.14709596,0.14851007,0.72787689,0.22381441,0.98919965,0.46451766,-0.31666387,638,2023,0.38135768,2022,-0.16098391,578722.96332624,219.24325544,0.81656791,0.00409800,0.60155883,0.19915751,,,,,0.39756174,0.09841626
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 rb 2m+1,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,,2m+1,0.05964939,0.43190616,0.05958656,0.43190709,97118.27385274,53500.00000000,43618.27385274,0.81529484,0.14619129,0.13619631,0.72458375,0.22351082,1.00702434,0.58260563,-0.25092667,166,2023,0.38383340,2022,-0.13782718,768446.23781817,289.07894536,1.03936997,0.00540334,0.59518755,0.17131160,,,,,0.40394481,0.09931483
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 rb 3m,full,full,2019-05-08,2026-08-20,false,false,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,,3m,0.09798511,0.57975469,0.09793539,0.57976239,87537.90623681,53500.00000000,34037.90623681,0.63622255,0.09042815,0.11260508,0.44003186,0.30567412,0.59064263,0.16265479,-0.55595134,1547,2023,0.43052663,2020,-0.25741145,417314.55630996,158.62316235,0.66175050,0.00296492,0.55281954,0.17156364,,,,,0.44596598,0.09924774
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 rb 3m+1,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,,3m+1,0.08320126,0.46844103,0.08316611,0.46844332,96302.82797601,53500.00000000,42802.82797601,0.80005286,0.13839779,0.13428117,0.72889987,0.20825341,1.01415918,0.50885036,-0.27198132,366,2023,0.29296128,2022,-0.19265948,409977.06360764,155.72338390,0.59992411,0.00291072,0.62712360,0.17266938,,,,,0.37170817,0.08974098
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 rb 3m+2,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,,3m+2,0.08921690,0.43547746,0.08916983,0.43547900,120806.55699984,53500.00000000,67306.55699984,1.25806649,0.19180635,0.18581569,0.91173387,0.21968537,1.26809242,0.64442327,-0.29764032,189,2023,0.41711338,2022,-0.14595324,572511.35383613,216.65635882,0.69366976,0.00404965,0.60028693,0.18480618,,,,,0.39868686,0.09813844
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 1w,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,QQQ<SMA200,1w,0.02414648,0.27806509,0.02405559,0.27806509,86752.35106372,53500.00000000,33252.35106372,0.62153927,0.13310677,0.11055687,0.74122596,0.19481141,1.02423105,0.53142223,-0.25047272,366,2023,0.29553376,2022,-0.07776986,2712770.45060857,1019.74661660,3.71607672,0.01906068,0.63597160,0.19872148,,,,,0.36345483,0.04253528
