label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,params.rebalance,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 1w,full,full,2020-12-18,2026-08-20,false,true,0.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,1w,0.00732570,0.25187400,0.00673434,0.25187400,70062.57629010,44000.00000000,26062.57629010,0.59233128,0.14038843,0.13385326,0.82099996,0.18081219,1.14323021,0.68838752,-0.20393808,,2023,0.43839574,2022,-0.13289592,1818457.91095265,0.00000000,4.06553140,0.00000000,0.46392916,0.14867670,,,0.15422715,0.04817354,,,0.38052359,0.08341794
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 2w,full,full,2020-12-18,2026-08-20,false,true,0.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,2w,0.02216305,0.35542290,0.02145016,0.35542290,74526.67294550,44000.00000000,30526.67294550,0.69378802,0.15036397,0.15180325,0.85570613,0.18446654,1.21137775,0.82066510,-0.18322208,545,2023,0.47114788,2022,-0.13969020,1152295.13954715,0.00000000,2.55938102,0.00000000,0.46322526,0.14912231,,,0.15385114,0.04835945,,,0.38132507,0.11122720
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 2w+1,full,full,2020-12-18,2026-08-20,false,true,0.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,2w+1,0.01971187,0.35736184,0.01892640,0.35138813,67528.05124432,44000.00000000,23528.05124432,0.53472844,0.12627130,0.12317299,0.73603360,0.18598523,1.01449753,0.58433578,-0.21609374,,2023,0.44531548,2022,-0.16433191,1250185.25734312,0.00000000,2.86857911,0.00000000,0.46079436,0.14628625,,,0.15324967,0.04779169,,,0.38429654,0.08362669
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,0.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,,0.00112420,0.00328689,0.00061733,0.00184694,79319.33828426,44000.00000000,35319.33828426,0.80271223,0.16471865,0.16997818,0.86168899,0.20150973,1.20689309,0.84706050,-0.19445913,448,2023,0.47660772,2022,-0.14176180,796375.57305511,0.00000000,1.77032451,0.00000000,0.44995592,0.14974274,,,0.14962906,0.04959294,,,0.39929081,0.13876479
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 2m,full,full,2020-12-18,2026-08-20,false,true,0.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,2m,0.07257952,0.51046454,0.07160507,0.50688905,81096.17830280,44000.00000000,37096.17830280,0.84309496,0.17651629,0.17645506,0.90101837,0.20466121,1.27076229,0.80199020,-0.22009781,474,2023,0.40379306,2022,-0.15079872,365288.36175290,0.00000000,0.79738133,0.00000000,0.44806806,0.14974274,,,0.14923432,0.04995007,,,0.40083733,0.12539418
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 2m+1,full,full,2020-12-18,2026-08-20,false,true,0.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,2m+1,0.06356219,0.42910486,0.06278626,0.42780963,74235.48902271,44000.00000000,30235.48902271,0.68717021,0.14962936,0.15066382,0.77683699,0.20848951,1.08891702,0.72931610,-0.20516393,,2023,0.40781885,2022,-0.12088911,494296.02197003,0.00000000,1.08734087,0.00000000,0.44261942,0.12845711,,,0.14814241,0.04565672,,,0.40749588,0.13634832
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 3m,full,full,2020-12-18,2026-08-20,false,true,0.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,3m,0.09582127,0.51368909,0.09425197,0.50807786,77040.49921620,44000.00000000,33040.49921620,0.75092044,0.16139091,0.16146907,0.73720398,0.24478881,1.02949938,0.63613886,-0.25370389,160,2023,0.45729229,2022,-0.17516771,304765.91088992,0.00000000,0.65344506,0.00000000,0.40629894,0.12851615,,,0.13679262,0.04561552,,,0.45450208,0.15551202
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 3m+1,full,full,2020-12-18,2026-08-20,false,true,0.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,3m+1,0.08522932,0.34253608,0.08422310,0.34253608,74772.02103170,44000.00000000,30772.02103170,0.69936411,0.14831191,0.15276005,0.82797822,0.18965757,1.17191193,0.70990161,-0.20891897,567,2021,0.31687411,2022,-0.17684812,280463.41927737,0.00000000,0.65494464,0.00000000,0.46602203,0.12922529,,,0.15600931,0.04543124,,,0.37543652,0.09252930
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 3m+2,full,full,2020-12-18,2026-08-20,false,true,0.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,3m+2,0.09125576,0.43539749,0.09026232,0.43313975,86772.26954625,44000.00000000,42772.26954625,0.97209704,0.19119848,0.19629074,0.98146540,0.19949682,1.40654929,0.79399893,-0.24080446,474,2023,0.43802961,2022,-0.13297928,335671.55047302,0.00000000,0.69797856,0.00000000,0.44981777,0.13846317,,,0.15005275,0.04700819,,,0.39759650,0.13633184
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 1w,full,full,2020-12-18,2026-08-20,false,true,0.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,1w,0.03119714,0.28407222,0.03072161,0.28407222,66325.11693964,44000.00000000,22325.11693964,0.50738902,0.12920151,0.11796968,0.77092818,0.17936353,1.06934715,0.63343692,-0.20396903,,2023,0.31615609,2022,-0.05685009,1646577.28357823,0.00000000,3.76450596,0.00000000,0.48256403,0.14867670,,,0.16041078,0.04824405,,,0.35578176,0.04160022
