label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,params.rebalance,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 1w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,1w,0.00733761,0.25170141,0.00674232,0.25170274,69195.31542333,44000.00000000,25195.31542333,0.57262081,0.13686525,0.13024064,0.80373023,0.18083290,1.11788249,0.66586221,-0.20554590,,2023,0.43360121,2022,-0.13399533,1804467.78663013,678.62417646,4.06621071,0.01542328,0.46393727,0.14874365,,,0.15420328,0.04823493,,,0.38049714,0.08370533
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 2w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,2w,0.02209512,0.35507535,0.02142374,0.35507672,73958.09111736,44000.00000000,29958.09111736,0.68086571,0.14818758,0.14957441,0.84520710,0.18451655,1.19589172,0.80287433,-0.18457133,545,2023,0.46814241,2022,-0.14074862,1147165.96761557,431.44261824,2.56047745,0.00980551,0.46321151,0.14934047,,,0.15386853,0.04823788,,,0.38135871,0.11145824
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 2w+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,2w+1,0.01963625,0.35692520,0.01890902,0.35203756,66959.38374117,44000.00000000,22959.38374117,0.52180418,0.12386728,0.12072432,0.72433889,0.18603719,0.99752819,0.57054377,-0.21710391,,2023,0.44274544,2022,-0.16534842,1243120.00540522,467.16829553,2.86801329,0.01061746,0.46079464,0.14625285,,,0.15327176,0.04771726,,,0.38432350,0.08371169
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,,0.00109109,0.00317724,0.00062496,0.00156580,78920.52561212,44000.00000000,34920.52561212,0.79364831,0.16334394,0.16850575,0.85552745,0.20159346,1.19772623,0.83611567,-0.19536046,448,2023,0.47539089,2022,-0.14196050,794427.99490181,298.00409494,1.77125037,0.00677282,0.44993570,0.14979190,,,0.14961710,0.04969227,,,0.39930299,0.13807806
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 2m,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,2m,0.07251592,0.51034695,0.07159609,0.50725906,80891.85521788,44000.00000000,36891.85521788,0.83845125,0.17573451,0.17571707,0.89767368,0.20468493,1.26577777,0.79782719,-0.22026639,474,2023,0.40328646,2022,-0.15131214,364868.42803925,138.71157691,0.79794346,0.00315254,0.44808328,0.14979190,,,0.14919653,0.04996647,,,0.40088342,0.12556395
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 2m+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,2m+1,0.06357188,0.42907629,0.06286211,0.42745756,74020.98573633,44000.00000000,30020.98573633,0.68229513,0.14886035,0.14982175,0.77356984,0.20850501,1.08406244,0.72442944,-0.20548634,,2023,0.40729807,2022,-0.12052701,493649.05021165,185.84357030,1.08776699,0.00422372,0.44265178,0.12838262,,,0.14814765,0.04575860,,,0.40745335,0.13588709
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 3m,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,3m,0.09565490,0.51356202,0.09426853,0.50844987,76891.13663243,44000.00000000,32891.13663243,0.74752583,0.16075734,0.16090312,0.73492385,0.24480881,1.02614304,0.63332655,-0.25383009,160,2023,0.45677586,2022,-0.17550544,304427.16402945,115.88162054,0.65375297,0.00263367,0.40641027,0.12840706,,,0.13690835,0.04570393,,,0.45451097,0.15571934
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 3m+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,3m+1,0.08515092,0.34214570,0.08419809,0.34214709,74640.78067248,44000.00000000,30640.78067248,0.69638138,0.14779702,0.15224861,0.82544754,0.18970345,1.16815289,0.70527700,-0.20955882,567,2021,0.31589045,2022,-0.17750515,280082.68868330,106.56401172,0.65477890,0.00242191,0.46601238,0.12936962,,,0.15597469,0.04506086,,,0.37550294,0.09209575
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 rb 3m+2,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,3m+2,0.09120090,0.43561146,0.09025860,0.43330302,86606.74890318,44000.00000000,42606.74890318,0.96833520,0.19066763,0.19572968,0.97897489,0.19955935,1.40280619,0.79156913,-0.24087300,474,2023,0.43747682,2022,-0.13316679,335649.04362954,127.08004338,0.69887907,0.00288818,0.44985486,0.13820425,,,0.15006871,0.04705206,,,0.39768575,0.13590123
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 1w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,1w,0.03131316,0.28434618,0.03082020,0.28434856,65660.79993816,44000.00000000,21660.79993816,0.49229091,0.12633803,0.11505745,0.75666623,0.17937475,1.04855238,0.61519859,-0.20536137,,2023,0.31175457,2022,-0.05648108,1635616.79445701,618.21713214,3.76395972,0.01405039,0.48260790,0.14874365,,,0.16040130,0.04820726,,,0.35565799,0.04136782
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,2w,0.04225961,0.35482872,0.04177036,0.35483013,73044.89456301,44000.00000000,29044.89456301,0.66011124,0.14490332,0.14596059,0.83488100,0.18302010,1.17855423,0.83878918,-0.17275297,167,2023,0.31911375,2022,-0.06675464,1089121.24216337,411.96281031,2.46311457,0.00936279,0.47955777,0.14934047,,,0.15929195,0.04809237,,,0.35972513,0.04403199
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,2w+1,0.04371543,0.35692520,0.04314201,0.35203756,66003.36608854,44000.00000000,22003.36608854,0.50007650,0.12492493,0.11656269,0.73592665,0.18384505,1.00970942,0.57550514,-0.21707006,,2024,0.32432194,2022,-0.03680538,1194390.51591207,451.01730859,2.73175139,0.01025039,0.48077370,0.14638768,,,0.15991743,0.04803506,,,0.35783326,0.04134256
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,,0.02225794,0.23271777,0.02193891,0.23272372,78273.52490042,44000.00000000,34273.52490042,0.77894375,0.16309589,0.16610206,0.85688429,0.20085588,1.19472245,0.85557947,-0.19062623,169,2023,0.35127130,2022,-0.06171072,763850.58088798,288.39364768,1.70692879,0.00655440,0.46603286,0.14976209,,,0.15499201,0.04972690,,,0.37794007,0.04055417
