label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.vol.lam,params.sigma_target,params.rebalance,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 1w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.80000000,0.20000000,1w,0.03123473,0.28468274,0.03079435,0.28468625,66954.93364977,44000.00000000,22954.93364977,0.52170304,0.12979545,0.12070508,0.76522797,0.18202606,1.06109042,0.65000139,-0.19968488,,2023,0.30133967,2022,-0.06840976,1647644.26071479,546.86947393,3.77377302,0.01242885,0.48262506,0.14919282,0.16045541,0.04861894,,,0.35570369,0.04126109
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.80000000,0.20000000,2w,0.04208030,0.35502871,0.04162253,0.35503021,74500.77167026,44000.00000000,30500.77167026,0.69319936,0.14858576,0.15170206,0.84273163,0.18574713,1.19027591,0.86234908,-0.17230349,161,2024,0.31355370,2022,-0.07976115,1099832.90500477,363.70317231,2.47092408,0.00826598,0.47939798,0.14872668,0.15937941,0.04898819,,,0.35989722,0.04430175
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.80000000,0.20000000,2w+1,0.04360348,0.35874343,0.04313173,0.35400295,67256.83124879,44000.00000000,23256.83124879,0.52856435,0.12778810,0.12200758,0.74185838,0.18648382,1.01902525,0.60045738,-0.21281794,,2024,0.34046025,2022,-0.04944883,1204187.31442423,399.30848639,2.74368106,0.00907519,0.48076771,0.14627832,0.15996357,0.04910194,,,0.35795447,0.04131506
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.80000000,0.20000000,,0.02236651,0.23271690,0.02196205,0.23272072,78911.46434901,44000.00000000,34911.46434901,0.79344237,0.16370187,0.16847221,0.85129310,0.20339990,1.18785335,0.85850518,-0.19068245,167,2023,0.34071490,2022,-0.07342515,766971.71583606,254.24209466,1.71127690,0.00577823,0.46595248,0.14872668,0.15499753,0.04898819,,,0.37788537,0.04055717
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2m,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.80000000,0.20000000,2m,0.08620439,0.51328723,0.08545605,0.50820073,79966.64835019,44000.00000000,35966.64835019,0.81742383,0.17033146,0.17235334,0.86866054,0.20666745,1.22156915,0.74297472,-0.22925606,474,2021,0.35272226,2022,-0.12358723,365004.23540809,123.63037271,0.81181794,0.00280978,0.46300731,0.14872668,0.15433240,0.04898819,,,0.38101633,0.05507836
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2m+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.80000000,0.20000000,2m+1,0.07807800,0.42731125,0.07752166,0.42592131,76639.57704586,44000.00000000,32639.57704586,0.74180857,0.16120343,0.15994760,0.81537929,0.21186742,1.14193950,0.78461502,-0.20545544,,2023,0.34231942,2026,-0.06044019,507384.82459364,167.91940002,1.08301935,0.00381635,0.45552974,0.12804187,0.15242345,0.04786454,,,0.39044301,0.04052335
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 3m,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.80000000,0.20000000,3m,0.10911938,0.51783964,0.10797217,0.50983659,72244.04403106,44000.00000000,28244.04403106,0.64191009,0.13978518,0.14275602,0.66124844,0.24411772,0.91982414,0.54765916,-0.25524119,160,2024,0.39605392,2022,-0.15454119,290239.90674937,98.25513527,0.66379503,0.00223307,0.42386541,0.12823177,0.14249543,0.04780004,,,0.43157448,0.06915021
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 3m+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.80000000,0.20000000,3m+1,0.09643054,0.34274051,0.09574334,0.34274198,76876.37725083,44000.00000000,32876.37725083,0.74719039,0.15602981,0.16084714,0.84595853,0.19475303,1.19576453,0.77306738,-0.20183209,564,2021,0.32093764,2022,-0.11415022,289973.10111274,98.02474411,0.66458319,0.00222784,0.47593283,0.12902104,0.15976150,0.04691405,,,0.36229837,0.04037680
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 3m+2,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.80000000,0.20000000,3m+2,0.10436636,0.43302143,0.10366066,0.43143341,90284.08130779,44000.00000000,46284.08130779,1.05191094,0.20253190,0.20796570,1.00939479,0.20439849,1.44468564,0.81703114,-0.24788761,455,2023,0.38679803,2022,-0.08066468,346378.12304224,116.39253872,0.70127072,0.00264528,0.45984825,0.13825787,0.15391728,0.04975657,,,0.38442779,0.05299276
VT TQQQ/BTAL75+DBMF25 t30 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 1w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.80000000,0.30000000,1w,0.04394599,0.42188632,0.04354085,0.42188962,85077.17131235,44000.00000000,41077.17131235,0.93357208,0.19118361,0.19049711,0.79995022,0.26342602,1.11322447,0.69496636,-0.27509764,570,2023,0.53945850,2022,-0.19047525,2066474.62183487,683.39799964,4.11671402,0.01553177,0.36959422,0.14523619,0.12282835,0.04681752,,,0.50643929,0.06653723
