label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.rebalance,params.w_min,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 1w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1w,0.00000000,0.03123473,0.28468274,0.03079435,0.28468625,66954.93364977,44000.00000000,22954.93364977,0.52170304,0.12979545,0.12070508,0.76522797,0.18202606,1.06109042,0.65000139,-0.19968488,,2023,0.30133967,2022,-0.06840976,1647644.26071479,546.86947393,3.77377302,0.01242885,0.48262506,0.14919282,0.16045541,0.04861894,,,0.35570369,0.04126109
VT TQQQ/BTAL75+DBMF25 t20 w10-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 1w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1w,0.10000000,0.03094407,0.28468274,0.03050492,0.28468625,67486.37491690,44000.00000000,23486.37491690,0.53378125,0.13157529,0.12299420,0.77415060,0.18195580,1.07378689,0.65891348,-0.19968523,,2023,0.30133967,2022,-0.06840976,1649490.58345103,547.43040199,3.76624274,0.01244160,0.48238116,0.14919282,0.16037814,0.04861894,,,0.35603909,0.04126109
VT TQQQ/BTAL75+DBMF25 t20 w20-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 1w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1w,0.20000000,0.03068975,0.27933746,0.03024639,0.27934102,69673.08764045,44000.00000000,25673.08764045,0.58347926,0.13776947,0.13223611,0.80488469,0.18178784,1.11797264,0.68997843,-0.19967214,,2023,0.30369774,2022,-0.08109884,1648199.33533141,547.38615155,3.73201808,0.01244059,0.48006268,0.14919282,0.15959760,0.04861894,,,0.35914458,0.04578631
VT TQQQ/BTAL75+DBMF25 t20 w30-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 1w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1w,0.30000000,0.03899897,0.26368557,0.03858728,0.26368897,72359.75104444,44000.00000000,28359.75104444,0.64453980,0.14431253,0.14322109,0.82030760,0.18644220,1.14252718,0.73266641,-0.19696895,,2024,0.30816618,2022,-0.11643229,1532442.98582507,510.16093450,3.47437642,0.01159457,0.47055424,0.14919282,0.15643537,0.04861894,,,0.37182043,0.05908547
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,2w,0.00000000,0.04208030,0.35502871,0.04162253,0.35503021,74500.77167026,44000.00000000,30500.77167026,0.69319936,0.14858576,0.15170206,0.84273163,0.18574713,1.19027591,0.86234908,-0.17230349,161,2024,0.31355370,2022,-0.07976115,1099832.90500477,363.70317231,2.47092408,0.00826598,0.47939798,0.14872668,0.15937941,0.04898819,,,0.35989722,0.04430175
VT TQQQ/BTAL75+DBMF25 t20 w10-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,2w,0.10000000,0.04208030,0.35502871,0.04162253,0.35503021,74500.77167026,44000.00000000,30500.77167026,0.69319936,0.14858576,0.15170206,0.84273163,0.18574713,1.19027591,0.86234908,-0.17230349,161,2024,0.31355370,2022,-0.07976115,1099832.90500477,363.70317231,2.47092408,0.00826598,0.47939798,0.14872668,0.15937941,0.04898819,,,0.35989722,0.04430175
VT TQQQ/BTAL75+DBMF25 t20 w20-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,2w,0.20000000,0.04158920,0.35535733,0.04113513,0.35535885,76895.56798784,44000.00000000,32895.56798784,0.74762655,0.15482704,0.16091993,0.87118226,0.18598392,1.23330892,0.87432267,-0.17708227,570,2024,0.31335564,2022,-0.09216251,1097237.50587638,363.26336238,2.44235841,0.00825599,0.47716245,0.14872668,0.15865061,0.04898819,,,0.36287083,0.04930186
VT TQQQ/BTAL75+DBMF25 t20 w30-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,2w,0.30000000,0.05084379,0.35487476,0.05041771,0.35487629,79144.58131977,44000.00000000,35144.58131977,0.79874048,0.16105004,0.16933383,0.88380993,0.19037569,1.25262893,0.82537472,-0.19512354,573,2024,0.34845084,2022,-0.11742734,1041885.53458311,346.59131592,2.29906701,0.00787708,0.46979529,0.14872668,0.15623893,0.04898819,,,0.37265565,0.05917637
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,2w+1,0.00000000,0.04360348,0.35874343,0.04313173,0.35400295,67256.83124879,44000.00000000,23256.83124879,0.52856435,0.12778810,0.12200758,0.74185838,0.18648382,1.01902525,0.60045738,-0.21281794,,2024,0.34046025,2022,-0.04944883,1204187.31442423,399.30848639,2.74368106,0.00907519,0.48076771,0.14627832,0.15996357,0.04910194,,,0.35795447,0.04131506
VT TQQQ/BTAL75+DBMF25 t20 w10-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,2w+1,0.10000000,0.04333272,0.35874343,0.04285175,0.35400295,67683.64172851,44000.00000000,23683.64172851,0.53826458,0.12920334,0.12383953,0.74887364,0.18639927,1.02895853,0.60684965,-0.21290832,,2024,0.34046025,2022,-0.04944883,1203368.73738792,399.06616349,2.73503123,0.00906969,0.48049623,0.14631157,0.15986708,0.04877025,,,0.35831473,0.04131506
