label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,0.00015139,0.00175383,0.00015837,0.00190927,824016.53875668,97500.00000000,726516.53875668,7.45145168,0.24798530,0.23665628,1.01568832,0.24950300,1.41971486,0.71731262,-0.34571440,533,2023,0.64756697,2022,-0.30489792,7335885.11257415,2755.53460674,0.98078035,0.02826189,0.47346123,0.39889101,,,0.52636056,0.14915511
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,QQQ<SMA200,0.01555451,0.32393290,0.01556178,0.32393340,760127.28217126,97500.00000000,662627.28217126,6.79617725,0.23853260,0.22811745,1.00281700,0.24366704,1.39758223,0.86254363,-0.27654555,533,2013,0.61174426,2022,-0.21789972,6140373.03858943,2309.95298226,0.88521813,0.02369183,0.48886288,0.39900717,,,0.51095548,0.08598344
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200 off0,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,QQQ<SMA200 off0,0.00018548,0.00175383,0.00020404,0.00190927,535667.25372747,97500.00000000,438167.25372747,4.49402312,0.20052130,0.19102885,0.86496133,0.24741731,1.20301349,0.55494572,-0.36133498,681,2017,0.58814497,2016,-0.13941845,7487854.58621270,2815.00235444,1.24294573,0.02887182,0.52774186,0.39900717,,,0.47203222,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=1.00,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,VIX/VIX3M@1>=1.00,0.00103151,0.08427952,0.00103844,0.08427976,820614.00843384,97500.00000000,723114.00843384,7.41655393,0.24756084,0.23621852,1.01844995,0.24816726,1.42256867,0.70965995,-0.34884431,533,2023,0.64756940,2022,-0.30822415,7114567.12636448,2672.95128892,0.95444763,0.02741489,0.47433986,0.39889101,,,0.52548021,0.14915919
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=1.00 off0,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,VIX/VIX3M@1>=1.00 off0,0.00017146,0.00175383,0.00019462,0.00190927,628864.03532358,97500.00000000,531364.03532358,5.44988754,0.21821273,0.20804631,0.93252879,0.24441766,1.30337334,0.60050916,-0.36337952,1016,2023,0.64754684,2022,-0.30669973,9047928.46062478,3397.43793882,1.47340119,0.03484552,0.49971183,0.39889101,,,0.50007394,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@10>=1.00<0.95,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,VIX/VIX3M@10>=1.00<0.95,0.00354571,0.17097284,0.00355201,0.17097385,782701.86111152,97500.00000000,685201.86111152,7.02771140,0.24206082,0.23121405,0.99989100,0.24839383,1.39728175,0.70014144,-0.34573131,533,2023,0.64752743,2022,-0.30491184,6955604.82096882,2613.79619943,0.97780172,0.02680817,0.47685918,0.39889101,,,0.52296327,0.14915010
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@10>=1.00<0.95 off0,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,VIX/VIX3M@10>=1.00<0.95 off0,0.00015968,0.00175383,0.00017330,0.00190927,631775.55372360,97500.00000000,534275.55372360,5.47974927,0.22270084,0.20853578,0.94199107,0.24642516,1.30931073,0.61286614,-0.36337598,1016,2023,0.64753272,2022,-0.30490550,7976157.35391750,2996.29674555,1.24372994,0.03073125,0.49670428,0.39889101,,,0.50310025,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@10>=0.95<0.90,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,VIX/VIX3M@10>=0.95<0.90,0.01493912,0.35506664,0.01494583,0.35506737,622682.23613882,97500.00000000,525182.23613882,5.38648447,0.21938019,0.20699942,0.93939515,0.24340114,1.30765015,0.60020883,-0.36550644,566,2023,0.64751611,2022,-0.33415024,5191565.61200572,1954.59943825,0.88351492,0.02004717,0.48825064,0.39889101,,,0.51156802,0.13578678
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,QQQ<SMA200|VIX/VIX3M@1>=1.00,0.01560557,0.32393170,0.01561401,0.32393219,759422.89427660,97500.00000000,661922.89427660,6.78895276,0.23840109,0.22801935,1.00242143,0.24365367,1.39700740,0.86206686,-0.27654594,533,2013,0.61174426,2022,-0.21789823,6133098.04435926,2307.42451264,0.88502882,0.02366589,0.48891852,0.39900717,,,0.51090274,0.08598464
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,0.02736105,0.41247203,0.02737825,0.41247327,616295.87922596,97500.00000000,518795.87922596,5.32098338,0.21260572,0.20590677,0.91625240,0.24345746,1.27767227,0.58506812,-0.36338626,940,2013,0.61174426,2015,-0.04642247,8275001.08406793,3110.14001353,1.34877742,0.03189887,0.52689007,0.39900717,,,0.47288743,0.00000000
