label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,,0.00053704,0.00187523,0.00044227,0.00164884,105916.16135814,53500.00000000,52416.16135814,0.97974133,0.16532681,0.15589666,0.83082396,0.21185653,1.15092624,0.63590199,-0.25998788,366,2023,0.45323162,2022,-0.15469441,1290928.61356702,484.55467257,1.72016555,0.00905710,0.60333829,0.19907534,,,,,0.39607374,0.09931822
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,QQQ<SMA200,0.01637366,0.22713285,0.01631592,0.22713641,104513.34402235,53500.00000000,51013.34402235,0.95352045,0.16332784,0.15286695,0.82049104,0.21262628,1.13459103,0.62778574,-0.26016495,366,2023,0.33029253,2022,-0.08383174,1228806.55159151,462.82437191,1.64744494,0.00865092,0.61930622,0.19907534,,,,,0.38018015,0.04614148
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=1.00,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,VIX/VIX3M@1>=1.00,0.00643655,0.41239292,0.00635259,0.41269263,108905.62616417,53500.00000000,55405.62616417,1.03561918,0.18082236,0.16222272,0.89675283,0.21081225,1.24453259,0.69496220,-0.26019021,366,2023,0.45328173,2022,-0.15792881,1327919.39272297,500.50175935,1.70653473,0.00935517,0.60937516,0.19963859,,,,,0.39010236,0.00000000
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,QQQ<SMA200|VIX/VIX3M@1>=1.00,0.02101173,0.41239292,0.02094012,0.41269263,107671.02615618,53500.00000000,54171.02615618,1.01254254,0.17944299,0.15963124,0.88680166,0.21218626,1.22903637,0.68966081,-0.26019021,366,2019,0.40904897,2022,-0.08403052,1282608.67114057,484.84134847,1.65402751,0.00906246,0.62401173,0.19963859,,,,,0.37547855,0.00000000
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,0.02544341,0.27327477,0.02539834,0.27327789,101142.97283066,53500.00000000,47642.97283066,0.89052286,0.17291074,0.14541971,0.83554904,0.22075390,1.16143149,0.51170222,-0.33791281,940,2019,0.40904897,2026,0.01013832,1528679.72216702,577.14936656,1.95905902,0.01078784,0.65335748,0.19963859,,,,,0.34616195,0.00000000
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,0.01710753,0.22727120,0.01702741,0.22727479,104086.21257480,53500.00000000,50586.21257480,0.94553668,0.16178974,0.15193645,0.81425291,0.21262495,1.12548594,0.62185253,-0.26017381,366,2023,0.33026207,2022,-0.08346372,1224009.53763230,461.31411519,1.64926215,0.00862269,0.62001592,0.19907534,,,,,0.37944325,0.04600311
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,0.02323098,0.24328204,0.02317801,0.24328942,100600.79173400,53500.00000000,47100.79173400,0.88038863,0.14851687,0.14419872,0.76075007,0.21234974,1.04845815,0.57126966,-0.25997681,366,2023,0.33013407,2022,-0.08302047,1162205.18389017,438.41127278,1.63223349,0.00819460,0.62623589,0.19939639,,,,,0.37325200,0.04567772
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,,0.00077239,0.00314094,0.00043732,0.00184310,118085.48467427,53500.00000000,64585.48467427,1.20720532,0.18940997,0.18062940,0.91243385,0.21650283,1.26327454,0.94087693,-0.20131217,439,2023,0.46446474,2022,-0.15313977,1376206.91172406,454.30188487,1.72824824,0.00849162,0.45246945,0.14955055,0.15061388,0.04900583,,,0.39609923,0.09916690
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200,0.01681587,0.22732631,0.01653893,0.22732793,117090.36747222,53500.00000000,63590.36747222,1.18860500,0.18850567,0.17870341,0.91322375,0.21516669,1.26124687,0.93722857,-0.20113095,324,2023,0.34348124,2022,-0.07938807,1319068.54569571,436.40760487,1.65985948,0.00815715,0.46461710,0.14955055,0.15463084,0.04900583,,,0.37994678,0.04594996
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=1.00,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,VIX/VIX3M@1>=1.00,0.00666853,0.41243689,0.00636776,0.41269263,121516.87316430,53500.00000000,68016.87316430,1.27134342,0.20485757,0.18715069,0.97865603,0.21468152,1.35671566,1.01868910,-0.20109921,324,2023,0.46437093,2022,-0.15566329,1418209.14257737,469.51036035,1.71767580,0.00877589,0.45698053,0.14943157,0.15210128,0.04968393,,,0.39013468,0.00000000
