label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,0.00109109,0.00317724,0.00062496,0.00156580,78920.52561212,44000.00000000,34920.52561212,0.79364831,0.16334394,0.16850575,0.85552745,0.20159346,1.19772623,0.83611567,-0.19536046,448,2023,0.47539089,2022,-0.14196050,794427.99490181,298.00409494,1.77125037,0.00677282,0.44993570,0.14979190,,,0.14961710,0.04969227,,,0.39930299,0.13807806
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,0.02225794,0.23271777,0.02193891,0.23272372,78273.52490042,44000.00000000,34273.52490042,0.77894375,0.16309589,0.16610206,0.85688429,0.20085588,1.19472245,0.85557947,-0.19062623,169,2023,0.35127130,2022,-0.06171072,763850.58088798,288.39364768,1.70692879,0.00655440,0.46603286,0.14976209,,,0.15499201,0.04972690,,,0.37794007,0.04055417
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=1.00,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,VIX/VIX3M@1>=1.00,0.00273506,0.06462856,0.00228032,0.06463253,78862.56935354,44000.00000000,34862.56935354,0.79233112,0.16288623,0.16829119,0.85814182,0.20019007,1.20053362,0.85447961,-0.19062623,169,2023,0.47535943,2022,-0.14474099,783394.13130656,294.20896864,1.74876241,0.00668657,0.45118949,0.14979190,,,0.15001149,0.04972920,,,0.39766369,0.13850985
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200|VIX/VIX3M@1>=1.00,0.02225794,0.23271777,0.02193891,0.23272372,78273.52490042,44000.00000000,34273.52490042,0.77894375,0.16309589,0.16610206,0.85688429,0.20085588,1.19472245,0.85557947,-0.19062623,169,2023,0.35127130,2022,-0.06171072,763850.58088798,288.39364768,1.70692879,0.00655440,0.46603286,0.14976209,,,0.15499201,0.04972690,,,0.37794007,0.04055417
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,0.03279851,0.27327240,0.03245322,0.27327789,74165.61448847,44000.00000000,30165.61448847,0.68558215,0.15818100,0.15038977,0.80923494,0.20965370,1.13083102,0.63425482,-0.24939661,,2023,0.32923408,2020,0.02308204,897773.26838471,338.61324861,1.98679017,0.00769576,0.48409116,0.14979190,,,0.16100528,0.04968222,,,0.35386018,0.00000000
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,0.02225794,0.23271777,0.02193891,0.23272372,78273.52490042,44000.00000000,34273.52490042,0.77894375,0.16309589,0.16610206,0.85688429,0.20085588,1.19472245,0.85557947,-0.19062623,169,2023,0.35127130,2022,-0.06171072,763850.58088798,288.39364768,1.70692879,0.00655440,0.46603286,0.14976209,,,0.15499201,0.04972690,,,0.37794007,0.04055417
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,0.02225927,0.23271777,0.02194013,0.23272372,78274.27006250,44000.00000000,34274.27006250,0.77896068,0.16309832,0.16610484,0.85689743,0.20085506,1.19474072,0.85559222,-0.19062623,169,2023,0.35127130,2022,-0.06171072,763888.19548592,288.41621644,1.70700146,0.00655491,0.46603633,0.14976027,,,0.15499142,0.04972634,,,0.37793838,0.04055417
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,,0.00115551,0.00359694,0.00066413,0.00173904,79511.54899064,44000.00000000,35511.54899064,0.80708066,0.16381400,0.17068535,0.84688652,0.20494004,1.18572558,0.81377033,-0.20130250,439,2023,0.46407973,2022,-0.15271034,797030.98481898,263.26685826,1.77438236,0.00598334,0.44993110,0.14872668,0.14965469,0.04898819,,,,,0.39921190,0.13842966
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200,0.02236651,0.23271690,0.02196205,0.23272072,78911.46434901,44000.00000000,34911.46434901,0.79344237,0.16370187,0.16847221,0.85129310,0.20339990,1.18785335,0.85850518,-0.19068245,167,2023,0.34071490,2022,-0.07342515,766971.71583606,254.24209466,1.71127690,0.00577823,0.46595248,0.14872668,0.15499753,0.04898819,,,,,0.37788537,0.04055717
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=1.00,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,VIX/VIX3M@1>=1.00,0.00276194,0.06381627,0.00227342,0.06381950,79463.30098014,44000.00000000,35463.30098014,0.80598411,0.16337090,0.17050799,0.84959379,0.20348777,1.18843892,0.85676949,-0.19068245,167,2023,0.46412676,2022,-0.15564375,787130.81033626,259.89255949,1.75434036,0.00590665,0.45117193,0.14872668,0.15008121,0.04898819,,,,,0.39758920,0.13803857
