label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.gate.ratio_sma,params.gate.fire,params.gate.hysteresis,params.gate.w_off,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=0.90,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1,0.90000000,0.00000000,,0.02618916,0.35511451,0.02619512,0.35511528,573341.22889641,97500.00000000,475841.22889641,4.88042286,0.20868696,0.19824513,0.91895037,0.23771047,1.27561041,0.58728376,-0.35534264,691,2017,0.58816880,2022,-0.33345061,4570950.34808748,1724.14095121,0.83280949,0.01768350,0.49950359,0.39900717,,,0.50029810,0.13574507
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=0.90 off30,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1,0.90000000,0.00000000,0.30000000,0.00882928,0.16443558,0.00884633,0.16443643,403028.46631890,97500.00000000,305528.46631890,3.13362530,0.15975890,0.16069337,0.81009177,0.21106162,1.12101944,0.45039239,-0.35471047,739,2017,0.55654833,2022,-0.33348319,5490896.86533747,2067.37705843,1.34465288,0.02120387,0.56546681,0.39878148,,,0.43428795,0.13556357
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=0.90 off0,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1,0.90000000,0.00000000,0.00000000,0.00032097,0.00175383,0.00037533,0.00190927,169047.53298230,97500.00000000,71547.53298230,0.73382085,0.05338405,0.06521608,0.34917831,0.21709513,0.48092261,0.12510993,-0.42669714,1400,2017,0.52486852,2022,-0.27734575,5849607.60690499,2201.78253791,2.60599788,0.02258239,0.68688792,0.39873990,,,0.31270778,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=0.90<0.85,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1,0.90000000,0.05000000,,0.04494049,0.39994976,0.04494693,0.39995053,444098.10370780,97500.00000000,346598.10370780,3.55485235,0.18443769,0.17106825,0.84594410,0.23284173,1.16870545,0.57126752,-0.32285696,750,2017,0.58816139,2022,-0.27972017,3615520.70577257,1367.33097390,0.76424844,0.01402391,0.51827540,0.39900717,,,0.48152950,0.10212761
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=0.90<0.85 off30,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1,0.90000000,0.05000000,0.30000000,0.01997591,0.19844034,0.01999028,0.19844128,324468.54579748,97500.00000000,226968.54579748,2.32788252,0.14280923,0.13736763,0.77008365,0.19986028,1.06113294,0.44335583,-0.32210973,746,2017,0.55655279,2022,-0.27949528,4656605.85780140,1756.41359218,1.27284072,0.01801450,0.60439519,0.39878148,,,0.39535568,0.10155872
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=0.90<0.85 off0,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1,0.90000000,0.05000000,0.00000000,0.00031782,0.00175383,0.00036657,0.00190927,136393.96659968,97500.00000000,38893.96659968,0.39891248,0.03791314,0.04041909,0.28281690,0.21084202,0.38905394,0.09148998,-0.41439658,,2017,0.52488827,2022,-0.17700260,4806308.30331134,1812.45386713,2.47775347,0.01858927,0.75366839,0.39873990,,,0.24593718,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=0.90<0.80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1,0.90000000,0.10000000,,0.09177413,0.59998444,0.09178096,0.60000000,360768.83020288,97500.00000000,263268.83020288,2.70019313,0.15381913,0.14880453,0.77933202,0.21343915,1.07812823,0.56166036,-0.27386504,793,2017,0.58816054,2022,-0.21745728,2155684.00470009,826.10624700,0.47984988,0.00847288,0.56517163,0.39850271,,,0.43465668,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=0.90<0.80 off30,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1,0.90000000,0.10000000,0.30000000,0.03411545,0.29998444,0.03412903,0.30000000,251719.12212149,97500.00000000,154219.12212149,1.58173459,0.11134154,0.10971067,0.70827946,0.16988848,0.98087070,0.36576905,-0.30440394,1855,2017,0.52405705,2022,-0.21682311,2765480.17095071,1053.98532403,0.80401045,0.01081011,0.67264561,0.39850271,,,0.32712956,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=0.90<0.80 off0,full,full,2012-01-03,2026-08-20,false,false,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1,0.90000000,0.10000000,0.00000000,0.00027829,0.00149501,0.00031526,0.00171971,97413.91274926,97500.00000000,-86.08725074,-0.00088295,0.01049614,-0.00010958,0.15015958,0.18880405,0.20804542,0.01850916,-0.56707780,,2017,0.46128441,2020,-0.23628865,2757873.08203661,1051.08807212,1.39400938,0.01078039,0.87080906,0.39850271,,,0.12886469,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=0.95,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,1,0.95000000,0.00000000,,0.00792025,0.15702919,0.00792762,0.15703157,732892.93526672,97500.00000000,635392.93526672,6.51685062,0.23607510,0.22425642,0.99216707,0.24447336,1.38228524,0.66693675,-0.35396924,687,2013,0.60863903,2022,-0.33199937,6130715.93935797,2305.92293559,0.89613485,0.02365049,0.48123260,0.39900717,,,0.51858500,0.14916501
