label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.score,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.SCZ.avg,exposure.SCZ.min,exposure.SPY.avg,exposure.SPY.min,exposure.TIP.avg,exposure.TIP.min,exposure.TLT.avg,exposure.TLT.min
ROT SPY+SCZ top1 1-3U fb best(TIP+TLT@1M),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3U,0.00145666,0.00513569,0.00155374,0.00513632,226427.74795262,97500.00000000,128927.74795262,1.32233588,0.09560754,0.09791810,0.71448357,0.14235489,0.99827476,0.42440694,-0.22527327,767,2017,0.27056743,2022,-0.15232346,13755154.20530329,3144.83232868,5.30353637,0.03225469,0.33497487,0.00000000,0.48749157,0.00000000,0.09651885,0.00000000,0.07946097,0.00000000
ROT SPY+SCZ top1 1-3-6U fb best(TIP+TLT@1M),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6U,0.00139365,0.00887397,0.00146334,0.00887535,237672.36484234,97500.00000000,140172.36484234,1.43766528,0.10780442,0.10327048,0.78794622,0.14336152,1.09673877,0.41819049,-0.25778782,1116,2020,0.28859262,2022,-0.23660064,11251118.83514640,2545.76684825,3.90910863,0.02611043,0.32936884,0.00000000,0.54426499,0.00000000,0.06246102,0.00000000,0.06244181,0.00000000
ROT SPY+SCZ top1 1-3-6-12U fb best(TIP+TLT@1M),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,0.00150263,0.00887397,0.00155755,0.00887535,277082.68016746,97500.00000000,179582.68016746,1.84187364,0.11550110,0.12008555,0.82021057,0.14679138,1.14707726,0.46589855,-0.24791041,892,2020,0.32866848,2022,-0.22680515,7368679.42719538,1682.88148204,2.62622485,0.01726032,0.30095422,0.00000000,0.58394993,0.00000000,0.05110333,0.00000000,0.06243497,0.00000000
SPY60/TLT40,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00315296,0.01325508,0.00233989,0.00779943,200977.03031885,97500.00000000,103477.03031885,1.06130288,0.08937346,0.08465599,0.88768140,0.10262751,1.25274228,0.32214226,-0.27743475,994,2019,0.24528174,2022,-0.23480171,313189.51650512,26.87325568,0.12089247,0.00027562,,,0.59781987,0.59220057,,,0.39902601,0.39374228
EW SPY/SCZ/TIP/TLT,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00474748,0.01751251,0.00256463,0.00892687,162564.67817525,97500.00000000,65064.67817525,0.66733003,0.06433790,0.06067410,0.77281723,0.08564513,1.08101847,0.23988919,-0.26819842,1373,2019,0.19343389,2022,-0.20979921,282340.89962052,60.36269023,0.12815408,0.00061910,0.24956022,0.24780193,0.24769129,0.24107313,0.24904525,0.24200033,0.24895277,0.24419267
SPY benchmark,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00165763,0.00887397,0.00165813,0.00887535,353051.02493906,97500.00000000,255551.02493906,2.62103615,0.14643292,0.14631590,0.91192795,0.16527492,1.29098146,0.43404677,-0.33736669,173,2013,0.31819168,2022,-0.18365542,97233.05567962,6.80631390,0.02779235,0.00006981,,,0.99834187,0.99112465,,,,
ROT SPY+SCZ top1 1-3U fb best(TIP+TLT@1M),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3U,0.00149483,0.00513569,0.00158629,0.00513632,119322.25014632,75500.00000000,43822.25014632,0.58042715,0.07859853,0.07134122,0.59779647,0.14412062,0.82998103,0.34890304,-0.22527327,,2017,0.27056743,2022,-0.15232182,7076620.97454912,1457.26013182,5.17764719,0.01930146,0.32547524,0.00000000,0.46857985,0.00000000,0.09841066,0.00000000,0.10594796,0.00000000
ROT SPY+SCZ top1 1-3-6U fb best(TIP+TLT@1M),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6U,0.00148973,0.00887397,0.00155963,0.00887535,131358.49573450,75500.00000000,55858.49573450,0.73984763,0.09837508,0.08590059,0.71918822,0.14534182,0.99649382,0.38161258,-0.25778782,,2020,0.28859262,2022,-0.23659915,6931268.30292351,1440.58971665,4.45706006,0.01908066,0.32555704,0.00000000,0.52905870,0.00000000,0.06056889,0.00000000,0.08325574,0.00000000
ROT SPY+SCZ top1 1-3-6-12U fb best(TIP+TLT@1M),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,0.00157779,0.00887397,0.00163111,0.00887535,123064.21187814,75500.00000000,47564.21187814,0.62998956,0.08682205,0.07603173,0.63457853,0.14884798,0.87759433,0.37004801,-0.23462374,,2020,0.32866848,2022,-0.22657268,4302448.74029223,794.49907218,2.97432183,0.01052317,0.29524513,0.00000000,0.56687794,0.00000000,0.05299919,0.00000000,0.08324662,0.00000000
SPY60/TLT40,fit,fit,2012-01-03,2022-12-30,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00351881,0.01325508,0.00251605,0.00779943,114472.67775248,75500.00000000,38972.67775248,0.51619441,0.07886917,0.06501864,0.81374722,0.09947812,1.12669606,0.28428007,-0.27743475,,2019,0.24528174,2022,-0.23480073,208723.93442794,17.85821142,0.14452454,0.00023653,,,0.59769482,0.59220057,,,0.39878502,0.39374228
