label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.score,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.SCZ.avg,exposure.SCZ.min,exposure.SPY.avg,exposure.SPY.min,exposure.TIP.avg,exposure.TIP.min,exposure.TLT.avg,exposure.TLT.min
ROT SPY+SCZ top1 1-3U fb best(TIP+TLT@1M),full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3U,0.00075587,0.00503303,0.00085582,0.00503523,398310.05658743,118500.00000000,279810.05658743,2.36126630,0.12809347,0.11190025,0.84929122,0.15670379,1.21571087,0.56817093,-0.22544884,767,2008,0.32302872,2022,-0.15235229,28918034.65148491,6596.50529521,5.30463175,0.05566671,0.34387675,0.00000000,0.44446480,0.00000000,0.08708608,0.00000000,0.12371655,0.00000000
ROT SPY+SCZ top1 1-3-6U fb best(TIP+TLT@1M),full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6U,0.00070704,0.00503303,0.00077796,0.00503523,426859.43964817,118500.00000000,308359.43964817,2.60218936,0.13379430,0.11785334,0.87565391,0.15799367,1.24710021,0.51837524,-0.25810317,1116,2008,0.32302872,2022,-0.23690777,23549760.97612153,5288.45630615,3.89435001,0.04462832,0.34391346,0.00000000,0.47660702,0.00000000,0.05958645,0.00000000,0.11911512,0.00000000
SPY60/TLT40,full,full,2008-07-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00193416,0.00977121,0.00142715,0.00806153,302753.86937212,118500.00000000,184253.86937212,1.55488497,0.08519523,0.08799684,0.78168507,0.11298099,1.11319416,0.30692298,-0.27757853,994,2019,0.24503085,2022,-0.23481271,545772.65541686,46.67850907,0.12106269,0.00039391,,,0.59868271,0.59193847,,,0.39938193,0.39461469
EW SPY/SCZ/TIP/TLT,full,full,2008-07-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00337401,0.02088358,0.00171104,0.00915056,230986.36561231,118500.00000000,112486.36561231,0.94925203,0.06206792,0.06380123,0.67847628,0.09569313,0.95601773,0.22610360,-0.27451098,624,2019,0.19402850,2022,-0.20975784,465382.79744739,100.39082780,0.12576194,0.00084718,0.24968261,0.24767708,0.24855264,0.24084944,0.24918951,0.24398397,0.24919811,0.24376404
SPY benchmark,full,full,2008-07-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00116426,0.00737715,0.00116472,0.00737881,546212.30855534,118500.00000000,427712.30855534,3.60938657,0.12033077,0.13885120,0.67600259,0.19723966,0.95579738,0.25513316,-0.47163908,861,2013,0.31884220,2008,-0.28800229,118234.48610020,8.27641403,0.01979425,0.00006984,,,0.99883528,0.99262119,,,,
ROT SPY+SCZ top1 1-3U fb best(TIP+TLT@1M),fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3U,0.00079436,0.00503303,0.00089078,0.00503523,222958.53433647,96500.00000000,126458.53433647,1.31045113,0.12299721,0.09824107,0.80060867,0.16127613,1.14657819,0.54556596,-0.22544884,,2008,0.32302872,2022,-0.15235131,16899661.57986252,3561.66853828,5.21090835,0.03690848,0.33891344,0.00000000,0.41906491,0.00000000,0.08612967,0.00000000,0.15500119,0.00000000
ROT SPY+SCZ top1 1-3-6U fb best(TIP+TLT@1M),fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6U,0.00071614,0.00503303,0.00078754,0.00503523,249864.36421014,96500.00000000,153364.36421014,1.58926802,0.13305993,0.11092133,0.84962051,0.16277583,1.21160752,0.51552999,-0.25810317,,2008,0.32302872,2022,-0.23690699,15630474.34626344,3264.25004480,4.31968026,0.03382643,0.34469378,0.00000000,0.44786164,0.00000000,0.05742087,0.00000000,0.14923618,0.00000000
SPY60/TLT40,fit,fit,2008-07-01,2022-12-30,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00208930,0.00977121,0.00150167,0.00806153,181341.63354102,96500.00000000,84841.63354102,0.87918791,0.07618214,0.07493055,0.70519098,0.11329787,0.99498947,0.27445255,-0.27757853,,2019,0.24503085,2022,-0.23481165,382650.18445931,32.70347380,0.13927535,0.00033890,,,0.59863384,0.59193847,,,0.39927552,0.39461469
EW SPY/SCZ/TIP/TLT,fit,fit,2008-07-01,2022-12-30,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00370972,0.02088358,0.00179409,0.00915056,146833.31698367,96500.00000000,50333.31698367,0.52158878,0.05383877,0.05059045,0.59030732,0.09685344,0.82381898,0.19612612,-0.27451098,624,2019,0.19402850,2022,-0.20975525,325897.43835001,70.25564908,0.13900513,0.00072804,0.24964613,0.24767708,0.24852760,0.24084944,0.24905879,0.24398397,0.24905432,0.24376404
SPY benchmark,fit,fit,2008-07-01,2022-12-30,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00126659,0.00737715,0.00126716,0.00737881,248181.16385159,96500.00000000,151681.16385159,1.57182553,0.09631886,0.11017208,0.54772181,0.20730384,0.76859979,0.20422155,-0.47163908,861,2013,0.31884220,2008,-0.28800229,96483.37162481,6.75383601,0.03056705,0.00006999,,,0.99873284,0.99262119,,,,
