label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.k,params.score,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.DBC.avg,exposure.DBC.min,exposure.IEF.avg,exposure.IEF.min,exposure.IWM.avg,exposure.IWM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TLT.avg,exposure.TLT.min,exposure.VEA.avg,exposure.VEA.min,exposure.VNQ.avg,exposure.VNQ.min,exposure.VWO.avg,exposure.VWO.min
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top3 1-3-6-12U can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,3,1-3-6-12U,0.00240717,0.01297063,0.00167127,0.00727216,231448.17586060,97500.00000000,133948.17586060,1.37382744,0.08840551,0.10034249,0.87766851,0.10280535,1.24065880,0.44487712,-0.19871895,283,2020,0.24402534,2015,-0.05769429,10358251.54729135,1315.83499455,4.04138769,0.01349574,0.24412466,0.00000000,0.04354985,0.00000000,0.11527585,0.00000000,0.10191520,0.00000000,0.15810360,0.00000000,0.06788873,0.00000000,0.07569532,0.00000000,0.10584312,0.00000000,0.08515347,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top3 13612W can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,3,13612W,0.00226271,0.01209336,0.00161945,0.00678287,168606.40196380,97500.00000000,71106.40196380,0.72929643,0.06814334,0.06483965,0.70755911,0.10056445,0.99968593,0.26677127,-0.25543734,1261,2020,0.25966818,2024,-0.10314321,14682835.59413864,1880.77136284,6.39946377,0.01928996,0.28192956,0.00000000,0.04922389,0.00000000,0.10774187,0.00000000,0.10374852,0.00000000,0.12794180,0.00000000,0.05848704,0.00000000,0.07758260,0.00000000,0.09452310,0.00000000,0.09649086,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top3 12M can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,3,12M,0.00273082,0.01262103,0.00187307,0.00742805,208243.98907434,97500.00000000,110743.98907434,1.13583579,0.08040327,0.08862158,0.80960136,0.10223614,1.12572676,0.41816426,-0.19227677,235,2021,0.21215053,2015,-0.00116724,5585914.94572458,696.27908045,2.40947188,0.00714132,0.24412249,0.00000000,0.04354531,0.00000000,0.11518753,0.00000000,0.09435422,0.00000000,0.15990160,0.00000000,0.08485430,0.00000000,0.06245041,0.00000000,0.11524624,0.00000000,0.07758050,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top4 1-3-6-12U can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,4,1-3-6-12U,0.00304715,0.01627992,0.00179833,0.00655232,227548.94870007,97500.00000000,130048.94870007,1.33383537,0.09127781,0.09846454,0.97309824,0.09460807,1.37152828,0.62591852,-0.14583017,226,2021,0.23470508,2015,-0.03352553,9017597.08166460,1181.82455579,3.47299992,0.01212128,0.24555677,0.00000000,0.04543765,0.00000000,0.13323933,0.00000000,0.10884154,0.00000000,0.13944607,0.00000000,0.06064868,0.00000000,0.08371507,0.00000000,0.09205606,0.00000000,0.08797246,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top4 13612W can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,4,13612W,0.00299116,0.01308091,0.00188178,0.00768585,162919.72263439,97500.00000000,65419.72263439,0.67097151,0.06326145,0.06092364,0.70601997,0.09327852,0.98871869,0.30412211,-0.20801332,1515,2020,0.23432675,2024,-0.07039716,12984008.56511723,1671.64870422,5.80824478,0.01714511,0.28530480,0.00000000,0.05252568,0.00000000,0.11908532,0.00000000,0.10171842,0.00000000,0.12373916,0.00000000,0.05936421,0.00000000,0.08937496,0.00000000,0.07790591,0.00000000,0.08792732,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top4 12M can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,4,12M,0.00325770,0.02055819,0.00189213,0.00892885,207096.41253503,97500.00000000,109596.41253503,1.12406577,0.08062115,0.08800550,0.83743507,0.09865318,1.15993047,0.45743260,-0.17624706,326,2026,0.19590125,2022,-0.02123986,4916574.79672805,636.67017625,2.17282119,0.00652995,0.24554132,0.00000000,0.04117857,0.00000000,0.12749126,0.00000000,0.09753095,0.00000000,0.15490107,0.00000000,0.06636473,0.00000000,0.07377803,0.00000000,0.10054099,0.00000000,0.08939059,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top5 1-3-6-12U can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,5,1-3-6-12U,0.00374394,0.02333454,0.00201922,0.00950867,220162.84003895,97500.00000000,122662.84003895,1.25808041,0.08544278,0.09480975,0.95463664,0.09039523,1.34958227,0.59096653,-0.14458143,256,2021,0.21176353,2015,-0.01108662,7417451.23051488,942.32795544,2.99012344,0.00966490,0.24752280,0.00000000,0.05337566,0.00000000,0.13932357,0.00000000,0.10726649,0.00000000,0.12813305,0.00000000,0.05982964,0.00000000,0.08964272,0.00000000,0.08829275,0.00000000,0.08283466,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top5 13612W can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,5,13612W,0.00368931,0.02553322,0.00208949,0.00881196,164022.74532206,97500.00000000,66522.74532206,0.68228457,0.06223670,0.06169504,0.74619665,0.08609601,1.04391762,0.40295898,-0.15444923,1469,2020,0.22079067,2022,-0.04613459,11983812.93868866,1512.50334072,5.44367596,0.01551285,0.28951404,0.00000000,0.06017202,0.00000000,0.13600150,0.00000000,0.09486192,0.00000000,0.10988092,0.00000000,0.06209857,0.00000000,0.08963017,0.00000000,0.07698536,0.00000000,0.07710701,0.00000000
ROT SPY+IWM+VEA+VWO+VNQ+DBC+IEF+TLT top5 12M can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,5,12M,0.00391323,0.01993381,0.00219826,0.00746046,185389.66705508,97500.00000000,87889.66705508,0.90143248,0.06929828,0.07559200,0.76812633,0.09312255,1.04535897,0.32205390,-0.21517604,454,2026,0.20804275,2020,-0.03793295,4550117.42218970,586.19360682,2.15735582,0.00601224,0.24977397,0.00000000,0.04770132,0.00000000,0.15181581,0.00000000,0.09036133,0.00000000,0.13245020,0.00000000,0.06203855,0.00000000,0.08509223,0.00000000,0.08945533,0.00000000,0.08737290,0.00000000
SPY12.5/IWM12.5/VEA12.5/VWO12.5/VNQ12.5/DBC12.5/IEF12.5/TLT12.5,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00723039,0.02604444,0.00272503,0.00827485,177895.82964882,97500.00000000,80395.82964882,0.82457261,0.06686675,0.07093030,0.65072067,0.10886792,0.89897971,0.26799135,-0.24951084,195,2019,0.20173822,2022,-0.16134303,326196.39392009,50.66288893,0.15072591,0.00051962,,,0.12480790,0.12302805,0.12397291,0.11807057,0.12370298,0.12064159,0.12277276,0.11672515,0.12385316,0.11824255,0.12462684,0.12354171,0.12437260,0.12203077,0.12465808,0.12264666
