label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.k,params.canary.score,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.AGG.avg,exposure.AGG.min,exposure.BIL.avg,exposure.BIL.min,exposure.DBC.avg,exposure.DBC.min,exposure.EWJ.avg,exposure.EWJ.min,exposure.GLD.avg,exposure.GLD.min,exposure.HYG.avg,exposure.HYG.min,exposure.IEF.avg,exposure.IEF.min,exposure.IWM.avg,exposure.IWM.min,exposure.LQD.avg,exposure.LQD.min,exposure.QQQ.avg,exposure.QQQ.min,exposure.SPY.avg,exposure.SPY.min,exposure.TIP.avg,exposure.TIP.min,exposure.TLT.avg,exposure.TLT.min,exposure.VGK.avg,exposure.VGK.min,exposure.VNQ.avg,exposure.VNQ.min,exposure.VWO.avg,exposure.VWO.min
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top5 gap13M all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,5,13612W,0.00376974,0.02245619,0.00187969,0.00949015,162648.30887118,97500.00000000,65148.30887118,0.66818778,0.06446418,0.06073293,0.72714203,0.09196284,1.00646345,0.47155402,-0.13670582,1293,2020,0.17018769,2015,-0.02898377,12941899.11990613,1747.20634340,5.60549949,0.01792007,0.02831777,0.00000000,0.22519511,0.00000000,0.08329959,0.00000000,0.03515926,0.00000000,0.04178397,0.00000000,0.01016468,0.00000000,0.06605813,0.00000000,0.04290209,0.00000000,0.07884309,0.00000000,0.06763318,0.00000000,0.06619242,0.00000000,0.04722590,0.00000000,0.08549277,0.00000000,0.04195099,0.00000000,0.03624420,0.00000000,0.03970592,0.00000000
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top5 gap13M all can SPY+VEA+VWO+BND/1@1-3-6-12U fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,5,1-3-6-12U,0.00373644,0.02380945,0.00189732,0.00924715,203226.75146694,97500.00000000,105726.75146694,1.08437694,0.07985995,0.08590020,0.87387957,0.09312039,1.22243737,0.57856961,-0.13802998,185,2020,0.17417659,2015,-0.01746929,10122966.00259244,1408.91657610,4.12117355,0.01445043,0.02452723,0.00000000,0.22894024,0.00000000,0.08253943,0.00000000,0.04309784,0.00000000,0.04182883,0.00000000,0.00791760,0.00000000,0.06409950,0.00000000,0.04289161,0.00000000,0.06863805,0.00000000,0.07550497,0.00000000,0.06738675,0.00000000,0.04155751,0.00000000,0.08255106,0.00000000,0.04419749,0.00000000,0.03172428,0.00000000,0.04881182,0.00000000
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top6 gap13M all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,6,13612W,0.00430851,0.02883317,0.00198367,0.01063983,173840.16369101,97500.00000000,76340.16369101,0.78297604,0.06886282,0.06831574,0.79979400,0.08837306,1.11281745,0.48561707,-0.14180478,1281,2020,0.16250575,2015,-0.02905726,12419547.22831605,1679.53246039,5.40896874,0.01722597,0.02831844,0.00000000,0.22516230,0.00000000,0.08614726,0.00000000,0.03873290,0.00000000,0.03751539,0.00000000,0.02258957,0.00000000,0.06605551,0.00000000,0.04511355,0.00000000,0.08009685,0.00000000,0.06087334,0.00000000,0.06067112,0.00000000,0.04724226,0.00000000,0.08287437,0.00000000,0.04250670,0.00000000,0.03392587,0.00000000,0.03780686,0.00000000
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top6 gap13M all can SPY+VEA+VWO+BND/1@1-3-6-12U fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,6,1-3-6-12U,0.00400290,0.02590998,0.00186141,0.00968941,219604.81934555,97500.00000000,122104.81934555,1.25235712,0.08525541,0.09452824,0.95416367,0.09024579,1.34273953,0.62330528,-0.13677954,185,2020,0.17606082,2015,-0.01244978,9461868.38678751,1310.77331171,3.85732726,0.01344383,0.02456126,0.00000000,0.22893895,0.00000000,0.08518069,0.00000000,0.04725055,0.00000000,0.03762148,0.00000000,0.01415053,0.00000000,0.06410120,0.00000000,0.04980807,0.00000000,0.07065118,0.00000000,0.06570219,0.00000000,0.06362882,0.00000000,0.04153060,0.00000000,0.08005134,0.00000000,0.04438781,0.00000000,0.03299363,0.00000000,0.04539173,0.00000000
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top7 gap13M all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,7,13612W,0.00455329,0.03078575,0.00207483,0.01585058,170176.84741688,97500.00000000,72676.84741688,0.74540356,0.06691704,0.06589516,0.79622861,0.08623898,1.11028289,0.46117302,-0.14510182,1306,2020,0.16299366,2015,-0.02895209,12230933.51412672,1668.20775789,5.30219061,0.01710982,0.02832233,0.00000000,0.22515104,0.00000000,0.08815216,0.00000000,0.03886807,0.00000000,0.03363173,0.00000000,0.03151133,0.00000000,0.06602228,0.00000000,0.04351684,0.00000000,0.08666974,0.00000000,0.05467231,0.00000000,0.05824377,0.00000000,0.04720372,0.00000000,0.08338549,0.00000000,0.03966598,0.00000000,0.03228905,0.00000000,0.03808266,0.00000000
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top7 gap13M all can SPY+VEA+VWO+BND/1@1-3-6-12U fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,7,1-3-6-12U,0.00455954,0.02902210,0.00196288,0.00860317,213676.81960288,97500.00000000,116176.81960288,1.19155712,0.08261270,0.09148883,0.95488100,0.08734716,1.34535152,0.57563411,-0.14351600,185,2020,0.15833833,2015,-0.01596676,9084400.22756474,1270.78204978,3.72153544,0.01303366,0.02453276,0.00000000,0.22893596,0.00000000,0.08788590,0.00000000,0.04534323,0.00000000,0.03376356,0.00000000,0.02582787,0.00000000,0.06410749,0.00000000,0.04666597,0.00000000,0.08020198,0.00000000,0.05788459,0.00000000,0.05995329,0.00000000,0.04152051,0.00000000,0.08065213,0.00000000,0.04286723,0.00000000,0.03150538,0.00000000,0.04374694,0.00000000
EW-12,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.01143614,0.04528831,0.00302750,0.01284538,202950.85517422,97500.00000000,105450.85517422,1.08154723,0.07942640,0.08574843,0.75686331,0.10914104,1.05546372,0.32577014,-0.24381118,161,2019,0.21755278,2022,-0.16281981,352884.22649100,53.28883693,0.15247931,0.00054655,,,,,0.08312386,0.08151462,0.08284779,0.08114131,0.08169718,0.07048796,0.08268250,0.07985509,,,0.08211753,0.07893284,0.08242976,0.07770677,0.08181799,0.07947530,0.08102139,0.07476542,,,0.08214908,0.07601307,0.08293380,0.08148734,0.08276153,0.08020133,0.08297909,0.08099800
ROT SPY top1 1-3-6-12U can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00146525,0.00887397,0.00148633,0.00887535,325114.34203370,97500.00000000,227614.34203370,2.33450607,0.12982449,0.13743004,1.19676035,0.10707235,1.69942747,0.96685472,-0.13427507,107,2021,0.28424573,2022,-0.00680651,8691390.06628179,744.42477629,2.61798579,0.00763513,,,0.24983617,0.00000000,,,,,,,,,0.09651349,0.00000000,,,,,,,0.65216401,0.00000000,,,,,,,,,,
SPY benchmark,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00165763,0.00887397,0.00165813,0.00887535,353051.02493906,97500.00000000,255551.02493906,2.62103615,0.14643292,0.14631590,0.91192795,0.16527492,1.29098146,0.43404677,-0.33736669,173,2013,0.31819168,2022,-0.18365542,97233.05567962,6.80631390,0.02779235,0.00006981,,,,,,,,,,,,,,,,,,,,,0.99834187,0.99112465,,,,,,,,,,
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top5 gap13M all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,5,13612W,0.00409331,0.02245619,0.00202843,0.00949015,122068.39943434,75500.00000000,46568.39943434,0.61679999,0.07443278,0.07479875,0.87600024,0.08629540,1.22070845,0.59975564,-0.12410518,120,2020,0.17018769,2015,-0.02898377,5743308.85639091,801.42468784,4.39466083,0.01061490,0.03018795,0.00000000,0.20182144,0.00000000,0.09541700,0.00000000,0.02266329,0.00000000,0.02253343,0.00000000,0.01203838,0.00000000,0.08303178,0.00000000,0.03607293,0.00000000,0.09250915,0.00000000,0.05714371,0.00000000,0.06427524,0.00000000,0.05539956,0.00000000,0.11399036,0.00000000,0.03625899,0.00000000,0.03924791,0.00000000,0.03326033,0.00000000
