label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.k,params.canary.score,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.AGG.avg,exposure.AGG.min,exposure.BIL.avg,exposure.BIL.min,exposure.DBC.avg,exposure.DBC.min,exposure.EWJ.avg,exposure.EWJ.min,exposure.GLD.avg,exposure.GLD.min,exposure.HYG.avg,exposure.HYG.min,exposure.IEF.avg,exposure.IEF.min,exposure.IWM.avg,exposure.IWM.min,exposure.LQD.avg,exposure.LQD.min,exposure.QQQ.avg,exposure.QQQ.min,exposure.SPY.avg,exposure.SPY.min,exposure.TIP.avg,exposure.TIP.min,exposure.TLT.avg,exposure.TLT.min,exposure.VGK.avg,exposure.VGK.min,exposure.VNQ.avg,exposure.VNQ.min,exposure.VWO.avg,exposure.VWO.min
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top5 gap13M all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,5,13612W,0.00255576,0.01200975,0.00131698,0.00626947,229991.81137353,118000.00000000,111991.81137353,0.94908315,0.06999767,0.06407773,0.70788274,0.10334011,0.99399072,0.51125922,-0.13691230,1293,2020,0.16986037,2015,-0.02901742,21264864.38402385,2884.83442913,5.56406626,0.02444775,0.03063717,0.00000000,0.18726758,0.00000000,0.08260155,0.00000000,0.02854117,0.00000000,0.04396267,0.00000000,0.01470407,0.00000000,0.07808749,0.00000000,0.04316844,0.00000000,0.08027947,0.00000000,0.07065757,0.00000000,0.05768954,0.00000000,0.05361777,0.00000000,0.09459350,0.00000000,0.04324725,0.00000000,0.04323336,0.00000000,0.04509439,0.00000000
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top5 gap13M all can SPY+VEA+VWO+BND/1@1-3-6-12U fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,5,1-3-6-12U,0.00265623,0.01176237,0.00134284,0.00626947,281724.01427975,118000.00000000,163724.01427975,1.38749165,0.07794125,0.08237110,0.75217026,0.10773139,1.05610775,0.47923984,-0.16263516,448,2020,0.17424849,2015,-0.01777878,16137264.37254643,2246.99502485,4.12924239,0.01904233,0.02908896,0.00000000,0.19034201,0.00000000,0.07799208,0.00000000,0.03498701,0.00000000,0.04313026,0.00000000,0.01102825,0.00000000,0.07805445,0.00000000,0.04864511,0.00000000,0.06468150,0.00000000,0.07982761,0.00000000,0.06036519,0.00000000,0.04288983,0.00000000,0.09181967,0.00000000,0.04693117,0.00000000,0.04230835,0.00000000,0.05520394,0.00000000
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top6 gap13M all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,6,13612W,0.00282072,0.01188529,0.00132138,0.00626947,249673.45132670,118000.00000000,131673.45132670,1.11587671,0.07682143,0.07153152,0.80301156,0.09841343,1.13454690,0.54190016,-0.14176307,1281,2020,0.16338730,2015,-0.02893133,20901684.93954301,2835.30265780,5.38735806,0.02402799,0.03063029,0.00000000,0.18727452,0.00000000,0.08444147,0.00000000,0.03297756,0.00000000,0.04116928,0.00000000,0.02679997,0.00000000,0.07811682,0.00000000,0.04512144,0.00000000,0.08119745,0.00000000,0.06413597,0.00000000,0.05563961,0.00000000,0.05361968,0.00000000,0.09260106,0.00000000,0.04215402,0.00000000,0.03907217,0.00000000,0.04216850,0.00000000
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top6 gap13M all can SPY+VEA+VWO+BND/1@1-3-6-12U fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,6,1-3-6-12U,0.00289793,0.01176237,0.00141625,0.00626947,308408.04967205,118000.00000000,190408.04967205,1.61362754,0.08483825,0.09040610,0.84134305,0.10336354,1.18605528,0.56565914,-0.14998122,398,2020,0.17590862,2015,-0.01244170,15371551.46294310,2129.22404590,3.87312302,0.01804427,0.02910552,0.00000000,0.19034147,0.00000000,0.07906584,0.00000000,0.03911083,0.00000000,0.04043432,0.00000000,0.01836996,0.00000000,0.07805500,0.00000000,0.05350008,0.00000000,0.06667090,0.00000000,0.07029251,0.00000000,0.06168509,0.00000000,0.04289627,0.00000000,0.09032267,0.00000000,0.04599475,0.00000000,0.04137037,0.00000000,0.04984072,0.00000000
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top7 gap13M all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,7,13612W,0.00320523,0.01222519,0.00143570,0.00626947,242003.57053510,118000.00000000,124003.57053510,1.05087772,0.07373148,0.06870760,0.78764060,0.09643115,1.11363643,0.50825676,-0.14506738,1306,2020,0.16300573,2015,-0.02897310,20298931.76591786,2774.06549141,5.27656847,0.02350903,0.03063809,0.00000000,0.18727077,0.00000000,0.08707372,0.00000000,0.03482039,0.00000000,0.03780971,0.00000000,0.03411379,0.00000000,0.07809267,0.00000000,0.04451474,0.00000000,0.08642375,0.00000000,0.05694311,0.00000000,0.05604713,0.00000000,0.05361333,0.00000000,0.09310463,0.00000000,0.03940825,0.00000000,0.03611884,0.00000000,0.04074359,0.00000000
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top7 gap13M all can SPY+VEA+VWO+BND/1@1-3-6-12U fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2008-08-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,7,1-3-6-12U,0.00314597,0.01208816,0.00143166,0.00626947,296637.05161496,118000.00000000,178637.05161496,1.51387332,0.08121366,0.08695952,0.82604719,0.10091325,1.16338847,0.56401358,-0.14399238,185,2020,0.15802616,2015,-0.01624217,14556202.59568260,2034.96273347,3.73356879,0.01724545,0.02909210,0.00000000,0.19034013,0.00000000,0.08181483,0.00000000,0.04008143,0.00000000,0.03724640,0.00000000,0.02887584,0.00000000,0.07805232,0.00000000,0.05040648,0.00000000,0.07461907,0.00000000,0.06145679,0.00000000,0.06068198,0.00000000,0.04289091,0.00000000,0.09050699,0.00000000,0.04469516,0.00000000,0.03872978,0.00000000,0.04731941,0.00000000
EW-12,full,full,2008-08-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00785040,0.03359513,0.00208526,0.00828532,284828.60560178,118000.00000000,166828.60560178,1.41380174,0.07304152,0.08334798,0.58573488,0.13657085,0.82362147,0.19598307,-0.37269300,588,2009,0.24245434,2008,-0.22277463,565400.03110744,85.20481002,0.14958059,0.00072207,,,,,0.08312657,0.08058020,0.08299225,0.08033975,0.08209769,0.07595711,0.08292340,0.08080046,,,0.08248515,0.07864276,0.08257875,0.07778790,0.08243097,0.08106165,0.08188284,0.07504802,,,0.08258859,0.07742104,0.08300131,0.08108412,0.08299450,0.08102350,0.08304516,0.08099006
ROT SPY top1 1-3-6-12U can TIP/1 fb best(BIL+IEF),full,full,2008-08-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00108716,0.00577868,0.00110787,0.00578100,467146.99224891,118000.00000000,349146.99224891,2.95887282,0.11582386,0.12651009,0.97629661,0.11989490,1.37381938,0.58175195,-0.19909492,690,2021,0.28440292,2011,-0.00690719,13849011.78206380,1188.12177337,2.63541148,0.01006883,,,0.20727625,0.00000000,,,,,,,,,0.14266142,0.00000000,,,,,,,0.64895446,0.00000000,,,,,,,,,,
SPY benchmark,full,full,2008-08-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00118567,0.00889012,0.00118613,0.00889171,543905.09344089,118000.00000000,425905.09344089,3.60936520,0.12213318,0.13949487,0.68480703,0.19701936,0.96815068,0.25929511,-0.47101999,858,2013,0.31890063,2008,-0.27440154,117747.67921777,8.24233755,0.01981675,0.00006985,,,,,,,,,,,,,,,,,,,,,0.99881387,0.99110829,,,,,,,,,,
ROT QQQ+SPY+IWM+VGK+EWJ+VWO+VNQ+DBC+GLD+TLT+HYG+LQD top5 gap13M all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),fit,fit,2008-08-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,5,13612W,0.00267873,0.01200975,0.00138172,0.00626947,181353.50703428,96000.00000000,85353.50703428,0.88909903,0.07900332,0.07594880,0.79534571,0.10227251,1.12558795,0.61704839,-0.12803423,195,2020,0.16986037,2015,-0.02901742,10833744.65115101,1515.47692059,4.56153269,0.01578622,0.03265366,0.00000000,0.15978174,0.00000000,0.09166718,0.00000000,0.01731775,0.00000000,0.02981249,0.00000000,0.01728782,0.00000000,0.09409896,0.00000000,0.03801997,0.00000000,0.09107232,0.00000000,0.06334750,0.00000000,0.05399634,0.00000000,0.06148112,0.00000000,0.11865196,0.00000000,0.03923196,0.00000000,0.04730017,0.00000000,0.04154361,0.00000000
