label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.score,params.canary.score,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.AGG.avg,exposure.AGG.min,exposure.BIL.avg,exposure.BIL.min,exposure.BND.avg,exposure.BND.min,exposure.DBC.avg,exposure.DBC.min,exposure.IEF.avg,exposure.IEF.min,exposure.LQD.avg,exposure.LQD.min,exposure.QQQ.avg,exposure.QQQ.min,exposure.SPY.avg,exposure.SPY.min,exposure.TIP.avg,exposure.TIP.min,exposure.TLT.avg,exposure.TLT.min,exposure.VEA.avg,exposure.VEA.min,exposure.VWO.avg,exposure.VWO.min
ROT QQQ+VWO+VEA+BND top1 gap13M all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,gap13M,13612W,0.00147304,0.01022007,0.00115699,0.00526981,183090.90609880,97500.00000000,85590.90609880,0.87785545,0.08598444,0.07418450,0.75900472,0.11819046,1.05218802,0.42893512,-0.20046024,,2020,0.27325664,2025,-0.11749969,17502524.10153503,2335.53305563,6.36838419,0.02395419,0.02833361,0.00000000,0.22519013,0.00000000,0.02271813,0.00000000,0.07762527,0.00000000,0.06606837,0.00000000,0.06424953,0.00000000,0.28362216,0.00000000,,,0.04723409,0.00000000,0.06417703,0.00000000,0.07949075,0.00000000,0.03975107,0.00000000
ROT QQQ+VWO+VEA+BND top1 gap13M all can SPY+VEA+VWO+BND/1@1-3-6-12U fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,gap13M,1-3-6-12U,0.00168814,0.01698254,0.00120245,0.00674983,224187.79739410,97500.00000000,126687.79739410,1.29936202,0.09667470,0.09681757,0.80773475,0.12411242,1.12231511,0.47029833,-0.20556038,181,2020,0.26376885,2025,-0.03587039,13860959.11115132,1876.25055039,4.89468874,0.01924360,0.02456289,0.00000000,0.22895077,0.00000000,0.00000000,0.00000000,0.07572509,0.00000000,0.06412848,0.00000000,0.05847799,0.00000000,0.31203821,0.00000000,,,0.04152628,0.00000000,0.06221804,0.00000000,0.08519626,0.00000000,0.04543345,0.00000000
ROT QQQ+VWO+VEA+BND top1 1-3-6-12U all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,13612W,0.00165411,0.01309673,0.00122156,0.00557632,191162.30447768,97500.00000000,93662.30447768,0.96063902,0.08713094,0.07904327,0.76265923,0.11916227,1.05887979,0.43726568,-0.19926315,436,2020,0.27688811,2025,-0.06302791,17579765.84004883,2361.28922013,6.42852447,0.02421835,0.03213482,0.00000000,0.20625478,0.00000000,0.01703023,0.00000000,0.08520488,0.00000000,0.06790943,0.00000000,0.06230848,0.00000000,0.30065498,0.00000000,,,0.04529729,0.00000000,0.07359823,0.00000000,0.06814078,0.00000000,0.03974289,0.00000000
ROT QQQ+VWO+VEA+BND top1 1-3-6-12U all can SPY+VEA+VWO+BND/1 fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,1-3-6-12U,0.00176470,0.01698254,0.00127343,0.00674983,238381.67153598,97500.00000000,140881.67153598,1.44494022,0.10129133,0.10359889,0.83780267,0.12478692,1.16566125,0.49257167,-0.20563775,181,2020,0.26364158,2013,-0.01785897,13518819.74220050,1810.58637874,4.68238262,0.01857012,0.02454171,0.00000000,0.20813686,0.00000000,0.00000000,0.00000000,0.08141131,0.00000000,0.06790665,0.00000000,0.05851500,0.00000000,0.33472956,0.00000000,,,0.04152376,0.00000000,0.07352127,0.00000000,0.06815285,0.00000000,0.03974377,0.00000000
QQQ25/VWO25/VEA25/BND25,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00285367,0.01061288,0.00159888,0.00483817,217608.03055327,97500.00000000,120108.03055327,1.23187724,0.08931468,0.09351451,0.72086497,0.13091361,1.01057482,0.33000847,-0.27064361,919,2017,0.22606326,2022,-0.19875684,308032.15191504,45.08326869,0.12533786,0.00046239,,,,,0.24934143,0.24516183,,,,,,,0.24852051,0.24547081,,,,,,,0.24965690,0.24838664,0.24962544,0.24745650
ROT SPY top1 1-3-6-12U can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00146525,0.00887397,0.00148633,0.00887535,325114.34203370,97500.00000000,227614.34203370,2.33450607,0.12982449,0.13743004,1.19676035,0.10707235,1.69942747,0.96685472,-0.13427507,107,2021,0.28424573,2022,-0.00680651,8691390.06628179,744.42477629,2.61798579,0.00763513,,,0.24983617,0.00000000,,,,,0.09651349,0.00000000,,,,,0.65216401,0.00000000,,,,,,,,
SPY benchmark,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00165763,0.00887397,0.00165813,0.00887535,353051.02493906,97500.00000000,255551.02493906,2.62103615,0.14643292,0.14631590,0.91192795,0.16527492,1.29098146,0.43404677,-0.33736669,173,2013,0.31819168,2022,-0.18365542,97233.05567962,6.80631390,0.02779235,0.00006981,,,,,,,,,,,,,,,0.99834187,0.99112465,,,,,,,,
ROT QQQ+VWO+VEA+BND top1 gap13M all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,gap13M,13612W,0.00169788,0.01022007,0.00126730,0.00526981,152512.48922817,75500.00000000,77012.48922817,1.02003297,0.11135599,0.10831803,1.03461399,0.10778828,1.44778359,0.88189604,-0.12626884,239,2020,0.27325664,2015,-0.02879056,7474708.46773026,1038.43535822,4.78949661,0.01375411,0.03020926,0.00000000,0.20181695,0.00000000,0.03029084,0.00000000,0.09087837,0.00000000,0.08304679,0.00000000,0.07305311,0.00000000,0.25713297,0.00000000,,,0.05541100,0.00000000,0.08556937,0.00000000,0.05297774,0.00000000,0.03785691,0.00000000
ROT QQQ+VWO+VEA+BND top1 gap13M all can SPY+VEA+VWO+BND/1@1-3-6-12U fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,gap13M,1-3-6-12U,0.00197726,0.01698254,0.00131558,0.00674983,156024.68948937,75500.00000000,80524.68948937,1.06655218,0.10647254,0.11171740,0.96484093,0.11143088,1.33767815,0.51796237,-0.20556038,181,2020,0.26376885,2015,0.00741921,5774376.58684439,807.40982427,3.81014488,0.01069417,0.03022603,0.00000000,0.22196719,0.00000000,0.00000000,0.00000000,0.09086799,0.00000000,0.08298036,0.00000000,0.07292604,0.00000000,0.27233657,0.00000000,,,0.05284454,0.00000000,0.08295738,0.00000000,0.04543369,0.00000000,0.04543311,0.00000000
ROT QQQ+VWO+VEA+BND top1 1-3-6-12U all can SPY+VEA+VWO+BND/1@13612W fb best3(TIP+DBC+BIL+IEF+TLT+LQD+AGG>BIL),fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""EWJ"": 2, ""GLD"": 1, ""HYG"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VGK"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,13612W,0.00196227,0.01309673,0.00137356,0.00557632,152742.25147643,75500.00000000,77242.25147643,1.02307618,0.10864427,0.10854293,1.00492481,0.10862853,1.40706683,0.85995022,-0.12633786,237,2020,0.27688811,2015,-0.03361631,7859000.64207433,1090.40928362,5.10481858,0.01444251,0.03527698,0.00000000,0.18160960,0.00000000,0.02270697,0.00000000,0.09088525,0.00000000,0.08550154,0.00000000,0.07550685,0.00000000,0.27226513,0.00000000,,,0.05535263,0.00000000,0.09560694,0.00000000,0.04541576,0.00000000,0.03784761,0.00000000
