label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.assets,params.score.months,params.filter,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.ACWX.avg,exposure.ACWX.min,exposure.AGG.avg,exposure.AGG.min,exposure.EFA.avg,exposure.EFA.min,exposure.SPY.avg,exposure.SPY.min,exposure.VEU.avg,exposure.VEU.min
ROT SPY+VEU top1 10M@SPY>BIL fb AGG,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,10,@SPY>BIL,0.00164762,0.00942058,0.00166897,0.00950283,220651.45240254,97500.00000000,123151.45240254,1.26309182,0.09817939,0.09505560,0.70311142,0.14949794,0.97745738,0.29140055,-0.33692246,341,2024,0.24590243,2022,-0.16710879,5775215.88344257,651.45100641,2.25629907,0.00668155,,,0.14763748,0.00000000,,,0.65190319,0.00000000,0.19879036,0.00000000
ROT SPY+VEU top1 10M>BIL fb AGG,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,10,>BIL,0.00164970,0.00942058,0.00167106,0.00950283,241800.25146343,97500.00000000,144300.25146343,1.48000258,0.10560249,0.10516706,0.74648569,0.14995310,1.03948303,0.31343264,-0.33692246,341,2024,0.24592551,2022,-0.16710879,5567993.09672545,658.71071693,2.11492816,0.00675601,,,0.13628089,0.00000000,,,0.65190184,0.00000000,0.21014622,0.00000000
ROT SPY+VEU top1 12M@SPY>BIL fb AGG,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,12,@SPY>BIL,0.00173544,0.00887397,0.00175165,0.00887535,231481.44545580,97500.00000000,133981.44545580,1.37416867,0.09862432,0.10035837,0.69900122,0.15135715,0.97279495,0.29263371,-0.33702309,341,2013,0.28410651,2022,-0.16692953,4420958.87351163,523.40609985,1.78029512,0.00536827,,,0.12489652,0.00000000,,,0.71999820,0.00000000,0.15335363,0.00000000
ROT SPY+VEU top1 12M>BIL fb AGG,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,12,>BIL,0.00185172,0.00887397,0.00186963,0.00887535,226645.40390917,97500.00000000,129145.40390917,1.32456825,0.09683034,0.09802441,0.68746783,0.15155624,0.95643343,0.28731071,-0.33702309,341,2013,0.28410651,2022,-0.16692953,4823882.58675913,585.07853109,1.96066829,0.00600081,,,0.11921449,0.00000000,,,0.71988822,0.00000000,0.15902767,0.00000000
ROT SPY+VEU top1 14M@SPY>BIL fb AGG,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,14,@SPY>BIL,0.00169070,0.00887397,0.00170501,0.00887535,236850.13354636,97500.00000000,139350.13354636,1.42923214,0.10753229,0.10288846,0.73350693,0.15632477,1.01996956,0.31885058,-0.33724979,302,2013,0.31819168,2022,-0.22766352,4556968.89333373,547.67276710,1.71623533,0.00561716,,,0.09086673,0.00000000,,,0.78815038,0.00000000,0.11927787,0.00000000
ROT SPY+VEU top1 14M>BIL fb AGG,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,14,>BIL,0.00169070,0.00887397,0.00170501,0.00887535,236850.13354636,97500.00000000,139350.13354636,1.42923214,0.10753229,0.10288846,0.73350693,0.15632477,1.01996956,0.31885058,-0.33724979,302,2013,0.31819168,2022,-0.22766352,4556968.89333373,547.67276710,1.71623533,0.00561716,,,0.09086673,0.00000000,,,0.78815038,0.00000000,0.11927787,0.00000000
ROT SPY+EFA top1 10M@SPY>BIL fb AGG,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,10,@SPY>BIL,0.00154377,0.00942058,0.00156104,0.00950283,222557.48489819,97500.00000000,125057.48489819,1.28264087,0.09726656,0.09600905,0.70307676,0.14800523,0.97541991,0.28860652,-0.33702135,341,2024,0.24618270,2022,-0.16705323,7052081.64568446,615.18373263,2.72185358,0.00630958,,,0.14763316,0.00000000,0.19878106,0.00000000,0.65202474,0.00000000,,
ROT SPY+EFA top1 10M>BIL fb AGG,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,10,>BIL,0.00160158,0.00942058,0.00161715,0.00950283,250268.15948863,97500.00000000,152768.15948863,1.56685292,0.10686288,0.10895094,0.75733205,0.14916007,1.05246763,0.31708045,-0.33702135,341,2024,0.24591266,2022,-0.16705323,6572493.84770546,562.10092373,2.43823934,0.00576514,,,0.12491401,0.00000000,0.22150094,0.00000000,0.65196790,0.00000000,,
ROT SPY+EFA top1 12M@SPY>BIL fb AGG,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,12,@SPY>BIL,0.00182348,0.00887397,0.00183789,0.00887535,218260.40990117,97500.00000000,120760.40990117,1.23856831,0.08905167,0.09384682,0.64453366,0.15028241,0.89290216,0.26410148,-0.33718733,341,2021,0.28429884,2022,-0.16698073,4873258.48475964,413.59133669,2.03885314,0.00424196,,,0.12489347,0.00000000,0.16469879,0.00000000,0.70856985,0.00000000,,
ROT SPY+EFA top1 12M>BIL fb AGG,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,12,>BIL,0.00186864,0.00887397,0.00188361,0.00887535,221347.16800704,97500.00000000,123847.16800704,1.27022736,0.09022499,0.09540465,0.65010267,0.15076884,0.90078051,0.26758120,-0.33718733,341,2021,0.28429884,2022,-0.16698073,5149379.38491750,440.50423715,2.14101035,0.00451799,,,0.11353200,0.00000000,0.17605566,0.00000000,0.70852873,0.00000000,,
