label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.assets,params.filter,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.AGG.avg,exposure.AGG.min,exposure.EFA.avg,exposure.EFA.min,exposure.SPY.avg,exposure.SPY.min,exposure.VEU.avg,exposure.VEU.min
ROT SPY+VEU top1 12M@SPY>BIL fb AGG,full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,@SPY>BIL,0.00102888,0.00528700,0.00104470,0.00528912,332472.92541586,118500.00000000,213972.92541586,1.80567870,0.09110780,0.09621824,0.62663208,0.15990856,0.87085775,0.26998199,-0.33745878,341,2013,0.28468107,2022,-0.16702443,7164993.72757489,845.42275460,1.73501737,0.00713437,0.17409594,0.00000000,,,0.65519142,0.00000000,0.16966794,0.00000000
ROT SPY+VEU top1 12M>BIL fb AGG,full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,>BIL,0.00106078,0.00528700,0.00107798,0.00528912,322554.30987010,118500.00000000,204054.30987010,1.72197730,0.08763170,0.09356663,0.60267731,0.16134065,0.83681891,0.25969740,-0.33743772,341,2013,0.28448232,2022,-0.16700957,7689540.90549209,928.15779359,1.89826965,0.00783256,0.16492176,0.00000000,,,0.65517780,0.00000000,0.17882246,0.00000000
ROT SPY+EFA top1 12M@SPY>BIL fb AGG,full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,@SPY>BIL,0.00113287,0.00528700,0.00114630,0.00528912,308118.54355476,118500.00000000,189618.54355476,1.60015649,0.08389001,0.08954435,0.59133749,0.15758840,0.81669124,0.24853016,-0.33754460,351,2021,0.28448457,2022,-0.16704096,7809512.79435836,664.08660413,1.99291447,0.00560411,0.17409240,0.00000000,0.17424174,0.00000000,0.65051956,0.00000000,,
ROT SPY+EFA top1 12M>BIL fb AGG,full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,>BIL,0.00112674,0.00528700,0.00114063,0.00528912,312685.24444692,118500.00000000,194185.24444692,1.63869405,0.08484264,0.09083864,0.59587058,0.15796785,0.82307679,0.25135238,-0.33754460,351,2021,0.28448457,2022,-0.16704096,8217417.30814594,703.80216214,2.08529141,0.00593926,0.16492127,0.00000000,0.18341388,0.00000000,0.65052421,0.00000000,,
SPY60/AGG40,full,full,2008-07-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00198596,0.01334643,0.00145251,0.00806153,316371.31284048,118500.00000000,197871.31284048,1.66980011,0.08359472,0.09186838,0.73571247,0.11897179,1.04186238,0.27270062,-0.30654393,565,2019,0.21492335,2022,-0.16042696,408621.75421574,35.02051489,0.09491776,0.00029553,0.39928664,0.39467465,,,0.59872644,0.59193847,,
EW SPY/VEU/AGG,full,full,2008-07-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00251636,0.01521085,0.00159933,0.00900056,275616.61796952,118500.00000000,157116.61796952,1.32587863,0.06856765,0.07967799,0.56313567,0.13395918,0.79032315,0.19237892,-0.35641974,643,2009,0.21694695,2008,-0.20918683,374850.28127735,44.85267552,0.09977083,0.00037850,0.33259459,0.32774334,,,0.33188049,0.32433278,0.33300706,0.33034637
ROT SPY top1 12M@SPY>BIL fb AGG,full,full,2008-07-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00115142,0.00528700,0.00115701,0.00528912,372067.40275799,118500.00000000,253567.40275799,2.13980931,0.10537461,0.10601034,0.72931135,0.15397471,1.01301123,0.31205689,-0.33767758,351,2013,0.31886876,2022,-0.16705419,2791885.34333914,236.40170452,0.60323260,0.00199495,0.17410038,0.00000000,,,0.82474261,0.00000000,,
ROT SPY+VEU top1 12M all fb AGG,full,full,2008-07-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00114770,0.00743686,0.00116088,0.00743844,462468.32376977,118500.00000000,343968.32376977,2.90268628,0.09904226,0.12471010,0.56967998,0.20194306,0.80346447,0.19690947,-0.50298373,1536,2019,0.30809196,2008,-0.34193821,7237860.11778911,973.79739562,1.40145901,0.00821770,0.00000000,0.00000000,,,0.78792739,0.00000000,0.21091173,0.00000000
SPY benchmark,full,full,2008-07-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00116426,0.00737715,0.00116472,0.00737881,546212.30855534,118500.00000000,427712.30855534,3.60938657,0.12033077,0.13885120,0.67600259,0.19723966,0.95579738,0.25513316,-0.47163908,861,2013,0.31884220,2008,-0.28800229,118234.48610020,8.27641403,0.01979425,0.00006984,,,,,0.99883528,0.99262119,,
ROT SPY+VEU top1 12M@SPY>BIL fb AGG,fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,@SPY>BIL,0.00108047,0.00528700,0.00109436,0.00528912,165611.79490018,96500.00000000,69111.79490018,0.71618440,0.07033087,0.06454050,0.50275627,0.16128663,0.68894535,0.20841321,-0.33745878,341,2013,0.28468107,2022,-0.16702417,3619226.23089381,384.25148144,1.47955447,0.00398188,0.18364454,0.00000000,,,0.67738286,0.00000000,0.13787824,0.00000000
