label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.score.months,params.fallback,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.DBC.avg,exposure.DBC.min,exposure.EFA.avg,exposure.EFA.min,exposure.IEF.avg,exposure.IEF.min,exposure.SPY.avg,exposure.SPY.min,exposure.VNQ.avg,exposure.VNQ.min
ROT SPY+EFA+IEF+DBC+VNQ top5 gap8M fb cash,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,8,,0.00355654,0.01604927,0.00211676,0.00791787,169729.77731282,97500.00000000,72229.77731282,0.74081823,0.05790343,0.06559579,0.87794678,0.06682735,1.20923538,0.78978103,-0.07331580,302,2021,0.22278420,2022,-0.02213340,2362899.45961056,339.18274294,1.11345295,0.00347880,,,0.10784821,0.00000000,0.14044544,0.00000000,0.11414809,0.00000000,0.16966884,0.00000000,0.13363897,0.00000000
ROT SPY+EFA+IEF+DBC+VNQ top5 gap8M fb BIL,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,8,BIL,0.00500187,0.01975132,0.00283203,0.00835758,163448.07541176,97500.00000000,65948.07541176,0.67639052,0.05187973,0.06129387,0.79252810,0.06680355,1.08844810,0.62500681,-0.08300666,814,2021,0.21660445,2022,-0.03263514,4159251.33053028,514.95700327,2.03995318,0.00528161,0.32990737,0.00000000,0.10784187,0.00000000,0.14053315,0.00000000,0.11411676,0.00000000,0.16902962,0.00000000,0.13354835,0.00000000
ROT SPY+EFA+IEF+DBC+VNQ top5 gap10M fb cash,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,10,,0.00384720,0.01581070,0.00240490,0.00773573,166990.07486074,97500.00000000,69490.07486074,0.71271872,0.05833136,0.06374178,0.89325620,0.06608003,1.23299928,0.74950854,-0.07782614,514,2021,0.22429115,2022,-0.04101570,2293993.36795604,322.14334178,1.08138941,0.00330403,,,0.10105389,0.00000000,0.13940311,0.00000000,0.12309212,0.00000000,0.16942267,0.00000000,0.13476043,0.00000000
ROT SPY+EFA+IEF+DBC+VNQ top5 gap10M fb BIL,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,10,BIL,0.00461293,0.01928564,0.00249986,0.00797357,160618.95923705,97500.00000000,63118.95923705,0.64737394,0.05233336,0.05929562,0.80700079,0.06608136,1.11068093,0.57999674,-0.09023044,802,2021,0.21804532,2022,-0.05077919,4059381.28190011,495.06758051,1.99259874,0.00507762,0.32778859,0.00000000,0.10102810,0.00000000,0.13939786,0.00000000,0.12308958,0.00000000,0.16938448,0.00000000,0.13467874,0.00000000
ROT SPY+EFA+IEF+DBC+VNQ top5 gap12M fb cash,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12,,0.00358119,0.01870104,0.00229208,0.00773573,168306.32147665,97500.00000000,70806.32147665,0.72621868,0.05908383,0.06463671,0.91166268,0.06548430,1.25816964,0.61604513,-0.09590828,899,2021,0.22115647,2015,-0.03802199,2211356.36498391,322.30466086,1.06751557,0.00330569,,,0.09765450,0.00000000,0.13487539,0.00000000,0.12324372,0.00000000,0.17066033,0.00000000,0.13588207,0.00000000
ROT SPY+EFA+IEF+DBC+VNQ top5 gap12M fb BIL,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12,BIL,0.00450185,0.01731457,0.00256933,0.00773573,161771.45937972,97500.00000000,64271.45937972,0.65919446,0.05289692,0.06011437,0.82178663,0.06549865,1.13078897,0.49574886,-0.10670103,959,2021,0.21545359,2015,-0.05110813,3965336.90938802,493.62997764,1.99361731,0.00506287,0.33337444,0.00000000,0.09762192,0.00000000,0.13486352,0.00000000,0.12323075,0.00000000,0.17046475,0.00000000,0.13592212,0.00000000
SPY20/EFA20/IEF20/DBC20/VNQ20,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00449576,0.01883163,0.00240910,0.00802122,187097.47755938,97500.00000000,89597.47755938,0.91894849,0.06923468,0.07662525,0.67581211,0.10797646,0.93006711,0.26531293,-0.26095480,270,2021,0.22631404,2022,-0.11652876,309362.54442139,50.59267830,0.14206720,0.00051890,,,0.19980297,0.19844467,0.19946167,0.19662155,0.19902991,0.19226427,0.19781275,0.19197878,0.19939458,0.19726315
SPY benchmark,full,full,2012-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00165763,0.00887397,0.00165813,0.00887535,353051.02493906,97500.00000000,255551.02493906,2.62103615,0.14643292,0.14631590,0.91192795,0.16527492,1.29098146,0.43404677,-0.33736669,173,2013,0.31819168,2022,-0.18365542,97233.05567962,6.80631390,0.02779235,0.00006981,,,,,,,,,0.99834187,0.99112465,,
ROT SPY+EFA+IEF+DBC+VNQ top5 gap8M fb cash,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,8,,0.00388967,0.01604927,0.00220967,0.00791787,109177.18359210,75500.00000000,33677.18359210,0.44605541,0.05151121,0.05777168,0.78743608,0.06667713,1.07338897,0.70259354,-0.07331580,302,2021,0.22278420,2022,-0.02212032,1183234.95411475,168.71429898,1.02132925,0.00223463,,,0.10441599,0.00000000,0.12827068,0.00000000,0.11137359,0.00000000,0.16771899,0.00000000,0.13735025,0.00000000
ROT SPY+EFA+IEF+DBC+VNQ top5 gap8M fb BIL,fit,fit,2012-01-03,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,8,BIL,0.00565694,0.01975132,0.00306446,0.00835758,103419.39687559,75500.00000000,27919.39687559,0.36979334,0.04270815,0.04944060,0.66143380,0.06665293,0.89776931,0.51451480,-0.08300666,814,2021,0.21660445,2022,-0.03260333,2049928.88442701,253.68376454,1.83704721,0.00336005,0.34603041,0.00000000,0.10441098,0.00000000,0.12836487,0.00000000,0.11132183,0.00000000,0.16697244,0.00000000,0.13722251,0.00000000
