label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.score.months,params.fallback,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.DBC.avg,exposure.DBC.min,exposure.EFA.avg,exposure.EFA.min,exposure.IEF.avg,exposure.IEF.min,exposure.SPY.avg,exposure.SPY.min,exposure.VNQ.avg,exposure.VNQ.min
ROT SPY+EFA+IEF+DBC+VNQ top5 gap8M fb cash,full,full,2007-06-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,8,,0.00213976,0.01507699,0.00134465,0.00769748,251174.04155292,125000.00000000,126174.04155292,1.00939233,0.05990475,0.06293413,0.79071597,0.07752997,1.10168866,0.58559501,-0.10229724,436,2021,0.22289385,2022,-0.02220500,4287603.14367614,618.81659559,1.10867945,0.00495053,,,0.11414313,0.00000000,0.13307208,0.00000000,0.12074618,0.00000000,0.15390089,0.00000000,0.12966522,0.00000000
ROT SPY+EFA+IEF+DBC+VNQ top5 gap8M fb BIL,full,full,2007-06-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,8,BIL,0.00283678,0.01668098,0.00153993,0.00781021,235968.45886783,125000.00000000,110968.45886783,0.88774767,0.05323450,0.05758097,0.70941805,0.07749299,0.98615700,0.45713196,-0.11645324,439,2021,0.21768548,2022,-0.03324014,7351109.77496239,914.25285950,2.01960907,0.00731402,0.34572368,0.00000000,0.11415137,0.00000000,0.13306512,0.00000000,0.12073366,0.00000000,0.15384607,0.00000000,0.12962249,0.00000000
ROT SPY+EFA+IEF+DBC+VNQ top5 gap10M fb cash,full,full,2007-06-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,10,,0.00229823,0.01466032,0.00144425,0.00759540,242183.69064865,125000.00000000,117183.69064865,0.93746953,0.05527234,0.05981483,0.72401813,0.07874253,1.00048817,0.40844300,-0.13532448,483,2021,0.22434077,2022,-0.04093105,4000168.25554809,564.01058539,1.06161283,0.00451208,,,0.10895009,0.00000000,0.13218341,0.00000000,0.12938863,0.00000000,0.15640168,0.00000000,0.12964118,0.00000000
ROT SPY+EFA+IEF+DBC+VNQ top5 gap10M fb BIL,full,full,2007-06-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,10,BIL,0.00294346,0.01585624,0.00158902,0.00764151,227325.95849816,125000.00000000,102325.95849816,0.81860767,0.04855945,0.05436142,0.64307247,0.07870524,0.88644094,0.35077444,-0.13843499,511,2021,0.21821695,2022,-0.05120645,6950340.09727556,849.51536996,1.95887287,0.00679612,0.34051333,0.00000000,0.10895648,0.00000000,0.13218311,0.00000000,0.12935772,0.00000000,0.15640942,0.00000000,0.12961711,0.00000000
ROT SPY+EFA+IEF+DBC+VNQ top5 gap12M fb cash,full,full,2007-06-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12,,0.00225485,0.01466032,0.00140095,0.00759540,242769.48775749,125000.00000000,117769.48775749,0.94215590,0.05566822,0.06002203,0.74866076,0.07641028,1.03602612,0.42490111,-0.13101453,710,2021,0.22112119,2015,-0.03819869,3877753.48330335,564.98300942,1.05268830,0.00451986,,,0.10549465,0.00000000,0.12789675,0.00000000,0.13276933,0.00000000,0.15647703,0.00000000,0.12877552,0.00000000
ROT SPY+EFA+IEF+DBC+VNQ top5 gap12M fb BIL,full,full,2007-06-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12,BIL,0.00294730,0.01585624,0.00157478,0.00764151,227809.00880085,125000.00000000,102809.00880085,0.82247207,0.04878859,0.05454501,0.66238358,0.07647964,0.91481090,0.37072732,-0.13160237,731,2021,0.21548359,2015,-0.05146319,6810280.48767274,847.60685850,1.96501009,0.00678085,0.34567464,0.00000000,0.10550687,0.00000000,0.12785416,0.00000000,0.13281972,0.00000000,0.15642395,0.00000000,0.12875364,0.00000000
SPY20/EFA20/IEF20/DBC20/VNQ20,full,full,2007-06-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00336400,0.01577456,0.00166344,0.00799261,273451.13679034,125000.00000000,148451.13679034,1.18760909,0.05524563,0.07015223,0.44682074,0.14377532,0.62106343,0.11704659,-0.47199689,1072,2021,0.22665401,2008,-0.26644122,539242.80420957,87.38086923,0.13986748,0.00069905,,,0.19979233,0.19813949,0.19954343,0.19601028,0.19920126,0.19524669,0.19849458,0.19200739,0.19960204,0.19731814
SPY benchmark,full,full,2007-06-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00120296,0.00778093,0.00120343,0.00778238,581294.38505651,125000.00000000,456294.38505651,3.65035508,0.10392432,0.13173013,0.60155210,0.19696887,0.84906104,0.18801697,-0.55273905,1794,2013,0.31895229,2008,-0.36898408,124769.99146275,8.73389940,0.01934525,0.00006987,,,,,,,,,0.99879657,0.99221762,,
ROT SPY+EFA+IEF+DBC+VNQ top5 gap8M fb cash,fit,fit,2007-06-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,8,,0.00226353,0.01507699,0.00138731,0.00769748,171216.74967608,103000.00000000,68216.74967608,0.66229854,0.05584840,0.05683927,0.72218660,0.07970852,1.00287714,0.54594235,-0.10229724,436,2021,0.22289385,2022,-0.02219191,2490198.86543137,359.37320327,1.03449341,0.00348906,,,0.11319971,0.00000000,0.12271205,0.00000000,0.12031182,0.00000000,0.14867043,0.00000000,0.13133335,0.00000000
ROT SPY+EFA+IEF+DBC+VNQ top5 gap8M fb BIL,fit,fit,2007-06-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,8,BIL,0.00302553,0.01668098,0.00157496,0.00781021,158085.02966115,103000.00000000,55085.02966115,0.53480611,0.04702645,0.04820548,0.61705271,0.07967655,0.85435115,0.40382262,-0.11645324,439,2021,0.21768548,2022,-0.03320859,4221792.89929385,526.82159188,1.85460910,0.00511477,0.36080110,0.00000000,0.11321148,0.00000000,0.12271363,0.00000000,0.12029918,0.00000000,0.14864942,0.00000000,0.13127958,0.00000000
