label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.score,params.canary,params.fallback,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.IEF.avg,exposure.IEF.min,exposure.SPY.avg,exposure.SPY.min
ROT SPY top1 1-3-6-12U can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,TIP/1,best(BIL+IEF),0.00146525,0.00887397,0.00148633,0.00887535,325114.34203370,97500.00000000,227614.34203370,2.33450607,0.12982449,0.13743004,1.19676035,0.10707235,1.69942747,0.96685472,-0.13427507,107,2021,0.28424573,2022,-0.00680651,8691390.06628179,744.42477629,2.61798579,0.00763513,0.24983617,0.00000000,0.09651349,0.00000000,0.65216401,0.00000000
ROT SPY top1 1-3-6-12U can TIP/1 fb IEF,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,TIP/1,IEF,0.00149089,0.00887397,0.00150916,0.00887535,310005.14150194,97500.00000000,212505.14150194,2.17953991,0.12729767,0.13228343,1.11149575,0.11394918,1.58002907,0.84398158,-0.15082992,780,2021,0.28445270,2022,-0.11518014,8233860.38612286,699.41939059,2.49984972,0.00717353,,,0.34631605,0.00000000,0.65217479,0.00000000
ROT SPY top1 1-3-6-12U fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,,best(BIL+IEF),0.00173915,0.00887397,0.00174925,0.00887535,309041.00327147,97500.00000000,211541.00327147,2.16965132,0.12827309,0.13194609,1.01838502,0.12673588,1.42547892,0.61574247,-0.20832263,483,2013,0.31842278,2022,-0.11988975,3723711.24729140,315.41279061,1.21255807,0.00323500,0.06816279,0.00000000,0.05110119,0.00000000,0.87898677,0.00000000
ROT SPY top1 1-3-6-12U fb IEF,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,,IEF,0.00173676,0.00887397,0.00174686,0.00887535,312798.37997832,97500.00000000,215298.37997832,2.20818851,0.12936085,0.13325453,1.00606994,0.12961413,1.41212493,0.60992736,-0.21209222,722,2013,0.31842278,2022,-0.17899928,3731789.18473048,316.09464247,1.20933627,0.00324200,,,0.11924866,0.00000000,0.87900449,0.00000000
ROT SPY top1 13612W can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,TIP/1,best(BIL+IEF),0.00147541,0.00887397,0.00150772,0.00887535,204628.58394818,97500.00000000,107128.58394818,1.09875471,0.09280575,0.08666790,0.94453121,0.09946132,1.31429805,0.69090169,-0.13432555,107,2020,0.24445458,2022,-0.08275395,11872634.02211775,1018.64582096,4.28547495,0.01044765,0.29525298,0.00000000,0.11918588,0.00000000,0.58405341,0.00000000
ROT SPY top1 13612W can TIP/1 fb IEF,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,TIP/1,IEF,0.00158146,0.00887397,0.00160929,0.00887535,186774.94194160,97500.00000000,89274.94194160,0.91564043,0.08581798,0.07643091,0.82158281,0.10753171,1.14764034,0.37785075,-0.22712137,1135,2020,0.24437080,2022,-0.18321031,10760942.91226891,914.41552023,4.03415194,0.00937862,,,0.41445126,0.00000000,0.58393944,0.00000000
ROT SPY top1 13612W fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,,best(BIL+IEF),0.00185972,0.00887397,0.00188036,0.00887535,204916.56091427,97500.00000000,107416.56091427,1.10170832,0.08755757,0.08682489,0.73917230,0.12433180,1.02469544,0.39763777,-0.22019431,1008,2013,0.31842278,2022,-0.17288627,7177048.83260365,609.13657534,2.86547421,0.00624755,0.09653810,0.00000000,0.07380351,0.00000000,0.82777802,0.00000000
ROT SPY top1 13612W fb IEF,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,,IEF,0.00186299,0.00887397,0.00188364,0.00887535,199288.68318931,97500.00000000,101788.68318931,1.04398649,0.08416637,0.08371219,0.69829048,0.12774077,0.96985220,0.29874417,-0.28173393,1016,2013,0.31842278,2022,-0.24201123,6926860.04719462,587.82735980,2.84585714,0.00602900,,,0.17031557,0.00000000,0.82780079,0.00000000
ROT SPY top1 12M can TIP/1 fb best(BIL+IEF),full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,TIP/1,best(BIL+IEF),0.00160842,0.00887397,0.00162158,0.00887535,259779.70927467,97500.00000000,162279.70927467,1.66440727,0.10910504,0.11304064,0.83885082,0.13461873,1.17167704,0.32348940,-0.33727548,323,2021,0.28424181,2022,-0.11981202,4088849.95647088,350.21029154,1.46077727,0.00359190,0.24415247,0.00000000,0.07947474,0.00000000,0.67475121,0.00000000
ROT SPY top1 12M can TIP/1 fb IEF,full,full,2012-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,TIP/1,IEF,0.00156441,0.00887397,0.00157645,0.00887535,254794.46497529,97500.00000000,157294.46497529,1.61327656,0.10853889,0.11091753,0.80842978,0.13995725,1.13201929,0.32192965,-0.33715097,323,2021,0.28441031,2022,-0.17890874,3905384.18229124,331.38985121,1.37941566,0.00339887,,,0.32357707,0.00000000,0.67484647,0.00000000
