label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.weights,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.NTSX.avg,exposure.NTSX.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
NTSX100,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":1.0}",0.00054980,0.00247647,0.00055778,0.00277564,95488.07356295,53500.00000000,41988.07356295,0.78482380,0.13113533,0.13204271,0.75682674,0.18642551,1.05732970,0.41724492,-0.31428863,898,2020,0.24633853,2022,-0.25978261,53428.74238532,32.05724543,0.08258222,0.00059920,,,,,,,0.99944222,0.99722436,,,,
NTSX75/BIL25,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.25,""NTSX"":0.75}",0.00188891,0.00740082,0.00140776,0.00535794,85687.97685281,53500.00000000,32187.97685281,0.60164443,0.10578477,0.10749733,0.79644521,0.13880765,1.11170505,0.43738129,-0.24185939,814,2020,0.18608839,2022,-0.19491610,70236.17740708,25.42874026,0.11586646,0.00047530,0.24866692,0.24464206,,,,,0.74943787,0.74778246,,,,
NTSX62.5/BIL37.5,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.375,""NTSX"":0.625}",0.00193468,0.00802589,0.00145198,0.00631529,80991.40229346,53500.00000000,27491.40229346,0.51385799,0.09252623,0.09471152,0.82772836,0.11531427,1.15538789,0.45382887,-0.20387913,794,2023,0.15613104,2022,-0.16179196,78174.89335900,25.18966818,0.13344158,0.00047083,0.37362795,0.36868471,,,,,0.62443149,0.62265716,,,,
NTSX50/BIL50,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.5,""NTSX"":0.5}",0.00198095,0.00720966,0.00152242,0.00636424,76485.07482339,53500.00000000,22985.07482339,0.42962757,0.07905511,0.08171482,0.87641896,0.09192735,1.22438728,0.48015647,-0.16464447,763,2023,0.13333285,2022,-0.12801526,80065.18340847,23.64730734,0.14147642,0.00044201,0.49857568,0.49363576,,,,,0.49943807,0.49799329,,,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01681587,0.22732631,0.01653893,0.22732793,117164.75084873,53500.00000000,63664.75084873,1.18999534,0.18830107,0.17843846,0.91313108,0.21504936,1.26111943,0.93621129,-0.20113095,324,2023,0.34348124,2022,-0.07938807,1319068.54569571,436.40760487,1.65529635,0.00815715,,,0.46461710,0.14955055,0.15463084,0.04900583,,,,,0.37994678,0.04594996
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01713004,0.22449933,0.01671219,0.22450007,119629.74487118,53500.00000000,66129.74487118,1.23607000,0.18948002,0.18316729,0.92988003,0.21140578,1.28202847,0.97652213,-0.19403556,141,2023,0.40613540,2022,-0.14708557,1321662.27499147,311.05068132,1.66840248,0.00581403,0.30840376,0.09545737,0.30936070,0.09979470,,,,,,,0.38049647,0.04877782
TQQQ50/BTAL50 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.03981861,0.37517449,0.03971294,0.37517809,127937.31122425,53500.00000000,74437.31122425,1.39135161,0.21034361,0.19843046,0.85135612,0.26722001,1.19206963,0.55771013,-0.37715580,138,2023,0.48047197,2022,-0.27720877,350542.40872622,134.58055126,0.40482767,0.00251552,,,0.53913174,0.49887832,,,,,,,0.46037519,0.12482191
SPY benchmark,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00569036,0.02233304,0.00569127,0.02233388,109466.10856795,53500.00000000,55966.10856795,1.04609549,0.15680104,0.16301342,0.84672044,0.19515292,1.19715720,0.46572974,-0.33667817,173,2021,0.28241522,2022,-0.18161772,53254.76437652,3.72783351,0.07535223,0.00006968,,,,,,,,,0.99430873,0.97766612,,
NTSX100,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":1.0}",0.00068082,0.00247647,0.00069210,0.00277564,48341.81992401,37500.00000000,10841.81992401,0.28911520,0.10270202,0.08698676,0.58561624,0.20205492,0.81063092,0.32677612,-0.31428863,,2020,0.24633853,2022,-0.25978261,37474.94252378,22.48496551,0.13812879,0.00059960,,,,,,,0.99930790,0.99722436,,,,
NTSX75/BIL25,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.25,""NTSX"":0.75}",0.00238885,0.00740082,0.00178577,0.00535794,46318.02446590,37500.00000000,8818.02446590,0.23514732,0.08340337,0.07220536,0.60844442,0.15034650,0.84105419,0.34484239,-0.24185939,,2020,0.18608839,2022,-0.19491610,45817.58663035,17.80902951,0.17653282,0.00047491,0.24828273,0.24464206,,,,,0.74931955,0.74778246,,,,
