label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.weights,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.NTSX.avg,exposure.NTSX.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
NTSX100,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":1.0}",0.00055705,0.00197764,0.00058363,0.00277564,95365.34660233,53500.00000000,41865.34660233,0.78252984,0.13088005,0.13175124,0.75569237,0.18639892,1.05570980,0.41643537,-0.31428658,898,2020,0.24588649,2022,-0.25985405,53357.34852092,106.71469704,0.08257636,0.00199467,,,,,,,0.99941637,0.99722436,,,,
NTSX75/BIL25,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.25,""NTSX"":0.75}",0.00190537,0.00588543,0.00144940,0.00499095,85506.09381930,53500.00000000,32006.09381930,0.59824474,0.10530669,0.10701552,0.79315043,0.13884366,1.10689291,0.43488810,-0.24214663,814,2020,0.18521355,2022,-0.19531109,70572.84666199,141.14569332,0.11665419,0.00263824,0.24866301,0.24500905,,,,,0.74940008,0.74670214,,,,
NTSX62.5/BIL37.5,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.375,""NTSX"":0.625}",0.00175056,0.00650976,0.00130762,0.00576275,80808.39299157,53500.00000000,27308.39299157,0.51043725,0.09205143,0.09419820,0.82416620,0.11527833,1.15028013,0.45062903,-0.20427319,794,2023,0.15573426,2022,-0.16228707,77708.54776153,155.41709552,0.13290264,0.00290499,0.37377764,0.36923725,,,,,0.62443778,0.62265716,,,,
NTSX50/BIL50,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.5,""NTSX"":0.5}",0.00200099,0.00717988,0.00149154,0.00559379,76301.14870123,53500.00000000,22801.14870123,0.42618970,0.07853910,0.08116790,0.87094936,0.09195677,1.21642169,0.47607662,-0.16497157,763,2023,0.13273158,2022,-0.12847047,80527.53113348,161.05506227,0.14258716,0.00301037,0.49858498,0.49440621,,,,,0.49937884,0.49837233,,,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,,0.01683381,0.22736674,0.01672689,0.22737814,113955.76034829,53500.00000000,60455.76034829,1.13001421,0.18223058,0.17213383,0.88867330,0.21522857,1.22543802,0.89188642,-0.20432039,324,2023,0.33746694,2022,-0.08013733,1294051.85458776,2588.10370918,1.65279751,0.04837577,,,0.46447359,0.14888072,0.15466281,0.04915876,,,,,0.37983229,0.04589976
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,,0.01692790,0.22451893,0.01674677,0.22453381,116214.94267082,53500.00000000,62714.94267082,1.17224192,0.18312537,0.17659025,0.90369385,0.21163886,1.24382599,0.93849156,-0.19512735,573,2023,0.39977232,2022,-0.14778175,1296977.10370958,2593.95420742,1.66748383,0.04848513,0.30851946,0.09577941,0.30929390,0.09898043,,,,,,,0.38045356,0.04874408
TQQQ50/BTAL50 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,,0.03982813,0.37517266,0.03978910,0.37518467,126998.41355032,53500.00000000,73498.41355032,1.37380212,0.20879484,0.19675477,0.84656577,0.26721096,1.18517083,0.55334332,-0.37733326,138,2023,0.47658832,2022,-0.27740668,348557.16168398,697.11432337,0.40458239,0.01303017,,,0.53910198,0.49811423,,,,,,,0.46034733,0.12481533
SPY benchmark,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,,0.00579724,0.02506646,0.00582335,0.02509146,109442.49927704,53500.00000000,55942.49927704,1.04565419,0.15679540,0.16296449,0.84914163,0.19441927,1.20084535,0.46979298,-0.33375425,173,2021,0.28291366,2022,-0.18196190,53176.78222410,106.35356445,0.07528152,0.00198792,,,,,,,,,0.99417665,0.97490854,,
NTSX100,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":1.0}",0.00066816,0.00197764,0.00070573,0.00277564,48279.70719231,37500.00000000,10779.70719231,0.28745886,0.10238328,0.08654151,0.58425274,0.20201862,0.80871272,0.32576409,-0.31428658,,2020,0.24588649,2022,-0.25985405,37408.09572740,74.81619145,0.13805366,0.00199510,,,,,,,0.99929427,0.99722436,,,,
NTSX75/BIL25,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 20}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.25,""NTSX"":0.75}",0.00238810,0.00588543,0.00184721,0.00499095,46221.13368525,37500.00000000,8721.13368525,0.23256356,0.08280034,0.07148307,0.60453903,0.15041348,0.83547922,0.34194299,-0.24214663,,2020,0.18521355,2022,-0.19531109,45685.52324967,91.37104650,0.17634626,0.00243656,0.24829946,0.24500905,,,,,0.74926973,0.74670214,,,,
