label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.weights,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.NTSX.avg,exposure.NTSX.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
NTSX100,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""NTSX"":1.0}",0.00050181,0.00157876,0.00050977,0.00159315,96325.93168081,53500.00000000,42825.93168081,0.80048470,0.13317003,0.13402260,0.76641114,0.18645442,1.07105979,0.42511779,-0.31325442,898,2020,0.24817836,2022,-0.25824953,53428.64424330,32.05718655,0.08210520,0.00059920,,,,,,,0.99949023,0.99840685,,,,
NTSX75/BIL25,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""BIL"":0.25,""NTSX"":0.75}",0.00172796,0.00771081,0.00128072,0.00606990,86709.17832509,53500.00000000,33209.17832509,0.62073231,0.10831466,0.11018348,0.81293043,0.13881503,1.13527700,0.44949520,-0.24096955,801,2020,0.18762490,2022,-0.19340368,70879.59643469,25.67487137,0.11612866,0.00047990,0.24881098,0.24393010,,,,,0.74945474,0.74835040,,,,
NTSX62.5/BIL37.5,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""BIL"":0.375,""NTSX"":0.625}",0.00191460,0.00717985,0.00145437,0.00567657,82103.28243855,53500.00000000,28603.28243855,0.53464079,0.09536529,0.09780511,0.85032079,0.11531286,1.18778619,0.47003014,-0.20289186,787,2023,0.16067854,2022,-0.16007255,77947.30651678,25.19434287,0.13204077,0.00047092,0.37366084,0.36932343,,,,,0.62441870,0.62310094,,,,
NTSX50/BIL50,full,full,2019-05-08,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""BIL"":0.5,""NTSX"":0.5}",0.00187444,0.00585439,0.00136673,0.00454613,77660.71921079,53500.00000000,24160.71921079,0.45160223,0.08214583,0.08517930,0.90760413,0.09193122,1.26923658,0.50192758,-0.16366072,758,2023,0.13857361,2022,-0.12623969,80628.70104592,23.93666938,0.14130750,0.00044741,0.49871556,0.49545387,,,,,0.49940468,0.49782708,,,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,0.01674230,0.22755660,0.01649361,0.22755842,118888.67659161,53500.00000000,65388.67659161,1.22221825,0.19127953,0.18175575,0.92495599,0.21500716,1.27777552,0.95285728,-0.20074310,323,2023,0.34714695,2022,-0.07603736,1329627.82124614,439.82574150,1.65464201,0.00822104,,,0.46463766,0.14972489,0.15469748,0.04959736,,,,,0.37993312,0.04591962
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,0.01724115,0.22472073,0.01683858,0.22472159,121221.01309490,53500.00000000,67721.01309490,1.26581333,0.19202975,0.18616951,0.94012805,0.21138249,1.29652659,0.98940012,-0.19408705,141,2023,0.41193988,2022,-0.14562689,1330484.92207070,313.13369692,1.66830449,0.00585297,0.30829396,0.09733079,0.30939248,0.09891735,,,,,,,0.38046353,0.04875644
TQQQ50/BTAL50 gate QQQ<SMA200,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,0.03975696,0.37513412,0.03965316,0.37513764,129429.87165572,53500.00000000,75929.87165572,1.41924994,0.21256900,0.20106978,0.85833560,0.26718439,1.20201057,0.56358615,-0.37717215,138,2023,0.48851167,2022,-0.27644712,352368.39646143,135.29977547,0.40449260,0.00252897,,,0.53913534,0.49846382,,,,,,,0.46041008,0.12486236
SPY benchmark,full,full,2019-05-08,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,0.00520742,0.01861513,0.00520833,0.01861685,110639.61469445,53500.00000000,57139.61469445,1.06803018,0.15943175,0.16543242,0.85776505,0.19534069,1.21333855,0.47339079,-0.33678677,173,2021,0.28529326,2022,-0.18083868,52841.11000710,3.69887770,0.07417901,0.00006914,,,,,,,,,0.99479167,0.98138315,,
NTSX100,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""NTSX"":1.0}",0.00056879,0.00157876,0.00058006,0.00159315,48633.94367212,37500.00000000,11133.94367212,0.29690516,0.10477897,0.08907386,0.59481435,0.20211603,0.82363822,0.33448519,-0.31325442,,2020,0.24817836,2022,-0.25824953,37466.14319703,22.47968592,0.13760619,0.00059946,,,,,,,0.99941994,0.99840685,,,,
NTSX75/BIL25,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""BIL"":0.25,""NTSX"":0.75}",0.00211588,0.00771081,0.00159186,0.00606990,46628.62766222,37500.00000000,9128.62766222,0.24343007,0.08556672,0.07451156,0.62156428,0.15039560,0.85955730,0.35509351,-0.24096955,,2020,0.18762490,2022,-0.19340368,46060.30662542,17.90174112,0.17688782,0.00047738,0.24850522,0.24393010,,,,,0.74937001,0.74835040,,,,
NTSX62.5/BIL37.5,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""BIL"":0.375,""NTSX"":0.625}",0.00243098,0.00717985,0.00186500,0.00567657,45556.43539372,37500.00000000,8056.43539372,0.21483828,0.07515461,0.06649053,0.64293348,0.12491150,0.88888168,0.37041710,-0.20289186,,2023,0.16068239,2022,-0.16007255,49342.74903785,16.86148154,0.19393433,0.00044964,0.37329243,0.36932343,,,,,0.62426855,0.62310094,,,,
NTSX50/BIL50,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""BIL"":0.5,""NTSX"":0.5}",0.00229859,0.00585439,0.00169729,0.00454613,44463.40514912,37500.00000000,6963.40514912,0.18569080,0.06435479,0.05813467,0.67645391,0.09956635,0.93559654,0.39322075,-0.16366072,,2023,0.13857876,2022,-0.12623969,50633.19695121,15.48278250,0.20374332,0.00041287,0.49837720,0.49545387,,,,,0.49931708,0.49782708,,,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,0.02478666,0.22755660,0.02445914,0.22755842,66810.67895238,37500.00000000,29310.67895238,0.78161811,0.20847419,0.20094263,0.99381043,0.21370673,1.38656124,1.03851233,-0.20074310,323,2023,0.34727120,2022,-0.07603736,374691.60981949,124.28792665,1.19552159,0.00331434,,,0.48884915,0.14972489,0.16271922,0.04959736,,,,,0.34751576,0.04591962
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,0.02539483,0.22472073,0.02488644,0.22472159,66118.85343641,37500.00000000,28618.85343641,0.76316942,0.20227249,0.19721235,1.00153805,0.20511208,1.39214691,1.04217406,-0.19408705,141,2023,0.41203220,2022,-0.14562689,375890.53816656,87.79084782,1.22005995,0.00234109,0.32386970,0.09733079,0.32536903,0.09891735,,,,,,,0.34831608,0.04875644
TQQQ50/BTAL50 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,0.05844083,0.37513412,0.05830477,0.37513764,68848.75520210,37500.00000000,31348.75520210,0.83596681,0.22356486,0.21173757,0.84272361,0.28972862,1.17665744,0.59273957,-0.37717215,138,2023,0.48858565,2022,-0.27644712,152173.52046246,59.50139240,0.46139849,0.00158670,,,0.55765582,0.49846382,,,,,,,0.44178872,0.12486236
SPY benchmark,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,0.00638522,0.01861513,0.00638653,0.01861685,54463.39613564,37500.00000000,16963.39613564,0.45235723,0.13242011,0.12852204,0.68863717,0.21408416,0.95938891,0.39318678,-0.33678677,173,2021,0.28529326,2022,-0.18083868,37502.56653336,2.62517966,0.13204164,0.00007000,,,,,,,,,0.99361347,0.98138315,,
NTSX100,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""NTSX"":1.0}",0.00112716,0.00365767,0.00114389,0.00395648,35080.64973398,25500.00000000,9580.64973398,0.37571175,0.18864354,0.18290148,1.19861748,0.15507217,1.72571564,1.12245709,-0.16806303,200,2024,0.21074972,2026,0.09769328,25472.07268042,15.28324361,0.22161402,0.00059934,,,,,,,0.99885611,0.99604352,,,,
NTSX75/BIL25,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""BIL"":0.25,""NTSX"":0.75}",0.00379579,0.00952082,0.00271905,0.00651953,33069.51686840,25500.00000000,7569.51686840,0.29684380,0.15221994,0.14758984,1.29122066,0.11555851,1.86107786,1.21110700,-0.12568662,125,2024,0.17017264,2026,0.08001210,26142.32104724,11.26705482,0.23623439,0.00044185,0.24757938,0.24348047,,,,,0.74861218,0.74698721,,,,
NTSX62.5/BIL37.5,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""BIL"":0.375,""NTSX"":0.625}",0.00383272,0.00875257,0.00269124,0.00717396,32093.52219412,25500.00000000,6593.52219412,0.25856950,0.13406759,0.12993375,1.36654565,0.09598215,1.97305222,1.28295557,-0.10449901,113,2024,0.15032609,2026,0.07072677,26376.18065297,9.48944972,0.24292326,0.00037214,0.37243225,0.36782604,,,,,0.62372432,0.62178253,,,,
NTSX50/BIL50,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""BIL"":0.5,""NTSX"":0.5}",0.00369468,0.00749828,0.00271861,0.00687700,31136.40042377,25500.00000000,5636.40042377,0.22103531,0.11587058,0.11226587,1.47889184,0.07655289,2.14231458,1.39537523,-0.08303901,111,2024,0.13017296,2026,0.06141422,26684.53581531,7.95150794,0.25054581,0.00031182,0.49746457,0.49312300,,,,,0.49883183,0.49696449,,,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,0.00472509,0.06726450,0.00383789,0.06726929,33821.54289432,25500.00000000,8321.54289432,0.32633502,0.17062254,0.16095772,0.85123441,0.21300703,1.15433579,0.94814436,-0.17995418,447,2024,0.21369063,2026,0.05062265,217018.82289567,72.17428346,1.92089319,0.00283036,,,0.42755789,0.14946294,0.14203325,0.04940205,,,,,0.42830214,0.19658342
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,0.00633581,0.06642098,0.00505170,0.06642229,34714.40799935,25500.00000000,9214.40799935,0.36134933,0.18224143,0.17657360,0.88418734,0.21737031,1.20329812,1.07567945,-0.16941983,394,2025,0.21152778,2026,0.06236590,219742.90853227,52.14439222,1.92309527,0.00204488,0.28321694,0.09832868,0.28490636,0.09938533,,,,,,,0.42811247,0.19599379
TQQQ50/BTAL50 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,0.00889533,0.10583283,0.00862960,0.10584019,34533.68195917,25500.00000000,9033.68195917,0.35426204,0.19792357,0.17343461,0.93399639,0.22061096,1.32007745,0.80535264,-0.24576013,288,2024,0.38657728,2025,0.05509518,56156.88047994,21.88163298,0.47639122,0.00085810,,,0.50737476,0.49847505,,,,,,,0.49146000,0.39415981
SPY benchmark,test,test,2024-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,0.01824852,0.03701744,0.01825042,0.03701897,36260.91754547,25500.00000000,10760.91754547,0.42199677,0.20807723,0.20299904,1.30651606,0.15465158,1.95024880,1.13002406,-0.18413522,127,2024,0.24874885,2026,0.12273165,25147.93810847,1.76035567,0.21545180,0.00006903,,,,,,,,,0.98174958,0.96298103,,
NTSX100,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""NTSX"":1.0}",0.00064698,0.00157876,0.00066200,0.00159315,33688.43999208,28000.00000000,5688.43999208,0.20315857,0.12325462,0.09378935,0.66396522,0.20752123,0.90313046,0.43541583,-0.28307336,142,2020,0.24817836,2022,-0.18852793,27951.91379893,16.77114828,0.19111774,0.00059897,,,,,,,0.99933800,0.99840685,,,,
NTSX75/BIL25,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""BIL"":0.25,""NTSX"":0.75}",0.00249504,0.00771081,0.00186906,0.00606990,32311.18707427,28000.00000000,4311.18707427,0.15397097,0.09549279,0.07223633,0.66859485,0.15407834,0.90628069,0.44176086,-0.21616400,110,2020,0.18762490,2022,-0.14357405,30850.91874592,12.53542321,0.22429132,0.00044769,0.24824467,0.24393010,,,,,0.74924883,0.74835040,,,,
NTSX62.5/BIL37.5,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""BIL"":0.375,""NTSX"":0.625}",0.00284461,0.00717985,0.00219300,0.00567657,31613.86857883,28000.00000000,3613.86857883,0.12906673,0.08105624,0.06106216,0.67286996,0.12787041,0.91071782,0.44582109,-0.18181337,110,2020,0.15691510,2022,-0.12056057,31547.45546622,10.89544775,0.23658853,0.00038912,0.37303017,0.36932343,,,,,0.62411530,0.62310094,,,,
NTSX50/BIL50,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,"{""BIL"":0.5,""NTSX"":0.5}",0.00266571,0.00585439,0.00196783,0.00454613,30919.18139548,28000.00000000,2919.18139548,0.10425648,0.06637599,0.04974586,0.68127828,0.10182922,0.92108584,0.45349231,-0.14636630,110,2020,0.12632108,2022,-0.09722442,31844.23731658,9.35376093,0.24635826,0.00033406,0.49809532,0.49545387,,,,,0.49923051,0.49782708,,,,
