label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.weights,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.NTSX.avg,exposure.NTSX.min,exposure.RPAR.avg,exposure.RPAR.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
NTSX100,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":1.0}",0.00078684,0.00282380,0.00079701,0.00283634,67779.77702721,44000.00000000,23779.77702721,0.54044948,0.10272851,0.12387993,0.67181985,0.16716174,0.95444947,0.32699847,-0.31415595,898,2023,0.22430145,2022,-0.25973270,43936.21500986,26.36172901,0.11762501,0.00059913,,,,,,,,,0.99920299,0.99716366,,,,,,
RPAR100,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""RPAR"":1.0}",0.00050741,0.00156296,0.00051834,0.00180581,50654.32590420,44000.00000000,6654.32590420,0.15123468,0.01546327,0.04023746,0.18756294,0.12175491,0.26324212,0.05042898,-0.30663460,1555,2025,0.17415918,2022,-0.23267865,43958.32491475,26.37499495,0.14422187,0.00059943,,,,,,,,,,,0.99948166,0.99819419,,,,
NTSX50/RPAR50,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":0.5,""RPAR"":0.5}",0.00128667,0.00341351,0.00096106,0.00279180,58618.94220427,44000.00000000,14618.94220427,0.33224869,0.05917268,0.08207356,0.50361414,0.13209163,0.71246886,0.19503722,-0.30339172,1325,2025,0.18105881,2022,-0.24527031,49147.79135439,29.48867481,0.14574250,0.00067020,,,,,,,,,0.49908606,0.49720820,0.49961628,0.49876557,,,,
NTSX75/BIL25,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.25,""NTSX"":0.75}",0.00265115,0.00813600,0.00187008,0.00562690,62907.08325075,44000.00000000,18907.08325075,0.42970644,0.08567171,0.10236901,0.72445620,0.12484477,1.03037116,0.35433322,-0.24178289,814,2023,0.17897926,2022,-0.19494487,51123.04887290,20.01273191,0.14103676,0.00045483,0.24821450,0.24437310,,,,,,,0.74912651,0.74735028,,,,,,
NTSX50/BIL50,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.5,""NTSX"":0.5}",0.00275930,0.00723230,0.00202911,0.00608930,58146.35689179,44000.00000000,14146.35689179,0.32150811,0.06726589,0.07974993,0.83112818,0.08288883,1.18616923,0.40926139,-0.16435924,763,2023,0.13329813,2022,-0.12782514,55488.16472885,16.68767705,0.15814785,0.00037927,0.49809271,0.49391070,,,,,,,0.49914191,0.49722731,,,,,,
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.02225794,0.23271777,0.02193891,0.23272372,78210.87834089,44000.00000000,34210.87834089,0.77751996,0.16259332,0.16537877,0.85557255,0.20071571,1.19289746,0.85294307,-0.19062623,169,2023,0.35127130,2022,-0.06171072,763850.58088798,288.39364768,1.70129275,0.00655440,,,0.46603286,0.14976209,,,0.15499201,0.04972690,,,,,,,0.37794007,0.04055417
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.02236651,0.23271690,0.02196205,0.23272072,78961.21449114,44000.00000000,34961.21449114,0.79457306,0.16349089,0.16815881,0.85124373,0.20325706,1.18778473,0.85739876,-0.19068245,167,2023,0.34071490,2022,-0.07342515,766971.71583606,254.24209466,1.70559042,0.00577823,,,0.46595248,0.14872668,0.15499753,0.04898819,,,,,,,,,0.37788537,0.04055717
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.02272430,0.23306855,0.02231692,0.23307415,83801.85748202,44000.00000000,39801.85748202,0.90458767,0.18491311,0.18552007,0.91985571,0.20944300,1.28053428,0.88489974,-0.20896504,448,2023,0.37454047,2022,-0.04669946,790340.39060820,298.67865997,1.70301649,0.00678815,,,0.31076659,0.09980015,,,0.31061452,0.09942933,,,,,,,0.37748399,0.04020374
SPY benchmark,full,full,2020-12-18,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00776260,0.02938556,0.00776372,0.02941953,76979.08018368,44000.00000000,32979.08018368,0.74952455,0.14815618,0.16076005,0.92053059,0.16582684,1.33958435,0.60588003,-0.24453056,709,2021,0.28166993,2022,-0.18247338,43403.08520685,3.03821596,0.10441417,0.00006905,,,,,,,,,,,,,0.99223628,0.97058047,,
NTSX100,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":1.0}",0.00089405,0.00282380,0.00090722,0.00283634,43213.19974098,34000.00000000,9213.19974098,0.27097646,0.07519208,0.09252322,0.52116642,0.16616959,0.73737892,0.23934635,-0.31415595,898,2023,0.22430145,2022,-0.25973270,33958.26425394,20.37495855,0.17577234,0.00059926,,,,,,,,,0.99909278,0.99716366,,,,,,
