label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.weights,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.GDE.avg,exposure.GDE.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.NTSE.avg,exposure.NTSE.min,exposure.NTSI.avg,exposure.NTSI.min,exposure.NTSX.avg,exposure.NTSX.min,exposure.RPAR.avg,exposure.RPAR.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min,exposure.UPAR.avg,exposure.UPAR.min
NTSX100,full,full,2022-03-17,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":1.0}",0.00103924,0.00342384,0.00105156,0.00372273,54284.97256316,36500.00000000,17784.97256316,0.48725952,0.10734507,0.14255848,0.67897109,0.17314089,0.96615068,0.40919950,-0.26232942,675,2023,0.22381894,2022,-0.17658308,36471.09164989,21.88265499,0.14591393,0.00059952,,,,,,,,,,,,,0.99894844,0.99627727,,,,,,,,
NTSI100,full,full,2022-03-17,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSI"":1.0}",0.00079127,0.00239868,0.00080370,0.00263536,51867.58265276,36500.00000000,15367.58265276,0.42102966,0.09149857,0.12588521,0.62878723,0.16050449,0.92203888,0.33655868,-0.27186514,674,2025,0.29592168,2022,-0.11581192,36465.34381042,21.87920629,0.15308860,0.00059943,,,,,,,,,,,0.99919630,0.99736464,,,,,,,,,,
NTSE100,full,full,2022-03-17,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSE"":1.0}",0.00081205,0.00259589,0.00082470,0.00261014,58186.05796581,36500.00000000,21686.05796581,0.59413857,0.10948653,0.16813648,0.61657618,0.20286680,0.89197474,0.35871069,-0.30522237,904,2025,0.35530604,2022,-0.16083834,36446.21915284,21.86773149,0.15242854,0.00059912,,,,,,,,,0.99917530,0.99738986,,,,,,,,,,,,
RPAR100,full,full,2022-03-17,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""RPAR"":1.0}",0.00049487,0.00159990,0.00050796,0.00161446,42476.01826770,36500.00000000,5976.01826770,0.16372653,0.01530464,0.05377307,0.18328926,0.12802722,0.25805712,0.05917384,-0.25863865,1291,2025,0.17412665,2022,-0.18776860,36476.21391419,21.88572835,0.17504219,0.00059961,,,,,,,,,,,,,,,0.99949204,0.99838554,,,,,,
UPAR100,full,full,2022-03-17,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""UPAR"":1.0}",0.00037931,0.00116149,0.00039274,0.00146105,43122.17701045,36500.00000000,6622.17701045,0.18142951,0.00410725,0.05917017,0.11294216,0.18041585,0.15838561,0.01132668,-0.36261706,1395,2025,0.23197532,2022,-0.25797351,36474.03805757,21.88442283,0.18011937,0.00059957,,,,,,,,,,,,,,,,,,,,,0.99960726,0.99853895
GDE100,full,full,2022-03-17,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""GDE"":1.0}",0.00058138,0.00198508,0.00059310,0.00199949,95152.30311144,36500.00000000,58652.30311144,1.60691241,0.28812099,0.35643617,1.09536099,0.26450218,1.58131406,0.90071999,-0.31987853,611,2025,0.72527340,2022,-0.18768047,36439.38770864,21.86363263,0.10441536,0.00059900,,,,,0.99940690,0.99800051,,,,,,,,,,,,,,,,
NTSX50/GDE50,full,full,2022-03-17,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""GDE"":0.5,""NTSX"":0.5}",0.00119804,0.00343238,0.00086925,0.00287794,72307.90088217,36500.00000000,35807.90088217,0.98103838,0.19792589,0.24971740,1.00290952,0.20133915,1.45464499,0.68149245,-0.29043005,630,2025,0.43396436,2022,-0.18096940,52790.39488979,31.67423693,0.17931703,0.00086779,,,,,0.49945503,0.49826611,,,,,,,0.49933328,0.49712206,,,,,,,,
NTSX34/NTSI33/NTSE33,full,full,2022-03-17,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSE"":0.33,""NTSI"":0.33,""NTSX"":0.34}",0.00231137,0.00713214,0.00115002,0.00273200,55054.95181955,36500.00000000,18554.95181955,0.50835484,0.10535710,0.14773197,0.70053254,0.16270834,1.02006083,0.39467729,-0.26694493,776,2025,0.27774487,2022,-0.14906298,44163.20786173,26.49792472,0.18170421,0.00072597,,,,,,,,,0.32928066,0.32759962,0.32924151,0.32761597,0.33915303,0.33726800,,,,,,,,
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2022-03-17,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.04492515,0.27326888,0.04456609,0.27327789,60857.39294862,36500.00000000,24357.39294862,0.66732583,0.19481506,0.18479899,1.00139747,0.19860769,1.39912979,1.10351019,-0.17654124,448,2023,0.32924933,2026,0.05742390,522155.75614945,199.71380709,1.74612134,0.00547161,0.49533501,0.14969256,,,,,0.16458748,0.04951627,,,,,,,,,,,0.33872806,0.00000000,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2022-03-17,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.04475721,0.27327152,0.04443670,0.27327789,61857.66374834,36500.00000000,25357.66374834,0.69473051,0.20047109,0.19087438,1.02071329,0.19973116,1.42612886,1.09404139,-0.18323904,447,2023,0.31879480,2026,0.05025467,529437.86665939,177.59663036,1.75002962,0.00486566,0.49529963,0.14988637,0.16474902,0.04960368,,,,,,,,,,,,,,,0.33878079,0.00000000,,
