label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t25 w0-50 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.50000000,,0.00016831,0.00163809,0.00017073,0.00162354,544890.22028908,97500.00000000,447390.22028908,4.58861764,0.20295808,0.19284219,1.01267701,0.20347722,1.41860852,0.73885984,-0.27469091,530,2023,0.48947420,2022,-0.23124039,4637846.26347741,1745.09794769,0.82305966,0.01789844,0.56118039,0.49837646,,,0.43862801,0.12429035
VT TQQQ/BTAL t25 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.50000000,QQQ<SMA200,0.01337640,0.27337818,0.01337869,0.27337880,506571.09000182,97500.00000000,409071.09000182,4.19560092,0.19442794,0.18509200,0.99018415,0.20023038,1.38309712,0.76524777,-0.25407189,362,2017,0.46842364,2022,-0.15358913,3909972.16171314,1474.68850894,0.74090755,0.01512501,0.57438880,0.49837646,,,0.42541550,0.06821857
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.60000000,,0.00017908,0.00139468,0.00019147,0.00152740,607655.40458804,97500.00000000,510155.40458804,5.23236312,0.21642057,0.20441007,0.97393091,0.22866953,1.35670168,0.78147779,-0.27693758,530,2013,0.58735230,2022,-0.23360796,7110856.51372905,2670.10654164,1.17153991,0.02738571,0.51107245,0.39859789,,,0.48871443,0.12429392
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.60000000,QQQ<SMA200,0.01355299,0.27325636,0.01356409,0.27325693,563860.80383432,97500.00000000,466360.80383432,4.78318773,0.20768888,0.19647568,0.95200088,0.22562027,1.32292487,0.82790135,-0.25086187,355,2013,0.58729631,2022,-0.15631374,6175232.80211909,2322.04757412,1.08802759,0.02381587,0.52447581,0.39859789,,,0.47532310,0.06834044
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.70000000,,0.00015508,0.00134188,0.00017971,0.00152740,643723.91288829,97500.00000000,546223.91288829,5.60229654,0.22285375,0.21052084,0.93351619,0.24967347,1.29511764,0.79111224,-0.28169676,571,2017,0.65181644,2022,-0.23359669,9662371.16228521,3625.12833565,1.55224588,0.03718080,0.47427721,0.29892088,,,0.52551984,0.12429953
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.70000000,QQQ<SMA200,0.01366210,0.27320990,0.01368508,0.27321047,597947.92891315,97500.00000000,500447.92891315,5.13279927,0.21416948,0.20270258,0.91261095,0.24677042,1.26353072,0.84320591,-0.25399428,337,2017,0.65178731,2022,-0.15639253,8560065.33838046,3214.49220571,1.46913816,0.03296915,0.48777719,0.29892088,,,0.51201353,0.06838690
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.80000000,,0.00018035,0.00134188,0.00021634,0.00152740,686038.60988354,97500.00000000,588538.60988354,6.03629343,0.23018550,0.21726326,0.91297839,0.26672715,1.26591070,0.78628284,-0.29275152,455,2017,0.74657670,2022,-0.23362490,12090961.21790266,4535.80217500,1.86419311,0.04652105,0.44633896,0.19908747,,,0.55341955,0.12429698
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.80000000,QQQ<SMA200,0.01368390,0.27314004,0.01371941,0.27314058,636930.16773300,97500.00000000,539430.16773300,5.53261710,0.22145758,0.20939677,0.89257754,0.26401643,1.23540962,0.80224701,-0.27604662,574,2017,0.74656580,2022,-0.15644911,10804341.63305799,4055.99917874,1.78044314,0.04159999,0.45981878,0.19928420,,,0.53992263,0.06845678
VT TQQQ/BTAL t30 w0-50 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.50000000,,0.00016117,0.00173099,0.00016301,0.00191068,668433.77046887,97500.00000000,570933.77046887,5.85573098,0.22369017,0.21451054,1.04349884,0.21651540,1.47145543,0.69395202,-0.32234241,530,2023,0.62451509,2022,-0.28012172,4397223.76548199,1654.19625895,0.68010661,0.01696612,0.53839420,0.49808932,,,0.46142407,0.14916294
VT TQQQ/BTAL t30 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.50000000,QQQ<SMA200,0.01538791,0.32415249,0.01538656,0.32415305,621758.66765042,97500.00000000,524258.66765042,5.37701198,0.21503133,0.20684211,1.03567930,0.20991598,1.45597282,0.85777193,-0.25068591,140,2017,0.47759228,2022,-0.18982249,3525126.64571191,1329.82396406,0.58322844,0.01363922,0.55363338,0.49808932,,,0.44618430,0.08576379
